id,objectid,rank,exp,time
1,122051001,501,8000,-1
2,122051002,502,8000,-1
3,122051003,503,8000,-1
4,122051004,504,8000,-1
5,122051005,505,8000,-1
6,122051006,506,8000,-1
7,122051007,507,8000,-1
8,122051008,508,20000,-1
9,122051009,509,8000,-1
10,122051010,510,8000,-1
11,122051011,511,8000,-1
12,122051012,512,8000,-1
13,122051013,513,8000,-1
14,122051014,514,8000,-1
15,122051015,515,20000,-1
16,122051016,516,8000,-1
17,122051017,517,20000,-1
18,122052001,501,3000,259200
19,122052002,502,3000,259200
20,122052003,503,3000,259200
21,122052004,504,3000,259200
22,122052005,505,3000,259200
23,122052006,506,3000,259200
24,122052007,507,3000,259200
25,122052008,508,8000,518400
26,122052009,509,3000,259200
27,122052010,510,3000,259200
28,122052011,511,3000,259200
29,122052012,512,3000,259200
30,122052013,513,3000,259200
31,122052014,514,3000,259200
32,122052015,515,10000,777600
33,122052016,516,3000,259200
34,122052017,517,10000,604800
