id,rank,model_id,name,icon,systemid,describe
122051001,501,1,喵喵米娅,122051001,-1,活动获取
122051002,502,2,机关大鲲,122051002,-1,活动获取
122051003,503,3,异兽傀儡,122051003,-1,活动获取
122051004,504,4,流云玉佩,122051004,-1,活动获取
122051005,505,5,迦楼罗王,122051005,-1,VIP7获得
122051006,506,6,摩罗诛天,122051006,-1,活动获取
122051007,507,7,祥云醒狮,122051007,-1,爱心礼包
122051008,508,8,流光神剑,122051008,-1,跨服战获得
122051009,509,9,暗影魔蝎,122051009,-1,活动获取
122051010,510,10,真火赤灵,122051010,-1,VIP10获得
122051011,511,11,寒灵源兽,122051011,201000000,商城购买
122051012,512,12,银翼神驹,122051012,-1,活动获取
122051013,513,13,月牙车辇,122051013,-1,活动获取
122051014,514,14,凤尾龙睛,122051014,-1,活动获取
122051015,515,15,幻炎灵狮,122051015,-1,巅峰竞技中获得
122051016,516,16,灾厄魔兽,122051016,-1,充值活动中获得
122051017,517,17,帝王龙,122051017,-1,跨服据点战获得
