id,kind,typeid,describe,limit_1,limit_2,limit_3,number
1,1,2001,2件装备强化到+6：{0},2,6,-1,2
2,1,2002,4件装备强化到+6：{0},4,6,-1,4
3,1,2003,6件装备强化到+6：{0},6,6,-1,6
4,1,2004,8件装备强化到+6：{0},8,6,-1,8
5,1,2005,10件装备强化到+6：{0},10,6,-1,10
6,1,2006,12件装备强化到+6：{0},12,6,-1,12
7,2,1001,穿戴4件40级紫色装备：{0},4,40,4,4
8,2,1002,穿戴8件40级紫色装备：{0},8,40,4,8
9,2,1003,穿戴1件40级橙色装备：{0},1,40,5,1
10,2,1004,穿戴2件40级橙色装备：{0},2,40,5,2
11,2,1005,穿戴4件40级橙色装备：{0},4,40,5,4
12,2,1006,穿戴6件40级橙色装备：{0},6,40,5,6
13,3,4001,苍穹之戒技能点：{0},10,-1,-1,10
14,3,4002,苍穹之戒技能点：{0},20,-1,-1,20
15,3,4003,苍穹之戒技能点：{0},30,-1,-1,30
16,3,4004,苍穹之戒技能点：{0},50,-1,-1,50
17,3,4005,苍穹之戒技能点：{0},70,-1,-1,70
18,3,4006,苍穹之戒技能点：{0},90,-1,-1,90
19,3,4007,苍穹之戒技能点：{0},120,-1,-1,120
20,3,4008,苍穹之戒技能点：{0},150,-1,-1,150
21,3,4009,苍穹之戒技能点：{0},180,-1,-1,180
22,3,4010,苍穹之戒技能点：{0},210,-1,-1,210
23,3,4011,苍穹之戒技能点：{0},250,-1,-1,250
24,3,4012,苍穹之戒技能点：{0},290,-1,-1,290
25,3,4013,苍穹之戒技能点：{0},330,-1,-1,330
26,3,4014,苍穹之戒技能点：{0},380,-1,-1,380
27,3,4015,苍穹之戒技能点：{0},430,-1,-1,430
28,3,4016,苍穹之戒技能点：{0},530,-1,-1,530
29,3,4017,苍穹之戒技能点：{0},630,-1,-1,630
30,3,4018,苍穹之戒技能点：{0},730,-1,-1,730
31,3,4019,苍穹之戒技能点：{0},930,-1,-1,930
32,3,4020,苍穹之戒技能点：{0},1130,-1,-1,1130
33,3,4021,苍穹之戒技能点：{0},1330,-1,-1,1330
34,3,4022,苍穹之戒技能点：{0},1630,-1,-1,1630
35,3,4023,苍穹之戒技能点：{0},1930,-1,-1,1930
36,3,4024,苍穹之戒技能点：{0},2230,-1,-1,2230
37,3,4025,苍穹之戒技能点：{0},2730,-1,-1,2730
38,3,4026,苍穹之戒技能点：{0},3230,-1,-1,3230
39,3,4027,苍穹之戒技能点：{0},3730,-1,-1,3730
40,3,4028,苍穹之戒技能点：{0},4730,-1,-1,4730
41,3,4029,苍穹之戒技能点：{0},5730,-1,-1,5730
42,3,4030,苍穹之戒技能点：{0},6730,-1,-1,6730
43,3,4031,苍穹之戒技能点：{0},7730,-1,-1,7730
44,4,5001,冥渊之戒技能点：{0},10,-1,-1,10
45,4,5002,冥渊之戒技能点：{0},20,-1,-1,20
46,4,5003,冥渊之戒技能点：{0},30,-1,-1,30
47,4,5004,冥渊之戒技能点：{0},40,-1,-1,40
48,4,5005,冥渊之戒技能点：{0},50,-1,-1,50
49,4,5006,冥渊之戒技能点：{0},60,-1,-1,60
50,4,5007,冥渊之戒技能点：{0},80,-1,-1,80
51,4,5008,冥渊之戒技能点：{0},100,-1,-1,100
52,4,5009,冥渊之戒技能点：{0},120,-1,-1,120
53,4,5010,冥渊之戒技能点：{0},150,-1,-1,150
54,4,5011,冥渊之戒技能点：{0},180,-1,-1,180
55,4,5012,冥渊之戒技能点：{0},210,-1,-1,210
56,4,5013,冥渊之戒技能点：{0},260,-1,-1,260
57,4,5014,冥渊之戒技能点：{0},330,-1,-1,330
58,4,5015,冥渊之戒技能点：{0},430,-1,-1,430
59,4,5016,冥渊之戒技能点：{0},570,-1,-1,570
60,4,5017,冥渊之戒技能点：{0},760,-1,-1,760
61,4,5018,冥渊之戒技能点：{0},1010,-1,-1,1010
62,4,5019,冥渊之戒技能点：{0},1330,-1,-1,1330
63,4,5020,冥渊之戒技能点：{0},1730,-1,-1,1730
64,4,5021,冥渊之戒技能点：{0},2230,-1,-1,2230
65,4,5022,冥渊之戒技能点：{0},2730,-1,-1,2730
66,4,5023,冥渊之戒技能点：{0},3230,-1,-1,3230
67,4,5024,冥渊之戒技能点：{0},3730,-1,-1,3730
68,4,5025,冥渊之戒技能点：{0},4730,-1,-1,4730
69,4,5026,冥渊之戒技能点：{0},5730,-1,-1,5730
