id,copyid,sorce,sweep
1,20101,1,1
2,20102,1,1
3,20103,1,1
4,20104,1,1
5,20201,1,1
6,20202,1,1
7,20203,1,1
8,20204,1,1
9,20301,1,1
10,20302,1,1
11,20303,1,1
12,20304,1,1
13,20401,1,1
14,20402,1,1
15,20403,1,1
16,20404,1,1
17,20501,1,1
18,20502,1,1
19,20503,1,1
20,20504,1,1
21,20601,1,1
22,20602,1,1
23,20603,1,1
24,20604,1,1
25,30101,1,1
26,30102,1,1
27,30103,1,1
28,30104,1,1
29,30201,1,1
30,30202,1,1
31,30203,1,1
32,30204,1,1
33,30301,1,1
34,30302,1,1
35,30303,1,1
36,30304,1,1
37,40101,1,1
38,40102,1,1
39,40103,1,1
40,40104,1,1
41,50101,1,1
42,50102,1,1
43,50103,1,1
44,50104,1,1
45,50105,1,1
46,50106,1,1
47,50107,1,1
48,50201,1,1
49,50202,1,1
50,50203,1,1
51,50204,1,1
52,50205,1,1
53,50206,1,1
54,50207,1,1
55,50301,1,1
56,50302,1,1
57,50303,1,1
58,50304,1,1
59,50305,1,1
60,50306,1,1
61,50307,1,1
62,50401,1,1
63,50402,1,1
64,50403,1,1
65,50404,1,1
66,50405,1,1
67,50406,1,1
68,50407,1,1
69,70101,5,0
70,70102,5,0
71,70103,5,0
72,70104,5,0
73,70105,5,0
74,70106,5,0
75,70107,5,0
76,70108,5,0
77,70109,5,0
78,70110,5,0
79,70111,5,0
80,70112,5,0
81,70113,5,0
82,70114,5,0
83,70115,5,0
84,70116,5,0
85,70117,5,0
86,70118,5,0
87,70119,5,0
88,70120,5,0
89,70121,5,0
90,70122,5,0
91,70123,5,0
92,70124,5,0
93,70125,5,0
94,70126,5,0
95,70127,5,0
96,70128,5,0
97,70129,5,0
98,70130,5,0
99,70131,5,0
100,70132,5,0
101,70133,5,0
102,70134,5,0
103,70135,5,0
104,70136,5,0
105,70137,5,0
106,70138,5,0
107,70139,5,0
108,70140,5,0
109,40201,1,1
110,40202,1,1
111,40203,1,1
112,40204,1,1
113,40301,1,1
114,40302,1,1
115,40303,1,1
116,40304,1,1
