id,typeid,objectid,number,bind,profession
1,2001,173304007,20,1,0
2,2001,195401001,20,1,0
3,2002,173304007,20,1,0
4,2002,195401001,20,1,0
5,2003,173304007,30,1,0
6,2003,195401001,20,1,0
7,2004,173304007,30,1,0
8,2004,195401001,20,1,0
9,2005,173304007,50,1,0
10,2005,195401001,20,1,0
11,2006,173304007,50,1,0
12,2006,195401001,20,1,0
13,1001,173304007,20,1,0
14,1001,182353001,1,1,0
15,1002,173304007,20,1,0
16,1002,182353001,1,1,0
17,1003,173304007,30,1,0
18,1003,182353001,1,1,0
19,1004,173304007,30,1,0
20,1004,182353001,1,1,0
21,1005,173304007,50,1,0
22,1005,182353001,1,1,0
23,1006,173304007,50,1,0
24,1006,182353001,1,1,0
25,4001,173304007,10,1,0
26,4001,183351001,2,1,0
27,4001,183359001,2,1,0
28,4001,183362001,2,1,0
29,4002,173304007,10,1,0
30,4002,183351001,2,1,0
31,4002,183359001,2,1,0
32,4002,183362001,2,1,0
33,4003,173304007,10,1,0
34,4003,183351001,2,1,0
35,4003,183359001,2,1,0
36,4003,183362001,2,1,0
37,4004,173304007,10,1,0
38,4004,183351001,2,1,0
39,4004,183359001,2,1,0
40,4004,183362001,2,1,0
41,4005,173304007,10,1,0
42,4005,183351001,2,1,0
43,4005,183359001,2,1,0
44,4005,183362001,2,1,0
45,4006,173304007,20,1,0
46,4006,183351001,3,1,0
47,4006,183359001,3,1,0
48,4006,183362001,3,1,0
49,4007,173304007,20,1,0
50,4007,183351001,3,1,0
51,4007,183359001,3,1,0
52,4007,183362001,3,1,0
53,4008,173304007,20,1,0
54,4008,183351001,3,1,0
55,4008,183359001,3,1,0
56,4008,183362001,3,1,0
57,4009,173304007,20,1,0
58,4009,183351001,3,1,0
59,4009,183359001,3,1,0
60,4009,183362001,3,1,0
61,4010,173304007,20,1,0
62,4010,183351001,3,1,0
63,4010,183359001,3,1,0
64,4010,183362001,3,1,0
65,4011,173304007,20,1,0
66,4011,183351001,3,1,0
67,4011,183359001,3,1,0
68,4011,183362001,3,1,0
69,4012,173304007,30,1,0
70,4012,183351001,3,1,0
71,4012,183359001,3,1,0
72,4012,183362001,3,1,0
73,4013,173304007,30,1,0
74,4013,183351001,3,1,0
75,4013,183359001,3,1,0
76,4013,183362001,3,1,0
77,4014,173304007,30,1,0
78,4014,183351001,3,1,0
79,4014,183359001,3,1,0
80,4014,183362001,3,1,0
81,4015,173304007,30,1,0
82,4015,183351001,3,1,0
83,4015,183359001,3,1,0
84,4015,183362001,3,1,0
85,4016,173304007,50,1,0
86,4016,183351001,5,1,0
87,4016,183359001,5,1,0
88,4016,183362001,5,1,0
89,4017,173304007,50,1,0
90,4017,183351001,5,1,0
91,4017,183359001,5,1,0
92,4017,183362001,5,1,0
93,4018,173304007,50,1,0
94,4018,183351001,5,1,0
95,4018,183359001,5,1,0
96,4018,183362001,5,1,0
97,4019,173304007,50,1,0
98,4019,183351001,5,1,0
99,4019,183359001,5,1,0
100,4019,183362001,5,1,0
101,4020,173304007,50,1,0
102,4020,183351001,5,1,0
103,4020,183359001,5,1,0
104,4020,183362001,5,1,0
105,4021,173304007,50,1,0
106,4021,183351001,5,1,0
107,4021,183359001,5,1,0
108,4021,183362001,5,1,0
109,4022,173304007,50,1,0
110,4022,183351001,5,1,0
111,4022,183359001,5,1,0
112,4022,183362001,5,1,0
113,4023,173304007,50,1,0
114,4023,183351001,5,1,0
115,4023,183359001,5,1,0
116,4023,183362001,5,1,0
117,4024,173304007,50,1,0
118,4024,183351001,5,1,0
119,4024,183359001,5,1,0
120,4024,183362001,5,1,0
121,4025,173304007,50,1,0
122,4025,183351001,5,1,0
123,4025,183359001,5,1,0
124,4025,183362001,5,1,0
125,4026,173304007,50,1,0
126,4026,183351001,5,1,0
127,4026,183359001,5,1,0
128,4026,183362001,5,1,0
129,4027,173304007,50,1,0
130,4027,183351001,5,1,0
131,4027,183359001,5,1,0
132,4027,183362001,5,1,0
133,4028,173304007,50,1,0
134,4028,183351001,5,1,0
135,4028,183359001,5,1,0
136,4028,183362001,5,1,0
137,4029,173304007,50,1,0
138,4029,183351001,5,1,0
139,4029,183359001,5,1,0
140,4029,183362001,5,1,0
141,4030,173304007,50,1,0
142,4030,183351001,5,1,0
143,4030,183359001,5,1,0
144,4030,183362001,5,1,0
145,4031,173304007,50,1,0
146,4031,183351001,5,1,0
147,4031,183359001,5,1,0
148,4031,183362001,5,1,0
