id,kind,process,health,attack,defence,hit,dodge,crit,toughness,damageadd,damageless,nowlevel,nextlevel
1,3,10,0,0,0,0,0,0,0,100,0,1,2
2,3,20,0,50,0,0,0,0,0,100,0,2,3
3,3,30,0,50,0,0,0,0,0,200,0,3,4
4,3,50,0,100,0,0,0,0,0,200,0,4,5
5,3,70,0,100,0,0,0,0,0,300,0,5,6
6,3,90,0,150,0,0,0,0,0,300,0,6,7
7,3,120,0,150,0,0,0,0,0,400,0,7,8
8,3,150,0,200,0,0,0,0,0,400,0,8,9
9,3,180,0,200,0,0,0,0,0,500,0,9,10
10,3,210,0,300,0,0,0,0,0,500,0,10,11
11,3,250,0,300,0,0,0,0,0,600,0,11,12
12,3,290,0,400,0,0,0,0,0,600,0,12,13
13,3,330,0,400,0,0,0,0,0,700,0,13,14
14,3,380,0,500,0,0,0,0,0,700,0,14,15
15,3,430,0,500,0,0,0,0,0,800,0,15,16
16,3,530,0,600,0,0,0,0,0,800,0,16,17
17,3,630,0,600,0,0,0,0,0,900,0,17,18
18,3,730,0,800,0,0,0,0,0,900,0,18,19
19,3,930,0,800,0,0,0,0,0,1000,0,19,20
20,3,1130,0,1000,0,0,0,0,0,1000,0,20,21
21,3,1330,0,1000,0,0,0,0,0,1100,0,21,22
22,3,1630,0,1200,0,0,0,0,0,1100,0,22,23
23,3,1930,0,1200,0,0,0,0,0,1200,0,23,24
24,3,2230,0,1400,0,0,0,0,0,1200,0,24,25
25,3,2730,0,1400,0,0,0,0,0,1400,0,25,26
26,3,3230,0,1600,0,0,0,0,0,1400,0,26,27
27,3,3730,0,1600,0,0,0,0,0,1600,0,27,28
28,3,4730,0,1800,0,0,0,0,0,1600,0,28,29
29,3,5730,0,1800,0,0,0,0,0,1800,0,29,30
30,3,6730,0,2000,0,0,0,0,0,1800,0,30,31
31,3,7730,0,2000,0,0,0,0,0,2000,0,31,32
32,4,10,2500,0,0,0,0,0,0,0,0,1,2
33,4,20,2500,0,0,0,0,0,0,0,100,2,3
34,4,30,5000,0,0,0,0,0,0,0,100,3,4
35,4,40,5000,0,0,0,0,0,0,0,200,4,5
36,4,50,7500,0,0,0,0,0,0,0,200,5,6
37,4,60,7500,0,0,0,0,0,0,0,300,6,7
38,4,80,10000,0,0,0,0,0,0,0,300,7,8
39,4,100,10000,0,0,0,0,0,0,0,400,8,9
40,4,120,15000,0,0,0,0,0,0,0,400,9,10
41,4,150,15000,0,0,0,0,0,0,0,500,10,11
42,4,180,20000,0,0,0,0,0,0,0,500,11,12
43,4,210,20000,0,0,0,0,0,0,0,600,12,13
44,4,260,25000,0,0,0,0,0,0,0,600,13,14
45,4,330,25000,0,0,0,0,0,0,0,700,14,15
46,4,430,30000,0,0,0,0,0,0,0,700,15,16
47,4,570,30000,0,0,0,0,0,0,0,800,16,17
48,4,760,40000,0,0,0,0,0,0,0,800,17,18
49,4,1010,40000,0,0,0,0,0,0,0,1000,18,19
50,4,1330,50000,0,0,0,0,0,0,0,1000,19,20
51,4,1730,50000,0,0,0,0,0,0,0,1200,20,21
52,4,2230,60000,0,0,0,0,0,0,0,1200,21,22
53,4,2730,60000,0,0,0,0,0,0,0,1400,22,23
54,4,3230,80000,0,0,0,0,0,0,0,1400,23,24
55,4,3730,80000,0,0,0,0,0,0,0,1700,24,25
56,4,4730,100000,0,0,0,0,0,0,0,1700,25,26
57,4,5730,100000,0,0,0,0,0,0,0,2000,26,-1
