id,role_name,role_type,scriptid,body_animation,body_model,body_chartlet,scale,weapon_model,weapon_chartlet,motiongroup_type,aigroup_type,toilet,unmatched,collider,head,color
1,warrior,CT_Hero,warrior,warrior,body,warrior,10000,warrior_a,warrior_a_1,MGT_Single,AGT_Easy,0,0,1,warrior,
2,pastor,CT_Hero,pastor,pastor,body,pastor,10000,pastor_a,pastor_a_1,MGT_Single,AGT_Easy,0,0,1,pastor,
3,mage,CT_Hero,mage,mage,body,mage,10000,mage_a,mage_a_1,MGT_Single,AGT_Easy,0,0,1,mage,
70001,白水泽,CT_Pet,9970001,9970001,,9970001,10000,,,MGT_Single,AGT_Easy,0,0,1,9970001,
70002,红雪天神,CT_Pet,9970002,9970002,,9970002,10000,,,MGT_Single,AGT_Easy,0,0,1,9970002,
70003,空青蛇,CT_Pet,9970003,9970003,,9970003,10000,,,MGT_Single,AGT_Easy,0,0,1,9970003,
70004,木子朔,CT_Pet,9970004,9970004,,9970004,10000,,,MGT_Single,AGT_Easy,0,0,1,9970004,
70005,秋叶,CT_Pet,9970005,9970005,,9970005,10000,,,MGT_Single,AGT_Easy,0,0,1,9970005,
80001,盗宝小怪,CT_Monster,80001,9980001,,9980001,10000,,,MGT_Single,AGT_Easy,0,0,1,9980001,eebe00
80002,道兵铠甲,CT_Monster,80002,9980002,,9980002,10000,,,MGT_Single,AGT_Easy,0,0,1,9980002,eebe00
80003,地甲龙,CT_Monster,80003,9980003,,9980003,10000,,,MGT_Single,AGT_Easy,0,0,1,9980003,eebe00
80004,黑甲卫（黑色）,CT_Monster,80004,9980004,,9980004,10000,,,MGT_Single,AGT_Easy,0,0,1,9980004,eebe00
80005,黑色豹子兽,CT_Monster,80005,9980005,,9980005,10000,,,MGT_Single,AGT_Easy,0,0,1,9980005,eebe00
80006,猴子,CT_Monster,80006,9980006,,9980006,10000,,,MGT_Single,AGT_Easy,0,0,1,9980006,eebe00
80007,虎人,CT_Monster,80007,9980007,,9980007,10000,,,MGT_Single,AGT_Easy,0,0,1,9980007,eebe00
80008,火鸟,CT_Monster,80008,9980008,,9980008,10000,,,MGT_Single,AGT_Easy,0,0,1,9980008,eebe00
80009,铠甲人鱼,CT_Monster,80009,9980009,,9980009,10000,,,MGT_Single,AGT_Easy,0,0,1,9980009,eebe00
80010,犀牛怪,CT_Monster,80010,9980010,,9980010,10000,,,MGT_Single,AGT_Easy,0,0,1,9980010,
80011,下级白脸蛟,CT_Monster,80011,9980011,,9980011,10000,,,MGT_Single,AGT_Easy,0,0,1,9980011,
80012,下级傀儡,CT_Monster,80012,9980012,,9980012,10000,,,MGT_Single,AGT_Easy,0,0,1,9980012,
80013,牛头魔,CT_Monster,80013,9980013,,9980013,10000,,,MGT_Single,AGT_Easy,0,0,1,9980013,
80014,啸月狼,CT_Monster,80014,9980014,,9980014,10000,,,MGT_Single,AGT_Easy,0,0,1,9980014,
