id,copyid,kindid,objectid,number,bind
1,70201,1,175312005,1,1
2,70202,1,174312004,1,1
3,70203,1,174312004,1,1
4,70204,1,174312004,1,1
5,70204,1,103000015,1,1
6,70205,1,174312004,1,1
7,70205,1,103000015,1,1
8,70206,1,174312004,1,1
9,70206,1,103000015,1,1
10,70207,1,174312004,1,1
11,70207,1,103000015,2,1
12,70208,1,174312004,1,1
13,70208,1,103000015,2,1
14,70209,1,174312004,1,1
15,70209,1,103000015,2,1
16,70210,1,173312003,1,1
17,70210,1,103000015,2,1
18,70211,1,173312003,1,1
19,70211,1,103000015,3,1
20,70212,1,173312003,1,1
21,70212,1,103000015,4,1
22,70213,1,172312002,1,1
23,70213,1,103000015,4,1
24,70214,1,172312002,1,1
25,70214,1,103000015,5,1
26,70201,2,214517001,50,1
27,70202,2,214517001,100,1
28,70203,2,214517001,150,1
29,70204,2,214517001,200,1
30,70205,2,214517001,250,1
31,70206,2,214517001,300,1
32,70207,2,214517001,350,1
33,70208,2,214517001,400,1
34,70209,2,214517001,450,1
35,70210,2,214517001,500,1
36,70211,2,214517001,550,1
37,70212,2,214517001,600,1
38,70213,2,214517001,650,1
39,70214,2,214517001,700,1
