id,runeid,level,health,attack,defence,hit,dodge,crit,toughness,process,decompose,nextlevel,pvpadd,pveadd,pvpless,pveless,dmgadd,dmgless,exp,crystal,propertyid
1,106000001,1,0,120,0,0,0,0,0,10,2,2,0,0,0,0,0,0,0,0,1
2,106000001,2,0,132,0,0,0,0,0,11,12,3,0,0,0,0,0,0,0,0,1
3,106000001,3,0,144,0,0,0,0,0,11,23,4,0,0,0,0,0,0,0,0,1
4,106000001,4,0,156,0,0,0,0,0,12,34,5,0,0,0,0,0,0,0,0,1
5,106000001,5,0,168,0,0,0,0,0,12,46,6,0,0,0,0,0,0,0,0,1
6,106000001,6,0,180,0,0,0,0,0,13,58,7,0,0,0,0,0,0,0,0,1
7,106000001,7,0,192,0,0,0,0,0,13,71,8,0,0,0,0,0,0,0,0,1
8,106000001,8,0,204,0,0,0,0,0,14,84,9,0,0,0,0,0,0,0,0,1
9,106000001,9,0,216,0,0,0,0,0,14,98,10,0,0,0,0,0,0,0,0,1
10,106000001,10,0,228,0,0,0,0,0,15,112,11,0,0,0,0,0,0,0,0,1
11,106000001,11,0,240,0,0,0,0,0,15,127,12,0,0,0,0,0,0,0,0,1
12,106000001,12,0,252,0,0,0,0,0,16,142,13,0,0,0,0,0,0,0,0,1
13,106000001,13,0,264,0,0,0,0,0,16,158,14,0,0,0,0,0,0,0,0,1
14,106000001,14,0,276,0,0,0,0,0,17,174,15,0,0,0,0,0,0,0,0,1
15,106000001,15,0,288,0,0,0,0,0,17,191,16,0,0,0,0,0,0,0,0,1
16,106000001,16,0,300,0,0,0,0,0,18,208,17,0,0,0,0,0,0,0,0,1
17,106000001,17,0,312,0,0,0,0,0,18,226,18,0,0,0,0,0,0,0,0,1
18,106000001,18,0,324,0,0,0,0,0,19,244,19,0,0,0,0,0,0,0,0,1
19,106000001,19,0,336,0,0,0,0,0,19,263,20,0,0,0,0,0,0,0,0,1
20,106000001,20,0,360,0,0,0,0,0,20,282,-1,0,0,0,0,0,0,0,0,1
21,106000002,1,0,0,120,0,0,0,0,10,2,2,0,0,0,0,0,0,0,0,2
22,106000002,2,0,0,132,0,0,0,0,11,12,3,0,0,0,0,0,0,0,0,2
23,106000002,3,0,0,144,0,0,0,0,11,23,4,0,0,0,0,0,0,0,0,2
24,106000002,4,0,0,156,0,0,0,0,12,34,5,0,0,0,0,0,0,0,0,2
25,106000002,5,0,0,168,0,0,0,0,12,46,6,0,0,0,0,0,0,0,0,2
26,106000002,6,0,0,180,0,0,0,0,13,58,7,0,0,0,0,0,0,0,0,2
27,106000002,7,0,0,192,0,0,0,0,13,71,8,0,0,0,0,0,0,0,0,2
28,106000002,8,0,0,204,0,0,0,0,14,84,9,0,0,0,0,0,0,0,0,2
29,106000002,9,0,0,216,0,0,0,0,14,98,10,0,0,0,0,0,0,0,0,2
30,106000002,10,0,0,228,0,0,0,0,15,112,11,0,0,0,0,0,0,0,0,2
31,106000002,11,0,0,240,0,0,0,0,15,127,12,0,0,0,0,0,0,0,0,2
32,106000002,12,0,0,252,0,0,0,0,16,142,13,0,0,0,0,0,0,0,0,2
33,106000002,13,0,0,264,0,0,0,0,16,158,14,0,0,0,0,0,0,0,0,2
34,106000002,14,0,0,276,0,0,0,0,17,174,15,0,0,0,0,0,0,0,0,2
35,106000002,15,0,0,288,0,0,0,0,17,191,16,0,0,0,0,0,0,0,0,2
36,106000002,16,0,0,300,0,0,0,0,18,208,17,0,0,0,0,0,0,0,0,2
37,106000002,17,0,0,312,0,0,0,0,18,226,18,0,0,0,0,0,0,0,0,2
38,106000002,18,0,0,324,0,0,0,0,19,244,19,0,0,0,0,0,0,0,0,2
39,106000002,19,0,0,336,0,0,0,0,19,263,20,0,0,0,0,0,0,0,0,2
40,106000002,20,0,0,360,0,0,0,0,20,282,-1,0,0,0,0,0,0,0,0,2
41,106000003,1,6000,0,0,0,0,0,0,10,2,2,0,0,0,0,0,0,0,0,3
42,106000003,2,6600,0,0,0,0,0,0,11,12,3,0,0,0,0,0,0,0,0,3
43,106000003,3,7200,0,0,0,0,0,0,11,23,4,0,0,0,0,0,0,0,0,3
44,106000003,4,7800,0,0,0,0,0,0,12,34,5,0,0,0,0,0,0,0,0,3
45,106000003,5,8400,0,0,0,0,0,0,12,46,6,0,0,0,0,0,0,0,0,3
46,106000003,6,9000,0,0,0,0,0,0,13,58,7,0,0,0,0,0,0,0,0,3
47,106000003,7,9600,0,0,0,0,0,0,13,71,8,0,0,0,0,0,0,0,0,3
