id,copyid,towerid,nextid,costresource,destory,level,percent,towerkind,describe
1,70201,1011101,1011201,30,0,1,0,1,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]30
2,70201,1012101,1012201,30,0,1,0,2,可同时攻击范围内的3个敌人，并降低10%的移动速度持续2秒\n[ffdf00]建造消耗：[-]30
3,70201,1013101,1013201,30,0,1,0,3,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]30
4,70201,1014101,1014201,30,0,1,0,4,可攻击范围内的所有敌人\n[ffdf00]建造消耗：[-]30
5,70201,1011201,1011301,30,0,2,0,1,单体攻击，场上所有防御塔攻击增加5%，上限30%\n[ffdf00]升级消耗：[-]30
6,70201,1012201,1012301,30,0,2,0,2,可同时攻击范围内的4个敌人，并降低20%的移动速度持续2秒\n[ffdf00]升级消耗：[-]30
7,70201,1013201,1013301,30,0,2,0,3,单体攻击，有25%的暴击率\n[ffdf00]升级消耗：[-]30
8,70201,1014201,1014301,30,0,2,0,4,可攻击范围内的所有敌人，攻击范围增加10%\n[ffdf00]升级消耗：[-]30
9,70201,1011301,-1,30,0,3,0,1,单体攻击，场上所有防御塔攻击增加10%，上限30%\n[ffdf00]升级消耗：[-]30
10,70201,1012301,-1,30,0,3,0,2,可同时攻击范围内的5个敌人，并降低30%的移动速度持续2秒\n[ffdf00]升级消耗：[-]30
11,70201,1013301,-1,30,0,3,0,3,单体攻击，有70%的暴击率。并有30%的概率将敌人眩晕1秒\n[ffdf00]升级消耗：[-]30
12,70201,1014301,-1,30,0,3,0,4,可攻击范围内的所有敌人，攻击范围增加20%\n[ffdf00]升级消耗：[-]30
13,70201,1015101,-1,-1,-1,1,0,5,单体攻击，拥有超高攻击力，有50%的暴击率。并有30%的概率将敌人眩晕1秒
14,70202,1021101,1021201,20,12,1,500,1,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]20
15,70202,1022101,1022201,20,12,1,500,2,可同时攻击范围内的3个敌人，并降低10%的移动速度持续2秒\n[ffdf00]建造消耗：[-]20
16,70202,1023101,1023201,30,18,1,500,3,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]30
17,70202,1024101,1024201,40,24,1,500,4,可攻击范围内的所有敌人\n[ffdf00]建造消耗：[-]40
18,70202,1021201,1021301,30,30,2,500,1,单体攻击，场上所有防御塔攻击增加5%，上限30%\n[ffdf00]升级消耗：[-]30
19,70202,1022201,1022301,40,36,2,500,2,可同时攻击范围内的4个敌人，并降低20%的移动速度持续2秒\n[ffdf00]升级消耗：[-]40
20,70202,1023201,1023301,50,48,2,500,3,单体攻击，有25%的暴击率\n[ffdf00]升级消耗：[-]50
21,70202,1024201,1024301,60,60,2,500,4,可攻击范围内的所有敌人，攻击范围增加10%\n[ffdf00]升级消耗：[-]60
22,70202,1021301,-1,50,60,3,500,1,单体攻击，场上所有防御塔攻击增加10%，上限30%\n[ffdf00]升级消耗：[-]50
23,70202,1022301,-1,70,78,3,500,2,可同时攻击范围内的5个敌人，并降低30%的移动速度持续2秒\n[ffdf00]升级消耗：[-]70
24,70202,1023301,-1,90,102,3,500,3,单体攻击，有70%的暴击率。并有30%的概率将敌人眩晕1秒\n[ffdf00]升级消耗：[-]90
25,70202,1024301,-1,100,120,3,500,4,可攻击范围内的所有敌人，攻击范围增加20%\n[ffdf00]升级消耗：[-]100
26,70202,1025101,-1,-1,-1,1,0,5,单体攻击，拥有超高攻击力，有50%的暴击率。并有30%的概率将敌人眩晕1秒
27,70203,1031101,1031201,20,12,1,1000,1,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]20
28,70203,1032101,1032201,20,12,1,1000,2,可同时攻击范围内的3个敌人，并降低10%的移动速度持续2秒\n[ffdf00]建造消耗：[-]20
29,70203,1033101,1033201,30,18,1,1000,3,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]30
30,70203,1034101,1034201,40,24,1,1000,4,可攻击范围内的所有敌人\n[ffdf00]建造消耗：[-]40
31,70203,1031201,1031301,30,30,2,1000,1,单体攻击，场上所有防御塔攻击增加5%，上限30%\n[ffdf00]升级消耗：[-]30
32,70203,1032201,1032301,40,36,2,1000,2,可同时攻击范围内的4个敌人，并降低20%的移动速度持续2秒\n[ffdf00]升级消耗：[-]40
33,70203,1033201,1033301,50,48,2,1000,3,单体攻击，有25%的暴击率\n[ffdf00]升级消耗：[-]50
34,70203,1034201,1034301,60,60,2,1000,4,可攻击范围内的所有敌人，攻击范围增加10%\n[ffdf00]升级消耗：[-]60
35,70203,1031301,-1,50,60,3,1000,1,单体攻击，场上所有防御塔攻击增加10%，上限30%\n[ffdf00]升级消耗：[-]50
36,70203,1032301,-1,70,78,3,1000,2,可同时攻击范围内的5个敌人，并降低30%的移动速度持续2秒\n[ffdf00]升级消耗：[-]70
37,70203,1033301,-1,90,102,3,1000,3,单体攻击，有70%的暴击率。并有30%的概率将敌人眩晕1秒\n[ffdf00]升级消耗：[-]90
38,70203,1034301,-1,100,120,3,1000,4,可攻击范围内的所有敌人，攻击范围增加20%\n[ffdf00]升级消耗：[-]100
39,70203,1035101,-1,-1,-1,1,0,5,单体攻击，拥有超高攻击力，有50%的暴击率。并有30%的概率将敌人眩晕1秒
40,70204,1041101,1041201,20,12,1,1000,1,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]20
41,70204,1042101,1042201,20,12,1,1000,2,可同时攻击范围内的3个敌人，并降低10%的移动速度持续2秒\n[ffdf00]建造消耗：[-]20
42,70204,1043101,1043201,30,18,1,1000,3,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]30
43,70204,1044101,1044201,40,24,1,1000,4,可攻击范围内的所有敌人\n[ffdf00]建造消耗：[-]40
44,70204,1041201,1041301,30,30,2,1000,1,单体攻击，场上所有防御塔攻击增加5%，上限30%\n[ffdf00]升级消耗：[-]30
45,70204,1042201,1042301,40,36,2,1000,2,可同时攻击范围内的4个敌人，并降低20%的移动速度持续2秒\n[ffdf00]升级消耗：[-]40
46,70204,1043201,1043301,50,48,2,1000,3,单体攻击，有25%的暴击率\n[ffdf00]升级消耗：[-]50
47,70204,1044201,1044301,60,60,2,1000,4,可攻击范围内的所有敌人，攻击范围增加10%\n[ffdf00]升级消耗：[-]60
48,70204,1041301,-1,50,60,3,1000,1,单体攻击，场上所有防御塔攻击增加10%，上限30%\n[ffdf00]升级消耗：[-]50
49,70204,1042301,-1,70,78,3,1000,2,可同时攻击范围内的5个敌人，并降低30%的移动速度持续2秒\n[ffdf00]升级消耗：[-]70
50,70204,1043301,-1,90,102,3,1000,3,单体攻击，有70%的暴击率。并有30%的概率将敌人眩晕1秒\n[ffdf00]升级消耗：[-]90
51,70204,1044301,-1,100,120,3,1000,4,可攻击范围内的所有敌人，攻击范围增加20%\n[ffdf00]升级消耗：[-]100
52,70204,1045101,-1,-1,-1,1,0,5,单体攻击，拥有超高攻击力，有50%的暴击率。并有30%的概率将敌人眩晕1秒
53,70205,1051101,1051201,20,12,1,1500,1,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]20
54,70205,1052101,1052201,20,12,1,1500,2,可同时攻击范围内的3个敌人，并降低10%的移动速度持续2秒\n[ffdf00]建造消耗：[-]20
55,70205,1053101,1053201,30,18,1,1500,3,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]30
56,70205,1054101,1054201,40,24,1,1500,4,可攻击范围内的所有敌人\n[ffdf00]建造消耗：[-]40
57,70205,1051201,1051301,30,30,2,1500,1,单体攻击，场上所有防御塔攻击增加5%，上限30%\n[ffdf00]升级消耗：[-]30
58,70205,1052201,1052301,40,36,2,1500,2,可同时攻击范围内的4个敌人，并降低20%的移动速度持续2秒\n[ffdf00]升级消耗：[-]40
59,70205,1053201,1053301,50,48,2,1500,3,单体攻击，有25%的暴击率\n[ffdf00]升级消耗：[-]50
60,70205,1054201,1054301,60,60,2,1500,4,可攻击范围内的所有敌人，攻击范围增加10%\n[ffdf00]升级消耗：[-]60
61,70205,1051301,-1,50,60,3,1500,1,单体攻击，场上所有防御塔攻击增加10%，上限30%\n[ffdf00]升级消耗：[-]50
62,70205,1052301,-1,70,78,3,1500,2,可同时攻击范围内的5个敌人，并降低30%的移动速度持续2秒\n[ffdf00]升级消耗：[-]70
63,70205,1053301,-1,90,102,3,1500,3,单体攻击，有70%的暴击率。并有30%的概率将敌人眩晕1秒\n[ffdf00]升级消耗：[-]90
64,70205,1054301,-1,100,120,3,1500,4,可攻击范围内的所有敌人，攻击范围增加20%\n[ffdf00]升级消耗：[-]100
65,70205,1055101,-1,-1,-1,1,0,5,单体攻击，拥有超高攻击力，有50%的暴击率。并有30%的概率将敌人眩晕1秒
66,70206,1061101,1061201,20,12,1,2000,1,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]20
67,70206,1062101,1062201,20,12,1,2000,2,可同时攻击范围内的3个敌人，并降低10%的移动速度持续2秒\n[ffdf00]建造消耗：[-]20
68,70206,1063101,1063201,30,18,1,2000,3,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]30
69,70206,1064101,1064201,40,24,1,2000,4,可攻击范围内的所有敌人\n[ffdf00]建造消耗：[-]40
70,70206,1061201,1061301,30,30,2,2000,1,单体攻击，场上所有防御塔攻击增加5%，上限30%\n[ffdf00]升级消耗：[-]30
71,70206,1062201,1062301,40,36,2,2000,2,可同时攻击范围内的4个敌人，并降低20%的移动速度持续2秒\n[ffdf00]升级消耗：[-]40
72,70206,1063201,1063301,50,48,2,2000,3,单体攻击，有25%的暴击率\n[ffdf00]升级消耗：[-]50
73,70206,1064201,1064301,60,60,2,2000,4,可攻击范围内的所有敌人，攻击范围增加10%\n[ffdf00]升级消耗：[-]60
74,70206,1061301,-1,50,60,3,2000,1,单体攻击，场上所有防御塔攻击增加10%，上限30%\n[ffdf00]升级消耗：[-]50
75,70206,1062301,-1,70,78,3,2000,2,可同时攻击范围内的5个敌人，并降低30%的移动速度持续2秒\n[ffdf00]升级消耗：[-]70
76,70206,1063301,-1,90,102,3,2000,3,单体攻击，有70%的暴击率。并有30%的概率将敌人眩晕1秒\n[ffdf00]升级消耗：[-]90
77,70206,1064301,-1,100,120,3,2000,4,可攻击范围内的所有敌人，攻击范围增加20%\n[ffdf00]升级消耗：[-]100
78,70206,1065101,-1,-1,-1,1,0,5,单体攻击，拥有超高攻击力，有50%的暴击率。并有30%的概率将敌人眩晕1秒
79,70207,1071101,1071201,20,12,1,2000,1,单体攻击，当前无特殊效果\n[ffdf00]建造消耗：[-]20
