id,monsterid,blood,resource,interval,monstertype,objectid
1,2010101,2,6,1,-1,-1
2,2010201,2,6,1,1,-1
3,2010301,2,0,1,2,-1
4,2010401,2,12,1,-1,-1
5,2010501,10,60,1,3,173312007
6,2020101,2,6,2,-1,-1
7,2020201,2,6,2,-1,-1
8,2020301,2,6,2,-1,-1
9,2020401,2,6,2,-1,-1
10,2020501,10,60,2,3,173312007
11,2020601,2,6,3,-1,-1
12,2020701,2,6,3,-1,-1
13,2020801,2,6,3,-1,-1
14,2020901,2,6,3,-1,-1
15,2021001,10,60,2,3,173312008
16,2021101,1,3,1,-1,-1
17,2021201,1,3,1,-1,-1
18,2021301,1,3,1,-1,-1
19,2021401,1,3,1,-1,-1
20,2021501,10,60,2,3,173312008
21,2030101,2,6,2,-1,-1
22,2030201,2,6,2,-1,-1
23,2030301,2,6,2,-1,-1
24,2030401,2,6,2,-1,-1
25,2030501,10,60,2,3,173312007
26,2030601,1,3,1,-1,-1
27,2030701,1,3,1,-1,-1
28,2030801,1,3,1,-1,-1
29,2030901,1,3,1,-1,-1
30,2031001,10,60,2,3,173312008
31,2031101,1,3,1,2,-1
32,2031201,1,3,1,2,-1
33,2031301,1,3,1,2,-1
34,2031401,1,3,1,2,-1
35,2031501,10,60,3,3,173312008
36,2040101,2,6,2,-1,-1
37,2040201,2,6,2,-1,-1
38,2040301,2,6,2,-1,-1
39,2040401,2,6,2,-1,-1
40,2040501,10,60,2,3,173312007
41,2040601,2,6,3,-1,-1
42,2040701,2,6,3,-1,-1
43,2040801,2,6,3,-1,-1
44,2040901,2,6,3,-1,-1
45,2041001,10,60,2,3,173312008
46,2041101,2,6,3,2,-1
47,2041201,2,6,3,2,-1
48,2041301,2,6,3,2,-1
49,2041401,2,6,3,2,-1
50,2041501,10,60,3,3,173312008
51,2050101,2,6,2,-1,-1
52,2050201,2,6,2,-1,-1
53,2050301,2,6,2,-1,-1
54,2050401,2,6,2,-1,-1
55,2050501,10,60,2,3,173312007
56,2050601,2,6,3,-1,-1
57,2050701,2,6,3,-1,-1
58,2050801,2,6,3,-1,-1
59,2050901,2,6,3,-1,-1
60,2051001,10,60,2,3,173312008
61,2051101,1,3,1,-1,-1
62,2051201,1,3,1,-1,-1
63,2051301,1,3,1,-1,-1
64,2051401,1,3,1,-1,-1
65,2051501,10,60,2,3,173312008
66,2051601,1,3,1,2,-1
67,2051701,1,3,1,2,-1
68,2051801,1,3,1,2,-1
69,2051901,1,3,1,2,-1
70,2052001,10,60,2,3,173312009
71,2060101,2,6,2,-1,-1
72,2060201,2,6,2,-1,-1
73,2060301,2,6,2,-1,-1
74,2060401,2,6,2,-1,-1
75,2060501,10,60,2,3,173312007
76,2060601,3,10,3,2,-1
77,2060701,3,10,3,2,-1
78,2060801,3,10,3,2,-1
79,2060901,3,10,3,2,-1
80,2061001,10,60,2,3,173312008
81,2061101,1,3,1,-1,-1
82,2061201,1,3,1,-1,-1
83,2061301,1,3,1,-1,-1
84,2061401,1,3,1,-1,-1
85,2061501,10,60,2,3,173312008
86,2061601,2,6,1,2,-1
87,2061701,2,6,1,1,-1
88,2061801,2,6,1,1,-1
89,2061901,2,6,1,1,-1
90,2062001,10,60,2,3,173312009
91,2070101,2,6,2,-1,-1
92,2070201,2,6,2,-1,-1
93,2070301,2,6,2,-1,-1
94,2070401,2,6,2,-1,-1
95,2070501,10,60,2,3,173312009
96,2070601,1,3,1,-1,-1
97,2070701,1,3,1,-1,-1
98,2070801,1,3,1,-1,-1
99,2070901,1,3,1,-1,-1
100,2071001,10,60,2,3,173312010
101,2071101,1,3,1,1,-1
102,2071201,1,3,1,1,-1
103,2071301,1,3,1,1,-1
104,2071401,1,3,1,1,-1
105,2071501,10,60,2,3,173312011
106,2071601,3,10,4,1,-1
107,2071701,3,10,4,1,-1
108,2071801,3,10,4,1,-1
109,2071901,3,10,4,1,-1
110,2072001,10,60,2,3,173312011
111,2080101,2,6,2,-1,-1
112,2080201,2,6,2,-1,-1
113,2080301,2,6,2,-1,-1
114,2080401,2,6,2,-1,-1
115,2080501,10,60,2,3,173312010
116,2080601,3,10,3,-1,-1
117,2080701,3,10,3,-1,-1
118,2080801,3,10,3,-1,-1
119,2080901,3,10,3,-1,-1
120,2081001,10,60,2,3,173312011
121,2081101,3,10,3,2,-1
122,2081201,3,10,3,2,-1
123,2081301,3,10,3,2,-1
124,2081401,3,10,3,2,-1
125,2081501,10,60,2,3,173312012
126,2081601,1,3,1,2,-1
127,2081701,1,3,1,2,-1
128,2081801,1,3,1,2,-1
129,2081901,1,3,1,2,-1
130,2082001,10,60,2,3,173312013
131,2082101,2,8,3,2,-1
132,2082201,2,8,3,2,-1
133,2082301,2,8,3,2,-1
134,2082401,2,8,3,2,-1
135,2082501,10,80,2,3,173312014
136,2090101,2,6,2,-1,-1
137,2090201,2,6,2,-1,-1
138,2090301,2,6,2,-1,-1
139,2090401,2,6,2,-1,-1
140,2090501,10,60,2,3,173312010
141,2090601,2,6,3,-1,-1
142,2090701,2,6,3,-1,-1
143,2090801,2,6,3,-1,-1
144,2090901,2,6,3,-1,-1
145,2091001,10,60,2,3,173312011
146,2091101,1,3,1,-1,-1
147,2091201,1,3,1,-1,-1
148,2091301,1,3,1,-1,-1
149,2091401,1,3,1,-1,-1
150,2091501,10,60,2,3,173312012
151,2091601,2,6,2,2,-1
152,2091701,2,6,2,2,-1
153,2091801,2,6,2,2,-1
154,2091901,2,6,2,2,-1
155,2092001,10,60,2,3,173312013
156,2092101,2,8,2,-1,-1
157,2092201,2,8,2,-1,-1
158,2092301,2,8,2,-1,-1
159,2092401,2,8,2,-1,-1
160,2092501,10,80,2,3,173312014
161,2100101,2,6,2,-1,-1
162,2100201,2,6,2,-1,-1
163,2100301,2,6,2,-1,-1
164,2100401,2,6,2,-1,-1
165,2100501,10,60,2,3,173312010
166,2100601,3,10,3,-1,-1
167,2100701,3,10,3,-1,-1
168,2100801,3,10,3,-1,-1
169,2100901,3,10,3,-1,-1
170,2101001,10,60,2,3,173312011
171,2101101,2,6,3,-1,-1
172,2101201,2,6,3,-1,-1
173,2101301,2,6,3,-1,-1
174,2101401,2,6,3,-1,-1
175,2101501,10,60,2,3,173312012
176,2101601,2,6,3,2,-1
177,2101701,2,6,3,2,-1
178,2101801,2,6,3,2,-1
179,2101901,2,6,3,2,-1
180,2102001,10,60,2,3,173312013
181,2102101,2,8,3,2,-1
182,2102201,2,8,3,2,-1
183,2102301,2,8,3,2,-1
184,2102401,2,8,3,2,-1
185,2102501,10,80,2,3,173312014
186,2110101,2,6,2,-1,-1
187,2110201,2,6,2,-1,-1
188,2110301,2,6,2,-1,-1
189,2110401,2,6,2,-1,-1
190,2110501,10,60,2,3,173312010
