id,luckmin,luckmax,runeid,copyid,percent,special
1,0,99,101000001,-1,30,1
2,0,99,101000002,-1,60,1
3,0,99,101000003,-1,60,1
4,0,99,102000001,-1,40,1
5,0,99,102000002,-1,80,1
6,0,99,102000003,-1,80,1
7,0,99,103000001,-1,1500,0
8,0,99,103000002,-1,3000,0
9,0,99,103000003,-1,3000,0
10,0,99,104000001,-1,3000,0
11,0,99,104000002,-1,6000,0
12,0,99,104000003,-1,6000,0
13,0,99,105000001,-1,2500,0
14,0,99,105000002,-1,5000,0
15,0,99,105000003,-1,5000,0
16,0,99,106000001,-1,1500,0
17,0,99,106000002,-1,3000,0
18,0,99,106000003,-1,3000,0
19,0,99,103000015,-1,5000,0
20,0,99,104000015,-1,2150,0
21,100,100,101000001,-1,60,1
22,100,100,101000002,-1,120,1
23,100,100,101000003,-1,120,1
24,100,100,102000001,-1,140,1
25,100,100,102000002,-1,280,1
26,100,100,102000003,-1,280,1
27,0,99,101000001,70203,30,1
28,0,99,101000002,70203,60,1
29,0,99,101000003,70203,60,1
30,0,99,101000010,70203,60,1
31,0,99,102000001,70203,40,1
32,0,99,102000002,70203,80,1
33,0,99,102000003,70203,80,1
34,0,99,102000010,70203,80,1
35,0,99,103000001,70203,1500,0
36,0,99,103000002,70203,3000,0
37,0,99,103000003,70203,3000,0
38,0,99,103000010,70203,3000,0
39,0,99,104000001,70203,3000,0
40,0,99,104000002,70203,6000,0
41,0,99,104000003,70203,6000,0
42,0,99,104000010,70203,6000,0
43,0,99,105000001,70203,2500,0
44,0,99,105000002,70203,5000,0
45,0,99,105000003,70203,5000,0
46,0,99,105000010,70203,5000,0
47,0,99,106000001,70203,1500,0
48,0,99,106000002,70203,3000,0
49,0,99,106000003,70203,3000,0
50,0,99,106000010,70203,3000,0
51,0,99,103000015,70203,7000,0
52,0,99,104000015,70203,3010,0
53,100,100,101000001,70203,60,1
54,100,100,101000002,70203,120,1
55,100,100,101000003,70203,120,1
56,100,100,101000010,70203,120,1
57,100,100,102000001,70203,140,1
58,100,100,102000002,70203,280,1
59,100,100,102000003,70203,280,1
60,100,100,102000010,70203,280,1
61,0,99,101000001,70201,30,1
62,0,99,101000002,70201,60,1
63,0,99,101000003,70201,60,1
64,0,99,102000001,70201,40,1
65,0,99,102000002,70201,80,1
66,0,99,102000003,70201,80,1
67,0,99,103000001,70201,1500,0
68,0,99,103000002,70201,3000,0
69,0,99,103000003,70201,3000,0
70,0,99,104000001,70201,3000,0
71,0,99,104000002,70201,6000,0
72,0,99,104000003,70201,6000,0
73,0,99,105000001,70201,2500,0
74,0,99,105000002,70201,5000,0
75,0,99,105000003,70201,5000,0
76,0,99,106000001,70201,1500,0
77,0,99,106000002,70201,3000,0
78,0,99,106000003,70201,3000,0
79,0,99,103000015,70201,5000,0
80,0,99,104000015,70201,2150,0
81,100,100,101000001,70201,60,1
82,100,100,101000002,70201,120,1
83,100,100,101000003,70201,120,1
84,100,100,102000001,70201,140,1
85,100,100,102000002,70201,280,1
86,100,100,102000003,70201,280,1
87,0,99,101000001,70202,30,1
88,0,99,101000002,70202,60,1
89,0,99,101000003,70202,60,1
90,0,99,102000001,70202,40,1
91,0,99,102000002,70202,80,1
92,0,99,102000003,70202,80,1
93,0,99,103000001,70202,1500,0
94,0,99,103000002,70202,3000,0
95,0,99,103000003,70202,3000,0
96,0,99,104000001,70202,3000,0
97,0,99,104000002,70202,6000,0
98,0,99,104000003,70202,6000,0
99,0,99,105000001,70202,2500,0
100,0,99,105000002,70202,5000,0
101,0,99,105000003,70202,5000,0
102,0,99,106000001,70202,1500,0
103,0,99,106000002,70202,3000,0
104,0,99,106000003,70202,3000,0
105,0,99,103000015,70202,5000,0
106,0,99,104000015,70202,2150,0
107,100,100,101000001,70202,60,1
108,100,100,101000002,70202,120,1
109,100,100,101000003,70202,120,1
110,100,100,102000001,70202,140,1
111,100,100,102000002,70202,280,1
112,100,100,102000003,70202,280,1
113,0,99,101000001,70204,30,1
114,0,99,101000002,70204,60,1
115,0,99,101000003,70204,60,1
116,0,99,101000010,70204,60,1
117,0,99,102000001,70204,40,1
118,0,99,102000002,70204,80,1
119,0,99,102000003,70204,80,1
120,0,99,102000010,70204,80,1
121,0,99,103000001,70204,1500,0
122,0,99,103000002,70204,3000,0
123,0,99,103000003,70204,3000,0
124,0,99,103000010,70204,3000,0
125,0,99,104000001,70204,3000,0
126,0,99,104000002,70204,6000,0
127,0,99,104000003,70204,6000,0
128,0,99,104000010,70204,6000,0
129,0,99,105000001,70204,2500,0
130,0,99,105000002,70204,5000,0
131,0,99,105000003,70204,5000,0
132,0,99,105000010,70204,5000,0
133,0,99,106000001,70204,1500,0
134,0,99,106000002,70204,3000,0
135,0,99,106000003,70204,3000,0
136,0,99,106000010,70204,3000,0
137,0,99,103000015,70204,7000,0
138,0,99,104000015,70204,3010,0
139,100,100,101000001,70204,60,1
140,100,100,101000002,70204,120,1
141,100,100,101000003,70204,120,1
142,100,100,101000010,70204,120,1
143,100,100,102000001,70204,140,1
144,100,100,102000002,70204,280,1
145,100,100,102000003,70204,280,1
146,100,100,102000010,70204,280,1
147,0,99,101000001,70205,30,1
148,0,99,101000002,70205,60,1
