id,objectid,bind,kind,sorce,profession
1,173303008,1,2,1000,0
2,101000001,1,3,1200,0
3,101000002,1,3,1200,0
4,101000003,1,3,1200,0
5,101000004,1,3,1200,0
6,101000005,1,3,1200,0
7,101000006,1,3,1200,0
8,101000007,1,3,1200,0
9,101000008,1,3,1200,0
10,101000009,1,3,1200,0
11,101000010,1,3,1200,0
12,101000011,1,3,1200,0
13,101000012,1,3,1200,0
14,101000013,1,3,1200,0
15,101000014,1,3,1200,0
16,102000001,1,3,600,0
17,102000002,1,3,600,0
18,102000003,1,3,600,0
19,102000004,1,3,600,0
20,102000005,1,3,600,0
21,102000006,1,3,600,0
22,102000007,1,3,600,0
23,102000008,1,3,600,0
24,102000009,1,3,600,0
25,102000010,1,3,600,0
26,102000011,1,3,600,0
27,102000012,1,3,600,0
28,102000013,1,3,600,0
29,102000014,1,3,600,0
