id,copyid,runeid,rank
1,-1,101000001,1
2,-1,103000002,2
3,-1,226556001,3
4,-1,101000002,4
5,-1,225556002,5
6,-1,102000001,6
7,-1,101000003,7
8,-1,224556003,8
9,-1,102000002,9
10,-1,103000015,10
11,-1,223556004,11
12,-1,102000003,12
13,-1,222556005,13
14,-1,104000015,14
15,-1,221556006,15
16,-1,103000001,16
17,70203,101000001,1
18,70203,103000002,2
19,70203,226556001,3
20,70203,101000002,4
21,70203,225556002,5
22,70203,102000001,6
23,70203,101000003,7
24,70203,224556003,8
25,70203,102000002,9
26,70203,103000015,10
27,70203,223556004,11
28,70203,102000003,12
29,70203,222556005,13
30,70203,104000015,14
31,70203,221556006,15
32,70203,103000001,16
33,70205,101000001,1
34,70205,103000002,2
35,70205,226556001,3
36,70205,101000002,4
37,70205,225556002,5
38,70205,102000001,6
39,70205,101000003,7
40,70205,224556003,8
41,70205,102000002,9
42,70205,103000015,10
43,70205,223556004,11
44,70205,102000003,12
45,70205,222556005,13
46,70205,104000015,14
47,70205,221556006,15
48,70205,103000001,16
49,70207,101000001,1
50,70207,103000002,2
51,70207,226556001,3
52,70207,101000002,4
53,70207,225556002,5
54,70207,102000001,6
55,70207,101000003,7
56,70207,224556003,8
57,70207,102000002,9
58,70207,103000015,10
59,70207,223556004,11
60,70207,102000003,12
61,70207,222556005,13
62,70207,104000015,14
63,70207,221556006,15
64,70207,103000001,16
65,70209,101000001,1
66,70209,103000002,2
67,70209,226556001,3
68,70209,101000002,4
69,70209,225556002,5
70,70209,102000001,6
71,70209,101000003,7
72,70209,224556003,8
73,70209,102000002,9
74,70209,103000015,10
75,70209,223556004,11
76,70209,102000003,12
77,70209,222556005,13
78,70209,104000015,14
79,70209,221556006,15
80,70209,103000001,16
81,70211,101000001,1
82,70211,103000002,2
83,70211,226556001,3
84,70211,101000002,4
85,70211,225556002,5
86,70211,102000001,6
87,70211,101000003,7
88,70211,224556003,8
89,70211,102000002,9
90,70211,103000015,10
91,70211,223556004,11
92,70211,102000003,12
93,70211,222556005,13
94,70211,104000015,14
95,70211,221556006,15
96,70211,103000001,16
97,70213,101000001,1
98,70213,103000002,2
99,70213,226556001,3
100,70213,101000002,4
101,70213,225556002,5
102,70213,102000001,6
103,70213,101000003,7
104,70213,224556003,8
105,70213,102000002,9
106,70213,103000015,10
107,70213,223556004,11
108,70213,102000003,12
109,70213,222556005,13
110,70213,104000015,14
111,70213,221556006,15
112,70213,103000001,16
