id,runeid,copyid,percent
1,103000001,-1,10
2,103000002,-1,20
3,103000003,-1,20
4,103000001,70201,10
5,103000002,70201,20
6,103000003,70201,20
7,103000001,70202,10
8,103000002,70202,20
9,103000003,70202,20
10,103000004,70207,20
11,103000005,70207,20
12,103000006,70205,20
13,103000007,70205,20
14,103000008,70213,10
15,103000009,70209,20
16,103000010,70203,20
17,103000011,70213,10
18,103000012,70209,20
19,103000013,70211,20
20,103000014,70211,20
21,103000001,70204,10
22,103000002,70204,20
23,103000003,70204,20
24,103000010,70204,20
25,103000001,70203,10
26,103000002,70203,20
27,103000003,70203,20
28,103000006,70206,20
29,103000007,70206,20
30,103000001,70206,10
31,103000002,70206,20
32,103000003,70206,20
33,103000010,70206,20
34,103000001,70205,10
35,103000002,70205,20
36,103000003,70205,20
37,103000010,70205,20
38,103000004,70208,20
39,103000005,70208,20
40,103000006,70208,20
41,103000007,70208,20
42,103000001,70208,10
43,103000002,70208,20
44,103000003,70208,20
45,103000010,70208,20
46,103000006,70207,20
47,103000007,70207,20
48,103000001,70207,10
49,103000002,70207,20
50,103000003,70207,20
51,103000010,70207,20
52,103000009,70210,20
53,103000012,70210,20
54,103000004,70210,20
55,103000005,70210,20
56,103000006,70210,20
57,103000007,70210,20
58,103000001,70210,10
59,103000002,70210,20
60,103000003,70210,20
61,103000010,70210,20
62,103000004,70209,20
63,103000005,70209,20
64,103000006,70209,20
65,103000007,70209,20
66,103000001,70209,10
67,103000002,70209,20
68,103000003,70209,20
69,103000010,70209,20
70,103000013,70212,20
71,103000014,70212,20
72,103000009,70212,20
73,103000012,70212,20
74,103000004,70212,20
75,103000005,70212,20
76,103000006,70212,20
77,103000007,70212,20
78,103000001,70212,10
79,103000002,70212,20
80,103000003,70212,20
81,103000010,70212,20
82,103000009,70211,20
83,103000012,70211,20
84,103000004,70211,20
85,103000005,70211,20
86,103000006,70211,20
87,103000007,70211,20
88,103000001,70211,10
89,103000002,70211,20
90,103000003,70211,20
91,103000010,70211,20
92,103000008,70214,10
93,103000011,70214,10
94,103000013,70214,20
95,103000014,70214,20
96,103000009,70214,20
97,103000012,70214,20
98,103000004,70214,20
99,103000005,70214,20
100,103000006,70214,20
101,103000007,70214,20
102,103000001,70214,10
103,103000002,70214,20
104,103000003,70214,20
105,103000010,70214,20
106,103000013,70213,20
107,103000014,70213,20
108,103000009,70213,20
109,103000012,70213,20
110,103000004,70213,20
111,103000005,70213,20
112,103000006,70213,20
113,103000007,70213,20
114,103000001,70213,10
115,103000002,70213,20
116,103000003,70213,20
117,103000010,70213,20
