id,runeid,copyid,rank,runekind
1,101000001,-1,1,1
2,101000002,-1,7,1
3,101000003,-1,14,1
4,101000010,70203,21,1
5,101000006,70205,28,1
6,101000007,70205,35,1
7,101000004,70207,42,1
8,101000005,70207,49,1
9,101000009,70209,56,1
10,101000012,70209,63,1
11,101000013,70211,70,1
12,101000014,70211,77,1
13,101000008,70213,84,1
14,101000011,70213,91,1
15,102000001,-1,2,2
16,102000002,-1,8,2
17,102000003,-1,15,2
18,102000010,70203,22,2
19,102000006,70205,29,2
20,102000007,70205,36,2
21,102000004,70207,43,2
22,102000005,70207,50,2
23,102000009,70209,57,2
24,102000012,70209,64,2
25,102000013,70211,71,2
26,102000014,70211,78,2
27,102000008,70213,85,2
28,102000011,70213,92,2
29,103000001,-1,3,3
30,103000002,-1,9,3
31,103000003,-1,16,3
32,103000010,70203,23,3
33,103000006,70205,30,3
34,103000007,70205,37,3
35,103000004,70207,44,3
36,103000005,70207,51,3
37,103000009,70209,58,3
38,103000012,70209,65,3
39,103000013,70211,72,3
40,103000014,70211,79,3
41,103000008,70213,86,3
42,103000011,70213,93,3
43,103000015,-1,-1,0
44,104000001,-1,4,4
45,104000002,-1,10,4
46,104000003,-1,17,4
47,104000010,70203,24,4
48,104000006,70205,31,4
49,104000007,70205,38,4
50,104000004,70207,45,4
51,104000005,70207,52,4
52,104000009,70209,59,4
53,104000012,70209,66,4
54,104000013,70211,73,4
55,104000014,70211,80,4
56,104000008,70213,87,4
57,104000011,70213,94,4
58,104000015,-1,-1,7
59,105000001,-1,5,5
60,105000002,-1,11,5
61,105000003,-1,18,5
62,105000010,70203,25,5
63,105000006,70205,32,5
64,105000007,70205,39,5
65,105000004,70207,46,5
66,105000005,70207,53,5
67,105000009,70209,60,5
68,105000012,70209,67,5
69,105000013,70211,74,5
70,105000014,70211,81,5
71,105000008,70213,88,5
72,105000011,70213,95,5
73,106000001,-1,6,6
74,106000002,-1,12,6
75,106000003,-1,19,6
76,106000010,70203,26,6
77,106000006,70205,33,6
78,106000007,70205,40,6
79,106000004,70207,47,6
80,106000005,70207,54,6
81,106000009,70209,61,6
82,106000012,70209,68,6
83,106000013,70211,75,6
84,106000014,70211,82,6
85,106000008,70213,89,6
86,106000011,70213,96,6
