id,kind,rankmix,rankmax,objectid,number,bind
1,1,1,1,181354001,3,1
2,1,1,1,182353001,5,1
3,1,1,1,122052008,1,1
4,1,1,1,182370004,30,1
5,1,1,1,182390003,1,1
6,1,1,1,182391003,1,1
7,1,1,1,173304007,1000,1
8,1,2,2,181354001,1,1
9,1,2,2,182353001,4,1
10,1,2,2,182370004,20,1
11,1,2,2,182391003,1,1
12,1,2,2,173304007,800,1
13,1,3,4,182353001,3,1
14,1,3,4,182370004,15,1
15,1,3,4,182390003,1,1
16,1,3,4,173304007,500,1
17,1,5,8,182353001,2,1
18,1,5,8,182370004,10,1
19,1,5,8,183391002,3,1
20,1,5,8,173304007,300,1
21,1,9,16,182353001,2,1
22,1,9,16,182370004,5,1
23,1,9,16,183390002,9,1
24,1,9,16,173304007,200,1
25,2,1,1,182353001,2,1
26,2,1,1,182370004,5,1
27,2,1,1,183390002,5,1
28,2,1,1,173304007,150,1
29,2,2,2,182353001,2,1
30,2,2,2,182370004,3,1
31,2,2,2,184391001,5,1
32,2,2,2,173304007,100,1
33,2,3,4,182353001,2,1
34,2,3,4,182370004,2,1
35,2,3,4,184390001,3,1
36,2,3,4,173304007,80,1
37,2,5,8,182353001,2,1
38,2,5,8,182370004,2,1
39,2,5,8,184390001,2,1
40,2,5,8,173304007,50,1
41,2,9,16,182353001,1,1
42,2,9,16,182370004,1,1
43,2,9,16,184390001,1,1
44,2,9,16,173304007,30,1
45,3,1,1,183351001,5,1
46,3,1,1,173304007,20,1
