id,level,number
1,30,250000
2,31,255000
3,32,260000
4,33,265000
5,34,270000
6,35,275000
7,36,280000
8,37,285000
9,38,290000
10,39,295000
11,40,300000
12,41,305000
13,42,310000
14,43,315000
15,44,320000
16,45,325000
17,1040,325000
18,1041,325000
19,1042,325000
20,1043,325000
21,1044,325000
22,1045,325000
23,1046,330000
24,1047,335000
25,1048,340000
26,1049,345000
27,1050,350000
28,2045,350000
29,2046,350000
30,2047,350000
31,2048,350000
32,2049,350000
33,2050,350000
34,2051,355000
35,2052,360000
36,2053,365000
37,2054,370000
38,2055,375000
39,3050,375000
40,3051,375000
41,3052,375000
42,3053,375000
43,3054,375000
44,3055,375000
45,3056,380000
46,3057,385000
47,3058,390000
48,3059,395000
49,3060,400000
50,4055,400000
51,4056,400000
52,4057,400000
53,4058,400000
54,4059,400000
55,4060,400000
56,4061,405000
57,4062,410000
58,4063,415000
59,4064,420000
60,4065,425000
61,5060,425000
62,5061,425000
63,5062,425000
64,5063,425000
65,5064,425000
66,5065,425000
67,5066,430000
68,5067,435000
69,5068,440000
70,5069,445000
71,5070,450000
72,6065,450000
73,6066,450000
74,6067,450000
75,6068,450000
76,6069,450000
77,6070,450000
78,6071,455000
79,6072,460000
80,6073,465000
81,6074,470000
82,6075,475000
83,7070,475000
84,7071,475000
85,7072,475000
86,7073,475000
87,7074,475000
88,7075,475000
89,7076,480000
90,7077,485000
91,7078,490000
92,7079,495000
93,7080,500000
94,8075,500000
95,8076,500000
96,8077,500000
97,8078,500000
98,8079,500000
99,8080,500000
100,8081,505000
101,8082,510000
102,8083,515000
103,8084,520000
104,8085,525000
105,9080,525000
106,9081,525000
107,9082,525000
108,9083,525000
109,9084,525000
110,9085,525000
111,9086,530000
112,9087,535000
113,9088,540000
114,9089,545000
115,9090,550000
116,10085,550000
117,10086,550000
118,10087,550000
119,10088,550000
120,10089,550000
121,10090,550000
122,10091,555000
123,10092,560000
124,10093,565000
125,10094,570000
126,10095,575000
127,11090,575000
128,11091,575000
129,11092,575000
130,11093,575000
131,11094,575000
132,11095,575000
133,11096,580000
134,11097,585000
135,11098,590000
136,11099,595000
137,11100,600000
