id,count,cost
1,5,100
2,10,150
3,15,200
4,20,250
5,25,300
6,30,350
7,35,400
8,40,450
9,45,500
10,50,500
11,55,500
12,60,500
13,65,500
14,70,500
15,75,500
16,80,500
17,85,500
18,90,500
19,95,500
20,100,500
21,105,500
22,110,500
23,115,500
24,120,500
25,125,500
26,130,500
27,135,500
28,140,500
29,145,500
30,150,500
31,155,500
32,160,500
33,165,500
34,170,500
35,175,500
36,180,500
37,185,500
38,190,500
39,195,500
40,200,500
41,205,500
42,210,500
43,215,500
44,220,500
45,225,500
46,230,500
47,235,500
48,240,500
49,245,500
50,250,500
51,255,500
52,260,500
53,265,500
54,270,500
55,275,500
56,280,500
57,285,500
58,290,500
59,295,500
60,300,500
61,305,500
62,310,500
63,315,500
64,320,500
65,325,500
66,330,500
67,335,500
68,340,500
69,345,500
70,350,500
71,355,500
72,360,500
73,365,500
74,370,500
75,375,500
76,380,500
77,385,500
78,390,500
79,395,500
80,400,500
81,405,500
82,410,500
83,415,500
84,420,500
85,425,500
86,430,500
87,435,500
88,440,500
89,445,500
90,450,500
91,455,500
92,460,500
93,465,500
94,470,500
95,475,500
96,480,500
97,485,500
98,490,500
99,495,500
100,500,500
101,505,500
102,510,500
103,515,500
104,520,500
105,525,500
106,530,500
107,535,500
108,540,500
109,545,500
110,550,500
111,555,500
112,560,500
113,565,500
114,570,500
115,575,500
116,580,500
117,585,500
118,590,500
119,595,500
120,600,500
121,605,500
122,610,500
123,615,500
124,620,500
125,625,500
126,630,500
127,635,500
128,640,500
129,645,500
130,650,500
131,655,500
132,660,500
133,665,500
134,670,500
135,675,500
136,680,500
137,685,500
138,690,500
139,695,500
140,700,500
141,705,500
142,710,500
143,715,500
144,720,500
145,725,500
146,730,500
147,735,500
148,740,500
149,745,500
150,750,500
151,755,500
152,760,500
153,765,500
154,770,500
155,775,500
156,780,500
157,785,500
158,790,500
159,795,500
160,800,500
161,805,500
162,810,500
163,815,500
164,820,500
165,825,500
166,830,500
167,835,500
168,840,500
169,845,500
170,850,500
171,855,500
172,860,500
173,865,500
174,870,500
175,875,500
176,880,500
177,885,500
178,890,500
179,895,500
180,900,500
181,905,500
182,910,500
183,915,500
184,920,500
185,925,500
186,930,500
187,935,500
188,940,500
189,945,500
190,950,500
191,955,500
192,960,500
193,965,500
194,970,500
195,975,500
196,980,500
197,985,500
198,990,500
199,995,500
200,1000,500
201,1005,500
202,1010,500
203,1015,500
204,1020,500
205,1025,500
206,1030,500
207,1035,500
208,1040,500
209,1045,500
210,1050,500
211,1055,500
212,1060,500
213,1065,500
214,1070,500
215,1075,500
216,1080,500
217,1085,500
218,1090,500
219,1095,500
220,1100,500
221,1105,500
222,1110,500
223,1115,500
224,1120,500
225,1125,500
226,1130,500
227,1135,500
228,1140,500
229,1145,500
230,1150,500
231,1155,500
232,1160,500
233,1165,500
234,1170,500
235,1175,500
236,1180,500
237,1185,500
238,1190,500
239,1195,500
240,1200,500
241,1205,500
242,1210,500
243,1215,500
244,1220,500
245,1225,500
246,1230,500
247,1235,500
248,1240,500
249,1245,500
250,1250,500
