id,feat,objectid,number,bind
1,100,173304004,10,1
2,100,184370009,3,1
3,300,173304004,20,1
4,300,184370009,5,1
5,500,173304004,30,1
6,500,184370009,7,1
7,500,184395001,1,1
8,1000,173304004,40,1
9,1000,184370009,10,1
10,1000,184395001,2,1
11,2000,173304004,50,1
12,2000,183370010,3,1
13,2000,184395001,3,1
14,3000,173304004,60,1
15,3000,183370010,5,1
16,3000,183395002,1,1
17,4000,173304004,70,1
18,4000,183370010,7,1
19,4000,183395002,1,1
20,5000,173304004,80,1
21,5000,183370010,9,1
22,5000,183395002,1,1
23,7000,173304004,90,1
24,7000,182370011,3,1
25,7000,183395002,2,1
