id,rankmin,rankmax,rankid,honor,sorcewin,featlose,sorcelose,describe,rankkind,describe_2,featwin,comparerobot,wattobot
1,0,50,1,300,50,10,0,青铜一阶,1,青铜,10,50,20
2,51,100,2,400,50,10,0,青铜二阶,1,青铜,10,50,20
3,101,150,3,500,50,10,0,青铜三阶,1,青铜,10,50,20
4,151,200,4,600,50,10,0,青铜四阶,1,青铜,10,50,20
5,201,250,5,700,50,10,0,青铜五阶,1,青铜,10,50,20
6,251,300,6,800,50,20,15,白银一阶,2,白银,20,40,30
7,301,350,7,900,50,20,15,白银二阶,2,白银,20,40,30
8,351,400,8,1000,50,20,15,白银三阶,2,白银,20,40,30
9,401,450,9,1100,50,20,15,白银四阶,2,白银,20,40,30
10,451,500,10,1200,50,20,15,白银五阶,2,白银,20,40,30
11,501,600,11,1300,50,30,30,黄金一阶,3,黄金,30,30,40
12,601,700,12,1400,50,30,30,黄金二阶,3,黄金,30,30,40
13,701,800,13,1500,50,30,30,黄金三阶,3,黄金,30,30,40
14,801,900,14,1600,50,30,30,黄金四阶,3,黄金,30,30,40
15,901,1000,15,1700,50,30,30,黄金五阶,3,黄金,30,30,40
16,1001,1100,16,1800,50,50,40,白金一阶,4,白金,50,20,50
17,1101,1200,17,1900,50,50,40,白金二阶,4,白金,50,20,50
18,1201,1300,18,2000,50,50,40,白金三阶,4,白金,50,20,50
19,1301,1400,19,2100,50,50,40,白金四阶,4,白金,50,20,50
20,1401,1500,20,2200,50,50,40,白金五阶,4,白金,50,20,50
21,1501,1700,21,2300,50,70,50,钻石一阶,5,钻石,70,10,60
22,1701,1900,22,2400,50,70,50,钻石二阶,5,钻石,70,10,60
23,1901,2100,23,2500,50,70,50,钻石三阶,5,钻石,70,10,60
24,2101,2300,24,2600,50,70,50,钻石四阶,5,钻石,70,10,60
25,2301,2500,25,2700,50,70,50,钻石五阶,5,钻石,70,10,60
26,2501,2700,26,2800,50,100,50,王者一阶,6,王者,100,0,70
27,2701,2900,27,2900,50,100,50,王者二阶,6,王者,100,0,70
28,2901,3100,28,3000,50,100,50,王者三阶,6,王者,100,0,70
29,3101,3300,29,3100,50,100,50,王者四阶,6,王者,100,0,70
30,3301,9999999,30,3200,50,100,50,王者五阶,6,王者,100,0,70
