id,kindid,rankmin,rankmax,objectid,number,bind,color
1,2,1,1,131100006,1,1,ui_dfjj0012_01
2,2,1,1,122052015,1,1,ui_dfjj0012_01
3,2,1,1,181354001,3,1,ui_dfjj0012_01
4,2,1,1,182370011,15,1,ui_dfjj0012_01
5,2,1,1,182395003,1,1,ui_dfjj0012_01
6,2,2,2,132100007,1,1,ui_dfjj0012_01
7,2,2,2,122052015,1,1,ui_dfjj0012_01
8,2,2,2,181354001,2,1,ui_dfjj0012_01
9,2,2,2,182370011,10,1,ui_dfjj0012_01
10,2,2,2,182393003,1,1,ui_dfjj0012_01
11,2,3,3,133100008,1,1,ui_dfjj0012_01
12,2,3,3,122052015,1,1,ui_dfjj0012_01
13,2,3,3,181354001,1,1,ui_dfjj0012_01
14,2,3,3,182370011,5,1,ui_dfjj0012_01
15,2,3,3,183395002,5,1,ui_dfjj0012_01
16,2,4,10,182353001,5,1,ui_dfjj0013_01
17,2,4,10,182370011,5,1,ui_dfjj0013_01
18,2,4,10,183395002,4,1,ui_dfjj0013_01
19,2,11,20,182353001,3,1,ui_dfjj0014_01
20,2,11,20,182370011,3,1,ui_dfjj0014_01
21,2,11,20,183395002,3,1,ui_dfjj0014_01
22,2,21,50,182353001,2,1,ui_dfjj0014_01
23,2,21,50,182370011,2,1,ui_dfjj0014_01
24,2,21,50,183395002,2,1,ui_dfjj0014_01
25,1,30,30,182370011,20,1,ui_dfjj0015_01
26,1,30,30,183395002,10,1,ui_dfjj0015_01
27,1,29,29,182370011,15,1,ui_dfjj0015_01
28,1,29,29,183395002,8,1,ui_dfjj0015_01
29,1,28,28,182370011,15,1,ui_dfjj0015_01
30,1,28,28,183395002,6,1,ui_dfjj0015_01
31,1,27,27,182370011,15,1,ui_dfjj0015_01
32,1,27,27,183395002,4,1,ui_dfjj0015_01
33,1,26,26,182370011,15,1,ui_dfjj0015_01
34,1,26,26,183395002,2,1,ui_dfjj0015_01
35,1,25,25,182370011,15,1,ui_dfjj0015_01
36,1,24,24,182370011,15,1,ui_dfjj0015_01
37,1,23,23,182370011,10,1,ui_dfjj0015_01
38,1,22,22,182370011,10,1,ui_dfjj0015_01
39,1,21,21,182370011,10,1,ui_dfjj0015_01
40,1,20,20,183370010,30,1,ui_dfjj0015_01
41,1,19,19,183370010,30,1,ui_dfjj0015_01
42,1,18,18,183370010,20,1,ui_dfjj0015_01
43,1,17,17,183370010,20,1,ui_dfjj0015_01
44,1,16,16,183370010,20,1,ui_dfjj0015_01
45,1,15,15,183370010,15,1,ui_dfjj0015_01
46,1,14,14,183370010,15,1,ui_dfjj0015_01
47,1,13,13,183370010,15,1,ui_dfjj0015_01
48,1,12,12,183370010,10,1,ui_dfjj0015_01
49,1,11,11,183370010,10,1,ui_dfjj0015_01
