id,level,winexp,loseexp,objectid,number_win,number_lose,bind,gold_win,gold_lose
1,30,45000,22500,215503001,2000,1000,2,0,0
2,31,48050,24025,215503001,2000,1000,2,0,0
3,32,51200,25600,215503001,2000,1000,2,0,0
4,33,54450,27225,215503001,2000,1000,2,0,0
5,34,57800,28900,215503001,2000,1000,2,0,0
6,35,61250,30625,215503001,2000,1000,2,0,0
7,36,64800,32400,215503001,2000,1000,2,0,0
8,37,68450,34225,215503001,2000,1000,2,0,0
9,38,72200,36100,215503001,2000,1000,2,0,0
10,39,76050,38025,215503001,2000,1000,2,0,0
11,40,80000,40000,215503001,2000,1000,2,0,0
12,41,84050,42025,215503001,2000,1000,2,0,0
13,42,88200,44100,215503001,2000,1000,2,0,0
14,43,92450,46225,215503001,2000,1000,2,0,0
15,44,96800,48400,215503001,2000,1000,2,0,0
16,45,101250,50625,215503001,2000,1000,2,0,0
17,1040,80000,40000,215503001,2000,1000,2,0,0
18,1041,84050,42025,215503001,2000,1000,2,0,0
19,1042,88200,44100,215503001,2000,1000,2,0,0
20,1043,92450,46225,215503001,2000,1000,2,0,0
21,1044,96800,48400,215503001,2000,1000,2,0,0
22,1045,101250,50625,215503001,2000,1000,2,0,0
23,1046,105800,52900,215503001,2000,1000,2,0,0
24,1047,110450,55225,215503001,2000,1000,2,0,0
25,1048,115200,57600,215503001,2000,1000,2,0,0
26,1049,120050,60025,215503001,2000,1000,2,0,0
27,1050,125000,62500,215503001,2000,1000,2,0,0
28,2045,101250,50625,215503001,2000,1000,2,0,0
29,2046,105800,52900,215503001,2000,1000,2,0,0
30,2047,110450,55225,215503001,2000,1000,2,0,0
31,2048,115200,57600,215503001,2000,1000,2,0,0
32,2049,120050,60025,215503001,2000,1000,2,0,0
33,2050,125000,62500,215503001,2000,1000,2,0,0
34,2051,130050,65025,215503001,2000,1000,2,0,0
35,2052,135200,67600,215503001,2000,1000,2,0,0
36,2053,140450,70225,215503001,2000,1000,2,0,0
37,2054,145800,72900,215503001,2000,1000,2,0,0
38,2055,151250,75625,215503001,2000,1000,2,0,0
39,3050,125000,62500,215503001,2000,1000,2,0,0
40,3051,130050,65025,215503001,2000,1000,2,0,0
41,3052,135200,67600,215503001,2000,1000,2,0,0
42,3053,140450,70225,215503001,2000,1000,2,0,0
43,3054,145800,72900,215503001,2000,1000,2,0,0
44,3055,151250,75625,215503001,2000,1000,2,0,0
45,3056,156800,78400,215503001,2000,1000,2,0,0
46,3057,162450,81225,215503001,2000,1000,2,0,0
47,3058,168200,84100,215503001,2000,1000,2,0,0
48,3059,174050,87025,215503001,2000,1000,2,0,0
49,3060,180000,90000,215503001,2000,1000,2,0,0
50,4055,151250,75625,215503001,2000,1000,2,0,0
51,4056,156800,78400,215503001,2000,1000,2,0,0
52,4057,162450,81225,215503001,2000,1000,2,0,0
53,4058,168200,84100,215503001,2000,1000,2,0,0
54,4059,174050,87025,215503001,2000,1000,2,0,0
55,4060,180000,90000,215503001,2000,1000,2,0,0
56,4061,186050,93025,215503001,2000,1000,2,0,0
57,4062,192200,96100,215503001,2000,1000,2,0,0
58,4063,198450,99225,215503001,2000,1000,2,0,0
59,4064,204800,102400,215503001,2000,1000,2,0,0
60,4065,211250,105625,215503001,2000,1000,2,0,0
61,5060,180000,90000,215503001,2000,1000,2,0,0
62,5061,186050,93025,215503001,2000,1000,2,0,0
63,5062,192200,96100,215503001,2000,1000,2,0,0
64,5063,198450,99225,215503001,2000,1000,2,0,0
65,5064,204800,102400,215503001,2000,1000,2,0,0
66,5065,211250,105625,215503001,2000,1000,2,0,0
67,5066,217800,108900,215503001,2000,1000,2,0,0
68,5067,224450,112225,215503001,2000,1000,2,0,0
69,5068,231200,115600,215503001,2000,1000,2,0,0
70,5069,238050,119025,215503001,2000,1000,2,0,0
71,5070,245000,122500,215503001,2000,1000,2,0,0
72,6065,211250,105625,215503001,2000,1000,2,0,0
73,6066,217800,108900,215503001,2000,1000,2,0,0
74,6067,224450,112225,215503001,2000,1000,2,0,0
75,6068,231200,115600,215503001,2000,1000,2,0,0
76,6069,238050,119025,215503001,2000,1000,2,0,0
77,6070,245000,122500,215503001,2000,1000,2,0,0
78,6071,252050,126025,215503001,2000,1000,2,0,0
79,6072,259200,129600,215503001,2000,1000,2,0,0
80,6073,266450,133225,215503001,2000,1000,2,0,0
81,6074,273800,136900,215503001,2000,1000,2,0,0
82,6075,281250,140625,215503001,2000,1000,2,0,0
83,7070,245000,122500,215503001,2000,1000,2,0,0
84,7071,252050,126025,215503001,2000,1000,2,0,0
85,7072,259200,129600,215503001,2000,1000,2,0,0
86,7073,266450,133225,215503001,2000,1000,2,0,0
87,7074,273800,136900,215503001,2000,1000,2,0,0
88,7075,281250,140625,215503001,2000,1000,2,0,0
89,7076,288800,144400,215503001,2000,1000,2,0,0
90,7077,296450,148225,215503001,2000,1000,2,0,0
91,7078,304200,152100,215503001,2000,1000,2,0,0
92,7079,312050,156025,215503001,2000,1000,2,0,0
93,7080,320000,160000,215503001,2000,1000,2,0,0
94,8075,281250,140625,215503001,2000,1000,2,0,0
95,8076,288800,144400,215503001,2000,1000,2,0,0
96,8077,296450,148225,215503001,2000,1000,2,0,0
97,8078,304200,152100,215503001,2000,1000,2,0,0
98,8079,312050,156025,215503001,2000,1000,2,0,0
99,8080,320000,160000,215503001,2000,1000,2,0,0
100,8081,328050,164025,215503001,2000,1000,2,0,0
101,8082,336200,168100,215503001,2000,1000,2,0,0
102,8083,344450,172225,215503001,2000,1000,2,0,0
103,8084,352800,176400,215503001,2000,1000,2,0,0
104,8085,361250,180625,215503001,2000,1000,2,0,0
105,9080,320000,160000,215503001,2000,1000,2,0,0
106,9081,328050,164025,215503001,2000,1000,2,0,0
107,9082,336200,168100,215503001,2000,1000,2,0,0
108,9083,344450,172225,215503001,2000,1000,2,0,0
109,9084,352800,176400,215503001,2000,1000,2,0,0
110,9085,361250,180625,215503001,2000,1000,2,0,0
111,9086,369800,184900,215503001,2000,1000,2,0,0
112,9087,378450,189225,215503001,2000,1000,2,0,0
113,9088,387200,193600,215503001,2000,1000,2,0,0
114,9089,396050,198025,215503001,2000,1000,2,0,0
115,9090,405000,202500,215503001,2000,1000,2,0,0
116,10085,361250,180625,215503001,2000,1000,2,0,0
117,10086,369800,184900,215503001,2000,1000,2,0,0
118,10087,378450,189225,215503001,2000,1000,2,0,0
119,10088,387200,193600,215503001,2000,1000,2,0,0
120,10089,396050,198025,215503001,2000,1000,2,0,0
121,10090,405000,202500,215503001,2000,1000,2,0,0
122,10091,414050,207025,215503001,2000,1000,2,0,0
123,10092,423200,211600,215503001,2000,1000,2,0,0
124,10093,432450,216225,215503001,2000,1000,2,0,0
125,10094,441800,220900,215503001,2000,1000,2,0,0
126,10095,451250,225625,215503001,2000,1000,2,0,0
127,11090,405000,202500,215503001,2000,1000,2,0,0
128,11091,414050,207025,215503001,2000,1000,2,0,0
129,11092,423200,211600,215503001,2000,1000,2,0,0
130,11093,432450,216225,215503001,2000,1000,2,0,0
131,11094,441800,220900,215503001,2000,1000,2,0,0
132,11095,451250,225625,215503001,2000,1000,2,0,0
133,11096,460800,230400,215503001,2000,1000,2,0,0
134,11097,470450,235225,215503001,2000,1000,2,0,0
135,11098,480200,240100,215503001,2000,1000,2,0,0
136,11099,490050,245025,215503001,2000,1000,2,0,0
137,11100,500000,250000,215503001,2000,1000,2,0,0
