id,day,profession,objectid,objectnum,isshine,viplevel,bindtype
1,1,0,163254001,1,1,0,1
2,1,0,183359001,5,0,0,1
3,1,0,163266001,3,0,0,1
4,1,0,215513001,1000,0,0,2
5,1,0,183351001,5,1,1,1
6,2,0,122051001,1,1,0,1
7,2,0,195402001,10,0,0,1
8,2,0,173305001,3,0,0,1
9,2,0,215513001,2000,0,0,2
10,2,0,183359001,20,0,2,1
11,3,1,112001004,1,1,0,1
12,3,2,112002004,1,1,0,1
13,3,3,112003004,1,1,0,1
14,3,0,172304012,1,1,0,1
15,3,0,183357001,3,0,0,1
16,3,0,215513001,2000,0,0,2
17,3,0,172304012,1,1,3,1
18,4,0,194406005,1,0,0,1
19,4,0,195402001,10,0,0,1
20,4,0,173304007,20,0,0,1
21,4,0,215513001,2500,1,0,2
22,4,0,194406005,1,0,3,1
23,5,0,204299003,1,1,0,1
24,5,0,183351001,10,0,0,1
25,5,0,193403001,20,0,0,1
26,5,0,215513001,2500,0,0,2
27,5,0,182353001,1,0,4,1
28,6,0,194404004,1,1,0,1
29,6,0,183362001,10,0,0,1
30,6,0,195402001,30,0,0,1
31,6,0,215513001,3000,0,0,2
32,6,0,182353001,1,0,4,1
33,7,1,112007004,1,1,0,1
34,7,2,112008004,1,1,0,1
35,7,3,112009004,1,1,0,1
36,7,0,163254001,5,1,0,1
37,7,0,194404005,1,0,0,1
38,7,0,215513001,3000,0,0,2
39,7,0,182353001,4,0,5,1
