id,objectid,objectrank,costnum,bindtype,shoptype,profession,limittype,limittimes
1,162267001,1,50000,1,1,0,-1,-1
2,165252001,2,10,1,1,0,-1,-1
3,165252002,3,30,1,1,0,-1,-1
4,165252003,4,50,1,1,0,-1,-1
5,165253001,5,10,1,1,0,-1,-1
6,165253002,6,30,1,1,0,-1,-1
7,165253003,7,50,1,1,0,-1,-1
8,165253004,8,300,1,1,0,-1,-1
9,163270001,9,1000,1,1,0,-1,-1
10,144151130,1,13400,2,2,1,-1,-1
11,144152130,2,32000,2,2,1,-1,-1
12,144153130,3,16000,2,2,1,-1,-1
13,144154130,4,21400,2,2,1,-1,-1
14,144155130,5,16000,2,2,1,-1,-1
15,144156130,6,13400,2,2,1,-1,-1
16,144157130,7,16000,2,2,1,-1,-1
17,144158130,8,18600,2,2,1,-1,-1
18,144159130,9,16000,2,2,1,-1,-1
19,144160130,10,16000,2,2,1,-1,-1
20,144161130,11,40000,2,2,1,-1,-1
21,144162130,12,21400,2,2,1,-1,-1
22,144151230,1,13400,2,2,2,-1,-1
23,144152230,2,32000,2,2,2,-1,-1
24,144153230,3,16000,2,2,2,-1,-1
25,144154230,4,21400,2,2,2,-1,-1
26,144155230,5,16000,2,2,2,-1,-1
27,144156230,6,13400,2,2,2,-1,-1
28,144157230,7,16000,2,2,2,-1,-1
29,144158230,8,18600,2,2,2,-1,-1
30,144159230,9,16000,2,2,2,-1,-1
31,144160230,10,16000,2,2,2,-1,-1
32,144161230,11,40000,2,2,2,-1,-1
33,144162230,12,21400,2,2,2,-1,-1
34,144151330,1,13400,2,2,3,-1,-1
35,144152330,2,32000,2,2,3,-1,-1
36,144153330,3,16000,2,2,3,-1,-1
37,144154330,4,21400,2,2,3,-1,-1
38,144155330,5,16000,2,2,3,-1,-1
39,144156330,6,13400,2,2,3,-1,-1
40,144157330,7,16000,2,2,3,-1,-1
41,144158330,8,18600,2,2,3,-1,-1
42,144159330,9,16000,2,2,3,-1,-1
43,144160330,10,16000,2,2,3,-1,-1
44,144161330,11,40000,2,2,3,-1,-1
45,144162330,12,21400,2,2,3,-1,-1
46,182353001,1,8000,1,3,0,2,1
47,183359001,4,280,1,3,0,-1,-1
48,183357001,5,300,1,3,0,-1,-1
49,183358001,6,250,1,3,0,-1,-1
50,195401001,1,800,1,4,0,-1,-1
51,164254002,2,500,1,4,0,-1,-1
52,183357001,3,3000,1,4,0,-1,-1
53,183358001,4,2500,1,4,0,-1,-1
54,183359001,5,2800,1,4,0,-1,-1
55,183362001,1,1500,1,5,0,-1,-1
56,183363001,2,4000,1,5,0,-1,-1
57,183357001,3,3000,1,5,0,-1,-1
58,183358001,4,2500,1,5,0,-1,-1
59,183359001,5,2800,1,5,0,-1,-1
60,182353001,1,1600,1,6,0,2,1
61,194404005,2,4000,1,6,0,2,1
62,184370009,3,140,1,6,0,-1,-1
63,183370010,4,700,1,6,0,-1,-1
64,182370011,5,3500,1,6,0,-1,-1
65,183359001,6,140,1,6,0,-1,-1
66,173304007,7,50,1,6,0,-1,-1
