id,viplevel,chapterid,buycount,begincount
1,0,201,0,3
2,1,201,1,3
3,2,201,1,3
4,3,201,2,3
5,4,201,2,3
6,5,201,3,3
7,6,201,3,3
8,7,201,4,3
9,8,201,4,3
10,9,201,5,3
11,10,201,5,3
12,11,201,6,3
13,12,201,6,3
14,13,201,7,3
15,14,201,7,3
16,15,201,8,3
17,0,202,0,2
18,1,202,0,2
19,2,202,1,2
20,3,202,1,2
21,4,202,2,2
22,5,202,2,2
23,6,202,3,2
24,7,202,3,2
25,8,202,4,2
26,9,202,4,2
27,10,202,5,2
28,11,202,6,2
29,12,202,7,2
30,13,202,8,2
31,14,202,9,2
32,15,202,10,2
33,0,203,0,2
34,1,203,0,2
35,2,203,0,2
36,3,203,0,2
37,4,203,0,2
38,5,203,1,2
39,6,203,1,2
40,7,203,1,2
41,8,203,2,2
42,9,203,2,2
43,10,203,2,2
44,11,203,3,2
45,12,203,4,2
46,13,203,5,2
47,14,203,6,2
48,15,203,7,2
49,0,204,0,2
50,1,204,1,2
51,2,204,2,2
52,3,204,3,2
53,4,204,4,2
54,5,204,5,2
55,6,204,6,2
56,7,204,7,2
57,8,204,8,2
58,9,204,9,2
59,10,204,10,2
60,11,204,11,2
61,12,204,12,2
62,13,204,13,2
63,14,204,14,2
64,15,204,15,2
65,0,205,0,3
66,1,205,0,3
67,2,205,0,3
68,3,205,1,3
69,4,205,1,3
70,5,205,2,3
71,6,205,2,3
72,7,205,3,3
73,8,205,3,3
74,9,205,4,3
75,10,205,5,3
76,11,205,6,3
77,12,205,7,3
78,13,205,8,3
79,14,205,9,3
80,15,205,10,3
81,0,701,0,1
82,1,701,0,1
83,2,701,0,1
84,3,701,0,1
85,4,701,0,1
86,5,701,0,1
87,6,701,1,1
88,7,701,1,1
89,8,701,1,1
90,9,701,1,1
91,10,701,1,1
92,11,701,1,1
93,12,701,1,1
94,13,701,1,1
95,14,701,1,1
96,15,701,1,1
97,0,206,0,1
98,1,206,0,1
99,2,206,0,1
100,3,206,0,1
101,4,206,0,1
102,5,206,1,1
103,6,206,2,1
104,7,206,3,1
105,8,206,4,1
106,9,206,5,1
107,10,206,6,1
108,11,206,7,1
109,12,206,8,1
110,13,206,9,1
111,14,206,10,1
112,15,206,11,1
113,0,402,0,1
114,1,402,0,1
115,2,402,0,1
116,3,402,0,1
117,4,402,0,1
118,5,402,0,1
119,6,402,0,1
120,7,402,0,1
121,8,402,0,1
122,9,402,0,1
123,10,402,0,1
124,11,402,0,1
125,12,402,0,1
126,13,402,0,1
127,14,402,0,1
128,15,402,0,1
129,0,403,0,1
130,1,403,0,1
131,2,403,0,1
132,3,403,0,1
133,4,403,0,1
134,5,403,0,1
135,6,403,0,1
136,7,403,0,1
137,8,403,0,1
138,9,403,0,1
139,10,403,0,1
140,11,403,0,1
141,12,403,0,1
142,13,403,0,1
143,14,403,0,1
144,15,403,0,1
145,0,720,0,1
146,1,720,1,1
147,2,720,1,1
148,3,720,1,1
149,4,720,1,1
150,5,720,1,1
151,6,720,1,1
152,7,720,1,1
153,8,720,1,1
154,9,720,1,1
155,10,720,1,1
156,11,720,1,1
157,12,720,1,1
158,13,720,1,1
159,14,720,1,1
160,15,720,1,1
161,0,207,0,3
162,1,207,0,3
163,2,207,0,3
164,3,207,0,3
165,4,207,0,3
166,5,207,0,3
167,6,207,0,3
168,7,207,0,3
169,8,207,0,3
170,9,207,0,3
171,10,207,0,3
172,11,207,0,3
173,12,207,0,3
174,13,207,0,3
175,14,207,0,3
176,15,207,0,3
177,0,208,0,2
178,1,208,0,2
179,2,208,0,2
180,3,208,0,2
181,4,208,0,2
182,5,208,0,2
183,6,208,0,2
184,7,208,0,2
185,8,208,0,2
186,9,208,0,2
187,10,208,0,2
188,11,208,0,2
189,12,208,0,2
190,13,208,0,2
191,14,208,0,2
192,15,208,0,2
193,0,209,0,1
194,1,209,0,1
195,2,209,0,1
196,3,209,0,1
197,4,209,0,1
198,5,209,0,1
199,6,209,0,1
200,7,209,0,1
201,8,209,0,1
202,9,209,0,1
203,10,209,0,1
204,11,209,0,1
205,12,209,0,1
206,13,209,0,1
207,14,209,0,1
208,15,209,0,1
209,0,210,0,1
210,1,210,0,1
211,2,210,0,1
212,3,210,0,1
213,4,210,0,1
214,5,210,0,1
215,6,210,0,1
216,7,210,0,1
217,8,210,0,1
218,9,210,0,1
219,10,210,0,1
220,11,210,0,1
221,12,210,0,1
222,13,210,0,1
223,14,210,0,1
224,15,210,0,1
225,0,211,0,2
226,1,211,0,2
227,2,211,0,2
228,3,211,0,2
229,4,211,0,2
230,5,211,0,2
231,6,211,0,2
232,7,211,0,2
233,8,211,0,2
234,9,211,0,2
235,10,211,0,2
236,11,211,0,2
237,12,211,0,2
238,13,211,0,2
239,14,211,0,2
240,15,211,0,2
