id,skillid,profession,name,icon,typeId,cd,distance,luaname,skilltime,islock,picture,pciture_enemy
1,1,0,无,-1,0,3000,2,skill_1,1000,1,-1,-1
2,2,0,无,-1,0,3000,2,skill_2,1000,1,-1,-1
3,3,0,无,-1,0,3000,3,skill_3,1000,1,-1,-1
4,4,0,无,-1,0,3000,4,skill_4,1000,1,-1,-1
5,5,0,无,-1,0,3000,5,skill_5,1000,1,-1,-1
6,6,0,无,-1,0,3000,6,skill_6,1000,1,-1,-1
7,8,0,无,-1,0,3000,8,skill_8,10001,1,-1,-1
8,24,0,无,-1,0,3000,24,skill_24,1000,1,-1,-1
9,30,0,无,-1,0,1000,6,skill_30,1000,1,-1,-1
10,70001,0,无,-1,0,3000,4,skill_70001,0,1,-1,-1
11,70002,0,无,-1,0,3000,4,skill_70002,0,1,-1,-1
12,70003,0,无,-1,0,3000,5,skill_70003,0,1,-1,-1
13,70004,0,无,-1,0,3000,7,skill_70004,0,1,-1,-1
14,70005,0,无,-1,0,3000,6,skill_70005,0,1,-1,-1
15,70006,0,无,-1,0,3000,4,skill_70006,0,1,-1,-1
16,70007,0,无,-1,0,3000,8,skill_70007,0,1,-1,-1
17,70008,0,无,-1,0,3000,7,skill_70008,0,1,-1,-1
18,70009,0,无,-1,0,3000,3,skill_70009,0,1,-1,-1
19,70010,0,无,-1,0,3000,3,skill_70010,0,1,-1,-1
20,70011,0,无,-1,0,3000,4,skill_70011,0,1,-1,-1
21,70012,0,无,-1,0,3000,6,skill_70012,0,1,-1,-1
22,100000,0,采集,-1,1,0,0,skill_100000,0,0,-1,-1
23,100001,0,待机,-1,1,0,0,skill_100001,0,0,-1,-1
24,100002,0,传送,-1,1,0,0,skill_100002,0,0,-1,-1
25,200101,1,战士普攻一段,200101,0,0,3,skill_200101,367,1,-1,-1
26,200102,1,战士普攻二段,200101,0,0,3,skill_200102,140,1,-1,-1
27,200103,1,战士普攻三段,200101,0,0,3,skill_200103,915,1,-1,-1
28,100101,1,烈焰狂刀,100101,2,6000,7,skill_100101,910,1,-1,-1
29,100102,1,冥龙堕天,100102,2,8000,3,skill_100102,1100,1,-1,-1
30,100103,1,龙战于野,100103,2,10000,3,skill_100103,2410,1,-1,-1
31,100104,1,神手摘星,100104,2,14000,6,skill_100104,870,1,-1,-1
32,100105,1,神魔炼体,100105,3,-1,-1,skill_100105,-1,0,-1,-1
33,100106,1,滴血重生,100106,3,-1,-1,skill_100106,-1,0,100001,200001
34,200201,2,刺客普攻一段,200201,0,0,3,skill_200201,367,1,-1,-1
35,200202,2,刺客普攻二段,200202,0,0,3,skill_200202,550,1,-1,-1
36,200203,2,刺客普攻三段,200203,0,0,3,skill_200203,654,1,-1,-1
37,100201,2,大千剑阵,100201,2,6000,3,skill_100201,1450,1,-1,-1
38,100202,2,无影剑术,100202,2,8000,4,skill_100202,1670,1,-1,-1
39,100203,2,白虹贯日,100203,2,10000,3,skill_100203,910,1,-1,-1
40,100204,2,御剑开天,100204,2,14000,5,skill_100204,810,1,-1,-1
41,100205,2,罪孽神兵,100205,3,-1,-1,skill_100205,-1,0,-1,-1
42,100206,2,天崩剑意,100206,3,-1,-1,skill_100206,-1,0,-1,-1
43,200301,3,法师普攻一段,200301,0,0,6,skill_200301,433,1,-1,-1
44,200302,3,法师普攻二段,200302,0,0,6,skill_200302,470,1,-1,-1
45,200303,3,法师普攻三段,200303,0,0,6,skill_200303,910,1,-1,-1
46,100301,3,九源神雷,100301,2,6000,5,skill_100301,600,1,-1,-1
47,100302,3,莲华净世,100302,2,8000,4,skill_100302,1450,1,-1,-1
48,100303,3,溯风百流,100303,2,10000,4,skill_100303,1590,1,-1,-1
49,100304,3,寒冰道域,100304,2,14000,4,skill_100304,976,1,-1,-1
50,100305,3,冰心之境,100305,3,-1,-1,skill_100305,-1,0,-1,-1
51,100306,3,心力灭绝,100306,3,-1,-1,skill_100306,-1,0,100003,200003
52,300001,0,坦克技能,100001,4,30000,-1,-1,-1,0,-1,-1
53,300002,0,输出技能,100002,4,30000,-1,-1,-1,0,-1,-1
54,300003,0,治疗技能,100003,4,30000,-1,-1,-1,0,-1,-1
55,300004,0,召唤（战神殿一层）,-1,4,20000,100000,skill_300004,1,0,-1,-1
56,300005,0,召唤（战神殿二层）,-1,4,20000,100000,skill_300005,1,0,-1,-1
57,300006,0,给主人加攻击,0,4,0,100000,skill_300006,1,0,-1,-1
