id,skillid,skilllevel,limited_transform,limited_level,money_id,money_number,intelligenceid,intelligence
1,200101,1,0,1,215502001,0,215503001,0
2,200102,1,0,1,215502001,0,215503001,0
3,200103,1,0,1,215502001,0,215503001,0
4,100101,0,0,5,215502001,0,215503001,0
5,100101,1,0,9,215502001,5000,215503001,1000
6,100101,2,0,13,215502001,18000,215503001,3600
7,100101,3,0,17,215502001,39000,215503001,7800
8,100101,4,0,21,215502001,68000,215503001,13600
9,100101,5,0,25,215502001,105000,215503001,21000
10,100101,6,0,29,215502001,150000,215503001,30000
11,100101,7,0,33,215502001,203000,215503001,40600
12,100101,8,0,34,215502001,264000,215503001,52800
13,100101,9,0,35,215502001,333000,215503001,66600
14,100101,10,0,36,215502001,410000,215503001,82000
15,100101,11,0,37,215502001,495000,215503001,99000
16,100101,12,0,38,215502001,588000,215503001,117600
17,100101,13,0,39,215502001,689000,215503001,137800
18,100101,14,0,40,215502001,798000,215503001,159600
19,100101,15,0,41,215502001,915000,215503001,183000
20,100101,16,0,42,215502001,1040000,215503001,208000
21,100101,17,0,43,215502001,1173000,215503001,234600
22,100101,18,0,44,215502001,1314000,215503001,262800
23,100101,19,0,45,215502001,1463000,215503001,292600
24,100101,20,1,46,215502001,1620000,215503001,324000
25,100101,21,1,47,215502001,1785000,215503001,357000
26,100101,22,1,48,215502001,1958000,215503001,391600
27,100101,23,1,49,215502001,2139000,215503001,427800
28,100101,24,1,50,215502001,2328000,215503001,465600
29,100101,25,2,51,215502001,2525000,215503001,505000
30,100101,26,2,52,215502001,2730000,215503001,546000
31,100101,27,2,53,215502001,2943000,215503001,588600
32,100101,28,2,54,215502001,3164000,215503001,632800
33,100101,29,2,55,215502001,3393000,215503001,678600
34,100101,30,3,56,215502001,3630000,215503001,726000
35,100101,31,3,57,215502001,3875000,215503001,775000
36,100101,32,3,58,215502001,4128000,215503001,825600
37,100101,33,3,59,215502001,4389000,215503001,877800
38,100101,34,3,60,215502001,4658000,215503001,931600
39,100101,35,4,61,215502001,4935000,215503001,987000
40,100101,36,4,62,215502001,5220000,215503001,1044000
41,100101,37,4,63,215502001,5513000,215503001,1102600
42,100101,38,4,64,215502001,5814000,215503001,1162800
43,100101,39,4,65,215502001,6123000,215503001,1224600
44,100101,40,5,66,215502001,6440000,215503001,1288000
45,100101,41,5,67,215502001,0,215503001,0
46,100102,0,0,15,215502001,0,215503001,0
47,100102,1,0,18,215502001,5000,215503001,1000
48,100102,2,0,21,215502001,18000,215503001,3600
49,100102,3,0,24,215502001,39000,215503001,7800
50,100102,4,0,27,215502001,68000,215503001,13600
51,100102,5,0,30,215502001,105000,215503001,21000
52,100102,6,0,31,215502001,150000,215503001,30000
53,100102,7,0,32,215502001,203000,215503001,40600
54,100102,8,0,33,215502001,264000,215503001,52800
55,100102,9,0,34,215502001,333000,215503001,66600
56,100102,10,0,35,215502001,410000,215503001,82000
57,100102,11,0,36,215502001,495000,215503001,99000
58,100102,12,0,37,215502001,588000,215503001,117600
59,100102,13,0,38,215502001,689000,215503001,137800
60,100102,14,0,39,215502001,798000,215503001,159600
61,100102,15,0,40,215502001,915000,215503001,183000
62,100102,16,0,41,215502001,1040000,215503001,208000
63,100102,17,0,42,215502001,1173000,215503001,234600
64,100102,18,0,43,215502001,1314000,215503001,262800
65,100102,19,0,44,215502001,1463000,215503001,292600
66,100102,20,0,45,215502001,1620000,215503001,324000
67,100102,21,1,46,215502001,1785000,215503001,357000
68,100102,22,1,47,215502001,1958000,215503001,391600
69,100102,23,1,48,215502001,2139000,215503001,427800
70,100102,24,1,49,215502001,2328000,215503001,465600
71,100102,25,1,50,215502001,2525000,215503001,505000
72,100102,26,2,51,215502001,2730000,215503001,546000
73,100102,27,2,52,215502001,2943000,215503001,588600
74,100102,28,2,53,215502001,3164000,215503001,632800
75,100102,29,2,54,215502001,3393000,215503001,678600
76,100102,30,2,55,215502001,3630000,215503001,726000
77,100102,31,3,56,215502001,3875000,215503001,775000
78,100102,32,3,57,215502001,4128000,215503001,825600
79,100102,33,3,58,215502001,4389000,215503001,877800
80,100102,34,3,59,215502001,4658000,215503001,931600
81,100102,35,3,60,215502001,4935000,215503001,987000
82,100102,36,4,61,215502001,5220000,215503001,1044000
83,100102,37,4,62,215502001,5513000,215503001,1102600
84,100102,38,4,63,215502001,5814000,215503001,1162800
85,100102,39,4,64,215502001,6123000,215503001,1224600
86,100102,40,4,65,215502001,6440000,215503001,1288000
87,100102,41,5,66,215502001,0,215503001,0
88,100103,0,0,25,215502001,0,215503001,0
89,100103,1,0,27,215502001,5000,215503001,1000
90,100103,2,0,29,215502001,18000,215503001,3600
91,100103,3,0,31,215502001,39000,215503001,7800
92,100103,4,0,32,215502001,68000,215503001,13600
93,100103,5,0,33,215502001,105000,215503001,21000
94,100103,6,0,34,215502001,150000,215503001,30000
95,100103,7,0,35,215502001,203000,215503001,40600
96,100103,8,0,36,215502001,264000,215503001,52800
97,100103,9,0,37,215502001,333000,215503001,66600
98,100103,10,0,38,215502001,410000,215503001,82000
99,100103,11,0,39,215502001,495000,215503001,99000
100,100103,12,0,40,215502001,588000,215503001,117600
101,100103,13,0,41,215502001,689000,215503001,137800
102,100103,14,0,42,215502001,798000,215503001,159600
103,100103,15,0,43,215502001,915000,215503001,183000
104,100103,16,0,44,215502001,1040000,215503001,208000
105,100103,17,0,45,215502001,1173000,215503001,234600
106,100103,18,1,46,215502001,1314000,215503001,262800
107,100103,19,1,47,215502001,1463000,215503001,292600
108,100103,20,1,48,215502001,1620000,215503001,324000
109,100103,21,1,49,215502001,1785000,215503001,357000
110,100103,22,1,50,215502001,1958000,215503001,391600
111,100103,23,2,51,215502001,2139000,215503001,427800
112,100103,24,2,52,215502001,2328000,215503001,465600
113,100103,25,2,53,215502001,2525000,215503001,505000
114,100103,26,2,54,215502001,2730000,215503001,546000
115,100103,27,2,55,215502001,2943000,215503001,588600
116,100103,28,3,56,215502001,3164000,215503001,632800
117,100103,29,3,57,215502001,3393000,215503001,678600
118,100103,30,3,58,215502001,3630000,215503001,726000
119,100103,31,3,59,215502001,3875000,215503001,775000
120,100103,32,3,60,215502001,4128000,215503001,825600
121,100103,33,4,61,215502001,4389000,215503001,877800
122,100103,34,4,62,215502001,4658000,215503001,931600
123,100103,35,4,63,215502001,4935000,215503001,987000
124,100103,36,4,64,215502001,5220000,215503001,1044000
125,100103,37,4,65,215502001,5513000,215503001,1102600
126,100103,38,5,66,215502001,5814000,215503001,1162800
127,100103,39,5,67,215502001,6123000,215503001,1224600
128,100103,40,5,68,215502001,6440000,215503001,1288000
129,100103,41,5,69,215502001,0,215503001,0
130,100104,0,0,33,215502001,0,215503001,0
131,100104,1,0,34,215502001,5000,215503001,1000
132,100104,2,0,35,215502001,18000,215503001,3600
133,100104,3,0,36,215502001,39000,215503001,7800
134,100104,4,0,37,215502001,68000,215503001,13600
