id,level,costgold,costid,number,minperfect,maxperfect
1,1,20000,183373002,1,100,100
2,2,20000,183373002,1,50,100
3,3,20000,183373002,1,40,70
4,4,20000,183373002,1,30,60
5,5,40000,183373002,2,100,100
6,6,40000,183373002,2,50,100
7,7,40000,183373002,2,40,70
8,8,40000,183373002,2,30,60
9,9,60000,183373002,3,100,100
10,10,60000,183373002,3,50,100
11,11,60000,183373002,3,40,70
12,12,60000,183373002,3,30,60
13,13,80000,183373002,4,100,100
14,14,80000,183373002,4,50,100
15,15,80000,183373002,4,40,70
16,16,80000,183373002,4,30,60
17,17,100000,183373002,5,100,100
18,18,100000,183373002,5,50,100
19,19,100000,183373002,5,40,70
20,20,100000,183373002,5,30,60
21,21,120000,183373002,6,100,100
22,22,120000,183373002,6,50,100
23,23,120000,183373002,6,40,70
24,24,120000,183373002,6,30,60
25,25,140000,183373002,7,100,100
26,26,140000,183373002,7,50,100
27,27,140000,183373002,7,40,70
28,28,140000,183373002,7,30,60
29,29,160000,183373002,8,100,100
30,30,160000,183373002,8,50,100
31,31,160000,183373002,8,40,70
32,32,160000,183373002,8,30,60
33,33,180000,183373002,9,100,100
34,34,180000,183373002,9,50,100
35,35,180000,183373002,9,40,70
36,36,180000,183373002,9,30,60
37,37,200000,183373002,10,100,100
38,38,200000,183373002,10,50,100
39,39,200000,183373002,10,40,70
40,40,200000,183373002,10,30,60
