id,level,number,health,attack,defence,crit,toughness,hit,dodge,percent,damageadd,damageless
1,1,2,2160,0,0,0,0,0,0,0,0,0
2,1,6,4320,0,0,0,0,0,0,0,0,0
3,1,10,4320,0,0,0,0,0,0,0,0,0
4,1,12,0,0,0,0,0,0,0,200,0,0
5,2,2,4320,0,0,0,0,0,0,0,0,0
6,2,6,8640,0,0,0,0,0,0,0,0,0
7,2,10,8640,0,0,0,0,0,0,0,0,0
8,2,12,0,0,0,0,0,0,0,400,0,0
9,3,2,8640,0,0,0,0,0,0,0,0,0
10,3,6,17280,0,0,0,0,0,0,0,0,0
11,3,10,17280,0,0,0,0,0,0,0,0,0
12,3,12,0,0,0,0,0,0,0,800,0,0
13,4,2,12960,0,0,0,0,0,0,0,0,0
14,4,6,25920,0,0,0,0,0,0,0,0,0
15,4,10,25920,0,0,0,0,0,0,0,0,0
16,4,12,0,0,0,0,0,0,0,1200,0,0
17,5,2,17280,0,0,0,0,0,0,0,0,0
18,5,6,34560,0,0,0,0,0,0,0,0,0
19,5,10,34560,0,0,0,0,0,0,0,0,0
20,5,12,0,0,0,0,0,0,0,1600,0,0
21,6,2,21600,0,0,0,0,0,0,0,0,0
22,6,6,43200,0,0,0,0,0,0,0,0,0
23,6,10,43200,0,0,0,0,0,0,0,0,0
24,6,12,0,0,0,0,0,0,0,2000,0,0
