id,place,level,costid,costnumber
1,1,0,183370006,20
2,2,0,183370006,40
3,3,0,183370006,20
4,4,0,183370006,20
5,5,0,183370006,20
6,6,0,183370006,20
7,7,0,183370006,20
8,8,0,183370006,20
9,9,0,183370006,20
10,10,0,183370006,20
11,11,0,183370006,40
12,12,0,183370006,20
13,1,1,183370006,40
14,2,1,183370006,80
15,3,1,183370006,40
16,4,1,183370006,40
17,5,1,183370006,40
18,6,1,183370006,40
19,7,1,183370006,40
20,8,1,183370006,40
21,9,1,183370006,40
22,10,1,183370006,40
23,11,1,183370006,80
24,12,1,183370006,40
25,1,2,183370006,120
26,2,2,183370006,240
27,3,2,183370006,120
28,4,2,183370006,120
29,5,2,183370006,120
30,6,2,183370006,120
31,7,2,183370006,120
32,8,2,183370006,120
33,9,2,183370006,120
34,10,2,183370006,120
35,11,2,183370006,240
36,12,2,183370006,120
37,1,3,183370006,160
38,2,3,183370006,320
39,3,3,183370006,160
40,4,3,183370006,160
41,5,3,183370006,160
42,6,3,183370006,160
43,7,3,183370006,160
44,8,3,183370006,160
45,9,3,183370006,160
46,10,3,183370006,160
47,11,3,183370006,320
48,12,3,183370006,160
49,1,4,183370006,200
50,2,4,183370006,400
51,3,4,183370006,200
52,4,4,183370006,200
53,5,4,183370006,200
54,6,4,183370006,200
55,7,4,183370006,200
56,8,4,183370006,200
57,9,4,183370006,200
58,10,4,183370006,200
59,11,4,183370006,400
60,12,4,183370006,200
61,1,5,183370006,240
62,2,5,183370006,480
63,3,5,183370006,240
64,4,5,183370006,240
65,5,5,183370006,240
66,6,5,183370006,240
67,7,5,183370006,240
68,8,5,183370006,240
69,9,5,183370006,240
70,10,5,183370006,240
71,11,5,183370006,480
72,12,5,183370006,240
