id,place,level,health,attack,defence,crit,toughness,hit,dodge,percent
1,1,1,0,0,0,0,0,0,0,200
2,2,1,0,0,0,0,0,0,0,200
3,3,1,0,0,0,0,0,0,0,200
4,4,1,0,0,0,0,0,0,0,200
5,5,1,0,0,0,0,0,0,0,200
6,6,1,0,0,0,0,0,0,0,200
7,7,1,0,0,0,0,0,0,0,200
8,8,1,0,0,0,0,0,0,0,200
9,9,1,0,0,0,0,0,0,0,200
10,10,1,0,0,0,0,0,0,0,200
11,11,1,0,0,0,0,0,0,0,200
12,12,1,0,0,0,0,0,0,0,200
13,1,2,0,0,0,0,0,0,0,400
14,2,2,0,0,0,0,0,0,0,400
15,3,2,0,0,0,0,0,0,0,400
16,4,2,0,0,0,0,0,0,0,400
17,5,2,0,0,0,0,0,0,0,400
18,6,2,0,0,0,0,0,0,0,400
19,7,2,0,0,0,0,0,0,0,400
20,8,2,0,0,0,0,0,0,0,400
21,9,2,0,0,0,0,0,0,0,400
22,10,2,0,0,0,0,0,0,0,400
23,11,2,0,0,0,0,0,0,0,400
24,12,2,0,0,0,0,0,0,0,400
25,1,3,0,0,0,0,0,0,0,800
26,2,3,0,0,0,0,0,0,0,800
27,3,3,0,0,0,0,0,0,0,800
28,4,3,0,0,0,0,0,0,0,800
29,5,3,0,0,0,0,0,0,0,800
30,6,3,0,0,0,0,0,0,0,800
31,7,3,0,0,0,0,0,0,0,800
32,8,3,0,0,0,0,0,0,0,800
33,9,3,0,0,0,0,0,0,0,800
34,10,3,0,0,0,0,0,0,0,800
35,11,3,0,0,0,0,0,0,0,800
36,12,3,0,0,0,0,0,0,0,800
37,1,4,0,0,0,0,0,0,0,1200
38,2,4,0,0,0,0,0,0,0,1200
39,3,4,0,0,0,0,0,0,0,1200
40,4,4,0,0,0,0,0,0,0,1200
41,5,4,0,0,0,0,0,0,0,1200
42,6,4,0,0,0,0,0,0,0,1200
43,7,4,0,0,0,0,0,0,0,1200
44,8,4,0,0,0,0,0,0,0,1200
45,9,4,0,0,0,0,0,0,0,1200
46,10,4,0,0,0,0,0,0,0,1200
47,11,4,0,0,0,0,0,0,0,1200
48,12,4,0,0,0,0,0,0,0,1200
49,1,5,0,0,0,0,0,0,0,1600
50,2,5,0,0,0,0,0,0,0,1600
51,3,5,0,0,0,0,0,0,0,1600
52,4,5,0,0,0,0,0,0,0,1600
53,5,5,0,0,0,0,0,0,0,1600
54,6,5,0,0,0,0,0,0,0,1600
55,7,5,0,0,0,0,0,0,0,1600
56,8,5,0,0,0,0,0,0,0,1600
57,9,5,0,0,0,0,0,0,0,1600
58,10,5,0,0,0,0,0,0,0,1600
59,11,5,0,0,0,0,0,0,0,1600
60,12,5,0,0,0,0,0,0,0,1600
61,1,6,0,0,0,0,0,0,0,2000
62,2,6,0,0,0,0,0,0,0,2000
63,3,6,0,0,0,0,0,0,0,2000
64,4,6,0,0,0,0,0,0,0,2000
65,5,6,0,0,0,0,0,0,0,2000
66,6,6,0,0,0,0,0,0,0,2000
67,7,6,0,0,0,0,0,0,0,2000
68,8,6,0,0,0,0,0,0,0,2000
69,9,6,0,0,0,0,0,0,0,2000
70,10,6,0,0,0,0,0,0,0,2000
71,11,6,0,0,0,0,0,0,0,2000
72,12,6,0,0,0,0,0,0,0,2000
