id,place,level,costid,costnumber
1,1,0,182370012,2
2,2,0,182370012,4
3,3,0,182370012,2
4,4,0,182370012,2
5,5,0,182370012,2
6,6,0,182370012,2
7,7,0,182370012,2
8,8,0,182370012,2
9,9,0,182370012,2
10,10,0,182370012,2
11,11,0,182370012,4
12,12,0,182370012,2
13,1,1,182370012,4
14,2,1,182370012,8
15,3,1,182370012,4
16,4,1,182370012,4
17,5,1,182370012,4
18,6,1,182370012,4
19,7,1,182370012,4
20,8,1,182370012,4
21,9,1,182370012,4
22,10,1,182370012,4
23,11,1,182370012,8
24,12,1,182370012,4
25,1,2,182370012,12
26,2,2,182370012,24
27,3,2,182370012,12
28,4,2,182370012,12
29,5,2,182370012,12
30,6,2,182370012,12
31,7,2,182370012,12
32,8,2,182370012,12
33,9,2,182370012,12
34,10,2,182370012,12
35,11,2,182370012,24
36,12,2,182370012,12
37,1,3,182370012,16
38,2,3,182370012,32
39,3,3,182370012,16
40,4,3,182370012,16
41,5,3,182370012,16
42,6,3,182370012,16
43,7,3,182370012,16
44,8,3,182370012,16
45,9,3,182370012,16
46,10,3,182370012,16
47,11,3,182370012,32
48,12,3,182370012,16
49,1,4,182370012,20
50,2,4,182370012,40
51,3,4,182370012,20
52,4,4,182370012,20
53,5,4,182370012,20
54,6,4,182370012,20
55,7,4,182370012,20
56,8,4,182370012,20
57,9,4,182370012,20
58,10,4,182370012,20
59,11,4,182370012,40
60,12,4,182370012,20
61,1,5,182370012,24
62,2,5,182370012,48
63,3,5,182370012,24
64,4,5,182370012,24
65,5,5,182370012,24
66,6,5,182370012,24
67,7,5,182370012,24
68,8,5,182370012,24
69,9,5,182370012,24
70,10,5,182370012,24
71,11,5,182370012,48
72,12,5,182370012,24
