id,place,level,health,attack,defence,crit,toughness,hit,dodge,percent
1,1,1,0,0,0,0,0,0,0,400
2,2,1,0,0,0,0,0,0,0,400
3,3,1,0,0,0,0,0,0,0,400
4,4,1,0,0,0,0,0,0,0,400
5,5,1,0,0,0,0,0,0,0,400
6,6,1,0,0,0,0,0,0,0,400
7,7,1,0,0,0,0,0,0,0,400
8,8,1,0,0,0,0,0,0,0,400
9,9,1,0,0,0,0,0,0,0,400
10,10,1,0,0,0,0,0,0,0,400
11,11,1,0,0,0,0,0,0,0,400
12,12,1,0,0,0,0,0,0,0,400
13,1,2,0,0,0,0,0,0,0,800
14,2,2,0,0,0,0,0,0,0,800
15,3,2,0,0,0,0,0,0,0,800
16,4,2,0,0,0,0,0,0,0,800
17,5,2,0,0,0,0,0,0,0,800
18,6,2,0,0,0,0,0,0,0,800
19,7,2,0,0,0,0,0,0,0,800
20,8,2,0,0,0,0,0,0,0,800
21,9,2,0,0,0,0,0,0,0,800
22,10,2,0,0,0,0,0,0,0,800
23,11,2,0,0,0,0,0,0,0,800
24,12,2,0,0,0,0,0,0,0,800
25,1,3,0,0,0,0,0,0,0,1600
26,2,3,0,0,0,0,0,0,0,1600
27,3,3,0,0,0,0,0,0,0,1600
28,4,3,0,0,0,0,0,0,0,1600
29,5,3,0,0,0,0,0,0,0,1600
30,6,3,0,0,0,0,0,0,0,1600
31,7,3,0,0,0,0,0,0,0,1600
32,8,3,0,0,0,0,0,0,0,1600
33,9,3,0,0,0,0,0,0,0,1600
34,10,3,0,0,0,0,0,0,0,1600
35,11,3,0,0,0,0,0,0,0,1600
36,12,3,0,0,0,0,0,0,0,1600
37,1,4,0,0,0,0,0,0,0,2400
38,2,4,0,0,0,0,0,0,0,2400
39,3,4,0,0,0,0,0,0,0,2400
40,4,4,0,0,0,0,0,0,0,2400
41,5,4,0,0,0,0,0,0,0,2400
42,6,4,0,0,0,0,0,0,0,2400
43,7,4,0,0,0,0,0,0,0,2400
44,8,4,0,0,0,0,0,0,0,2400
45,9,4,0,0,0,0,0,0,0,2400
46,10,4,0,0,0,0,0,0,0,2400
47,11,4,0,0,0,0,0,0,0,2400
48,12,4,0,0,0,0,0,0,0,2400
49,1,5,0,0,0,0,0,0,0,3200
50,2,5,0,0,0,0,0,0,0,3200
51,3,5,0,0,0,0,0,0,0,3200
52,4,5,0,0,0,0,0,0,0,3200
53,5,5,0,0,0,0,0,0,0,3200
54,6,5,0,0,0,0,0,0,0,3200
55,7,5,0,0,0,0,0,0,0,3200
56,8,5,0,0,0,0,0,0,0,3200
57,9,5,0,0,0,0,0,0,0,3200
58,10,5,0,0,0,0,0,0,0,3200
59,11,5,0,0,0,0,0,0,0,3200
60,12,5,0,0,0,0,0,0,0,3200
61,1,6,0,0,0,0,0,0,0,4000
62,2,6,0,0,0,0,0,0,0,4000
63,3,6,0,0,0,0,0,0,0,4000
64,4,6,0,0,0,0,0,0,0,4000
65,5,6,0,0,0,0,0,0,0,4000
66,6,6,0,0,0,0,0,0,0,4000
67,7,6,0,0,0,0,0,0,0,4000
68,8,6,0,0,0,0,0,0,0,4000
69,9,6,0,0,0,0,0,0,0,4000
70,10,6,0,0,0,0,0,0,0,4000
71,11,6,0,0,0,0,0,0,0,4000
72,12,6,0,0,0,0,0,0,0,4000
