id,level,number,health,attack,defence,crit,toughness,hit,dodge,percent,damageadd,damageless
1,1,2,0,0,108,0,0,0,0,0,0,0
2,1,6,0,0,0,0,0,0,0,100,0,0
3,1,10,0,270,0,0,0,0,0,0,0,0
4,1,12,0,0,0,0,0,0,0,200,0,0
5,2,2,0,0,216,0,0,0,0,0,0,0
6,2,6,0,0,0,0,0,0,0,200,0,0
7,2,10,0,540,0,0,0,0,0,0,0,0
8,2,12,0,0,0,0,0,0,0,400,0,0
9,3,2,0,0,432,0,0,0,0,0,0,0
10,3,6,0,0,0,0,0,0,0,400,0,0
11,3,10,0,1080,0,0,0,0,0,0,0,0
12,3,12,0,0,0,0,0,0,0,800,0,0
13,4,2,0,0,648,0,0,0,0,0,0,0
14,4,6,0,0,0,0,0,0,0,600,0,0
15,4,10,0,1620,0,0,0,0,0,0,0,0
16,4,12,0,0,0,0,0,0,0,1200,0,0
17,5,2,0,0,864,0,0,0,0,0,0,0
18,5,6,0,0,0,0,0,0,0,800,0,0
19,5,10,0,2160,0,0,0,0,0,0,0,0
20,5,12,0,0,0,0,0,0,0,1600,0,0
21,6,2,0,0,1080,0,0,0,0,0,0,0
22,6,6,0,0,0,0,0,0,0,1000,0,0
23,6,10,0,2700,0,0,0,0,0,0,0,0
24,6,12,0,0,0,0,0,0,0,2000,0,0
