id,place,level,costid,costnumber
1,1,0,183370006,10
2,2,0,183370006,20
3,3,0,183370006,10
4,4,0,183370006,10
5,5,0,183370006,10
6,6,0,183370006,10
7,7,0,183370006,10
8,8,0,183370006,10
9,9,0,183370006,10
10,10,0,183370006,10
11,11,0,183370006,20
12,12,0,183370006,10
13,1,1,183370006,20
14,2,1,183370006,40
15,3,1,183370006,20
16,4,1,183370006,20
17,5,1,183370006,20
18,6,1,183370006,20
19,7,1,183370006,20
20,8,1,183370006,20
21,9,1,183370006,20
22,10,1,183370006,20
23,11,1,183370006,40
24,12,1,183370006,20
25,1,2,183370006,60
26,2,2,183370006,120
27,3,2,183370006,60
28,4,2,183370006,60
29,5,2,183370006,60
30,6,2,183370006,60
31,7,2,183370006,60
32,8,2,183370006,60
33,9,2,183370006,60
34,10,2,183370006,60
35,11,2,183370006,120
36,12,2,183370006,60
37,1,3,183370006,80
38,2,3,183370006,160
39,3,3,183370006,80
40,4,3,183370006,80
41,5,3,183370006,80
42,6,3,183370006,80
43,7,3,183370006,80
44,8,3,183370006,80
45,9,3,183370006,80
46,10,3,183370006,80
47,11,3,183370006,160
48,12,3,183370006,80
49,1,4,183370006,100
50,2,4,183370006,200
51,3,4,183370006,100
52,4,4,183370006,100
53,5,4,183370006,100
54,6,4,183370006,100
55,7,4,183370006,100
56,8,4,183370006,100
57,9,4,183370006,100
58,10,4,183370006,100
59,11,4,183370006,200
60,12,4,183370006,100
61,1,5,183370006,120
62,2,5,183370006,240
63,3,5,183370006,120
64,4,5,183370006,120
65,5,5,183370006,120
66,6,5,183370006,120
67,7,5,183370006,120
68,8,5,183370006,120
69,9,5,183370006,120
70,10,5,183370006,120
71,11,5,183370006,240
72,12,5,183370006,120
73,1,0,182370007,4
74,2,0,182370007,8
75,3,0,182370007,4
76,4,0,182370007,4
77,5,0,182370007,4
78,6,0,182370007,4
79,7,0,182370007,4
80,8,0,182370007,4
81,9,0,182370007,4
82,10,0,182370007,4
83,11,0,182370007,8
84,12,0,182370007,4
85,1,1,182370007,8
86,2,1,182370007,16
87,3,1,182370007,8
88,4,1,182370007,8
89,5,1,182370007,8
90,6,1,182370007,8
91,7,1,182370007,8
92,8,1,182370007,8
93,9,1,182370007,8
94,10,1,182370007,8
95,11,1,182370007,16
96,12,1,182370007,8
97,1,2,182370007,24
98,2,2,182370007,48
99,3,2,182370007,24
100,4,2,182370007,24
101,5,2,182370007,24
102,6,2,182370007,24
103,7,2,182370007,24
104,8,2,182370007,24
105,9,2,182370007,24
106,10,2,182370007,24
107,11,2,182370007,48
108,12,2,182370007,24
109,1,3,182370007,32
110,2,3,182370007,64
111,3,3,182370007,32
112,4,3,182370007,32
113,5,3,182370007,32
114,6,3,182370007,32
115,7,3,182370007,32
116,8,3,182370007,32
117,9,3,182370007,32
118,10,3,182370007,32
119,11,3,182370007,64
120,12,3,182370007,32
121,1,4,182370007,40
122,2,4,182370007,80
123,3,4,182370007,40
124,4,4,182370007,40
125,5,4,182370007,40
126,6,4,182370007,40
127,7,4,182370007,40
128,8,4,182370007,40
129,9,4,182370007,40
130,10,4,182370007,40
131,11,4,182370007,80
132,12,4,182370007,40
133,1,5,182370007,48
134,2,5,182370007,96
135,3,5,182370007,48
136,4,5,182370007,48
137,5,5,182370007,48
138,6,5,182370007,48
139,7,5,182370007,48
140,8,5,182370007,48
141,9,5,182370007,48
142,10,5,182370007,48
143,11,5,182370007,96
144,12,5,182370007,48
