id,place,level,health,attack,defence,crit,toughness,hit,dodge,percent
1,1,1,0,0,0,0,0,0,0,300
2,2,1,0,0,0,0,0,0,0,300
3,3,1,0,0,0,0,0,0,0,300
4,4,1,0,0,0,0,0,0,0,300
5,5,1,0,0,0,0,0,0,0,300
6,6,1,0,0,0,0,0,0,0,300
7,7,1,0,0,0,0,0,0,0,300
8,8,1,0,0,0,0,0,0,0,300
9,9,1,0,0,0,0,0,0,0,300
10,10,1,0,0,0,0,0,0,0,300
11,11,1,0,0,0,0,0,0,0,300
12,12,1,0,0,0,0,0,0,0,300
13,1,2,0,0,0,0,0,0,0,600
14,2,2,0,0,0,0,0,0,0,600
15,3,2,0,0,0,0,0,0,0,600
16,4,2,0,0,0,0,0,0,0,600
17,5,2,0,0,0,0,0,0,0,600
18,6,2,0,0,0,0,0,0,0,600
19,7,2,0,0,0,0,0,0,0,600
20,8,2,0,0,0,0,0,0,0,600
21,9,2,0,0,0,0,0,0,0,600
22,10,2,0,0,0,0,0,0,0,600
23,11,2,0,0,0,0,0,0,0,600
24,12,2,0,0,0,0,0,0,0,600
25,1,3,0,0,0,0,0,0,0,1200
26,2,3,0,0,0,0,0,0,0,1200
27,3,3,0,0,0,0,0,0,0,1200
28,4,3,0,0,0,0,0,0,0,1200
29,5,3,0,0,0,0,0,0,0,1200
30,6,3,0,0,0,0,0,0,0,1200
31,7,3,0,0,0,0,0,0,0,1200
32,8,3,0,0,0,0,0,0,0,1200
33,9,3,0,0,0,0,0,0,0,1200
34,10,3,0,0,0,0,0,0,0,1200
35,11,3,0,0,0,0,0,0,0,1200
36,12,3,0,0,0,0,0,0,0,1200
37,1,4,0,0,0,0,0,0,0,1800
38,2,4,0,0,0,0,0,0,0,1800
39,3,4,0,0,0,0,0,0,0,1800
40,4,4,0,0,0,0,0,0,0,1800
41,5,4,0,0,0,0,0,0,0,1800
42,6,4,0,0,0,0,0,0,0,1800
43,7,4,0,0,0,0,0,0,0,1800
44,8,4,0,0,0,0,0,0,0,1800
45,9,4,0,0,0,0,0,0,0,1800
46,10,4,0,0,0,0,0,0,0,1800
47,11,4,0,0,0,0,0,0,0,1800
48,12,4,0,0,0,0,0,0,0,1800
49,1,5,0,0,0,0,0,0,0,2400
50,2,5,0,0,0,0,0,0,0,2400
51,3,5,0,0,0,0,0,0,0,2400
52,4,5,0,0,0,0,0,0,0,2400
53,5,5,0,0,0,0,0,0,0,2400
54,6,5,0,0,0,0,0,0,0,2400
55,7,5,0,0,0,0,0,0,0,2400
56,8,5,0,0,0,0,0,0,0,2400
57,9,5,0,0,0,0,0,0,0,2400
58,10,5,0,0,0,0,0,0,0,2400
59,11,5,0,0,0,0,0,0,0,2400
60,12,5,0,0,0,0,0,0,0,2400
61,1,6,0,0,0,0,0,0,0,3000
62,2,6,0,0,0,0,0,0,0,3000
63,3,6,0,0,0,0,0,0,0,3000
64,4,6,0,0,0,0,0,0,0,3000
65,5,6,0,0,0,0,0,0,0,3000
66,6,6,0,0,0,0,0,0,0,3000
67,7,6,0,0,0,0,0,0,0,3000
68,8,6,0,0,0,0,0,0,0,3000
69,9,6,0,0,0,0,0,0,0,3000
70,10,6,0,0,0,0,0,0,0,3000
71,11,6,0,0,0,0,0,0,0,3000
72,12,6,0,0,0,0,0,0,0,3000
