id,copyid,star,level,vip,diamond
1,20101,1,35,2,0
2,20102,1,1045,2,0
3,20103,1,2054,2,0
4,20104,1,4059,2,0
5,20201,1,42,2,0
6,20202,1,2046,2,0
7,20203,1,3056,2,0
8,20204,1,5060,2,0
9,20301,1,1046,3,0
10,20302,1,3050,3,0
11,20303,1,4060,3,0
12,20304,1,5070,3,0
13,20401,1,2053,3,0
14,20402,1,4057,3,0
15,20403,1,5067,3,0
16,20404,1,7071,3,0
17,20501,1,2052,3,0
18,20502,1,4056,3,0
19,20503,1,5066,3,0
20,20504,1,7070,3,0
21,40101,0,4061,3,10
22,40102,0,6065,3,10
23,40103,0,7075,3,10
24,40104,0,8085,3,10
25,20601,1,1040,3,0
26,20602,1,2050,3,0
27,20603,1,3060,3,0
28,20604,1,5064,3,0
29,40201,0,4055,3,0
30,40202,0,5065,3,0
31,40203,0,6075,3,0
32,40204,0,8079,3,0
33,40301,0,2054,3,0
34,40302,0,4058,3,0
35,40303,0,5068,3,0
36,40304,0,7072,3,0
37,20701,0,1047,3,0
38,20702,0,3051,3,0
39,20703,0,4061,3,0
40,20704,0,6065,3,0
41,20801,0,4057,3,0
42,20802,0,5067,3,0
43,20803,0,7071,3,0
44,20804,0,8081,3,0
45,20901,0,3053,3,0
46,20902,0,4063,3,0
47,20903,0,6067,3,0
48,20904,0,7077,3,0
49,21001,0,1048,3,0
50,21002,0,3052,3,0
51,21003,0,4062,3,0
52,21004,0,6066,3,0
