id,system_id,title,describe,icon
1,102010000,升级技能,提升技能的百分比与固定伤害,10045
2,102020000,升级神通,提升神通的技能效果,10045
3,103000000,突破,提升人物属性,10045
4,104010000,转生,提升人物属性，提升等级上限,10045
5,107000000,法宝提升,集齐法宝碎片，获得强力属性,10045
6,108000000,锤炼神兵,提升神兵等级，解锁强力技能,10045
7,109000000,升级领域,提升领域等级，解锁领域技能,10045
8,109060000,使用道果,百分比提升领域属性,10045
9,121010000,强化-角色,提升装备属性，获得强化光环,10042
10,121020000,强化-伙伴,提升装备属性，获得强化光环,10042
11,121030000,强化-神装,提升装备属性，获得强化光环,10042
12,122010000,升阶-角色,提升角色装备等级及属性,10042
13,122020000,升阶-伙伴,提升伙伴装备等级及属性,10042
14,123010000,精炼-角色,提升角色装备品质及属性,10042
15,123020000,精炼-伙伴,提升伙伴装备品质及属性,10042
16,124020000,洗炼-角色,装备角色获得洗练属性,10042
17,124030000,洗炼-伙伴,装备伙伴获得洗练属性,10042
18,124040000,洗炼-神兽,装备神兽获得洗练属性,10042
19,125010000,镶嵌-角色,装备角色获得宝石属性,10042
20,125020000,镶嵌-伙伴,装备伙伴获得宝石属性,10042
21,125030000,镶嵌-神兽,装备神兽获得宝石属性,10042
22,131010100,培养坐骑,培养坐骑，解锁神兽,10049
23,131010202,装备骑装,集齐同品质骑装，解锁套装属性,10049
24,131010300,使用兽灵,百分比提升坐骑属性,10049
25,131020200,伙伴成长,伙伴成长，提升属性，解锁称号,10049
26,131020300,伙伴灵修,伙伴灵修，三种属性随意培养,10049
27,131020400,伙伴融魂,提升伙伴资质，提升转换率,10049
28,131030200,提升羽翼,升级羽翼，解锁强力技能,10049
29,131030100,使用神纹,百分比提升翅膀属性,10049
30,131050300,玄兵激活,激活玄兵，获得属性,10049
31,131050100,玄兵淬炼,三种玄兵，提升获得专属技能,10049
32,131050200,玄兵注灵,提升注灵等级，提升玄兵技能,10049
33,131050400,使用魂珠,百分比提升玄兵属性,10049
34,131060200,足迹培养,培养足迹，解锁酷炫足迹,10049
35,131060100,使用印迹,百分比提升足迹属性，获得技能,10049
36,131070100,提升仙器,培养仙器，解锁华丽仙器，获得技能,10049
37,131070200,使用奇石,百分比提升仙器属性,10049
38,161012000,仙盟技能,7种属性，随心培养,10051
39,231000000,道铠升阶,完成每日任务，获得强力属性,40063
40,232030000,升级道戒,通关副本，提升道戒等级，获得伤害加成,40063
41,232040000,升级道戒,击杀boss，提升道戒等级，获得伤害减免,40063
42,291000000,套装打造,套装打造，百分比获得装备属性,10129
43,292000000,套装淬炼,套装淬炼，百分比获得装备属性,10129
44,293000000,套装唤灵,套装唤灵，百分比获得装备属性,10129
45,311000000,符文,符文升级，获得独特属性,10132
46,341010000,锻星-角色,提升装备星级，解锁极品属性,10141
47,341020000,锻星-伙伴,提升装备星级，解锁极品属性,10141
48,341030000,锻星-神装,提升装备星级，解锁极品属性,10141
49,342010000,淬神-角色,随机获得极品属性,10141
50,342020000,淬神-伙伴,随机获得极品属性,10141
51,342030000,淬神-神装,随机获得极品属性,10141
52,343010000,炼神-角色,提升极品属性,10141
53,343020000,炼神-伙伴,提升极品属性,10141
54,343030000,炼神-神装,提升极品属性,10141
55,131020700,伙伴装备,伙伴穿戴装备，提升伙伴属性,10049
