id,systemid,limit_level,name,describe,icon,taskid,title,state,window,head,shield,improve,button,path
1,1,1,主界面,,-1,-1,-1,-1,-1,1,0,,,
2,100000000,1,人物系统,,10045,-1,20045,-1,-1,1,0,,,UI_Player/UI_Player
3,101000000,1,人物,,10045,-1,-1,-1,-1,1,0,,,UI_Player/UI_Player
4,102000000,-1,技能,,10045,100000004,-1,3,-1,1,1,,,UI_Player/UI_Player
5,102010000,1,职业技能,,10045,-1,-1,-1,-1,1,1,,,UI_Player/UI_Player
6,102020000,1042,神通,,10045,-1,-1,-1,-1,1,1,,,UI_Player/UI_Player
7,103000000,2046,突破,1.突破共分为10个境界：后天生灵、先天生灵、紫府修士、万象真人、元神道人、返虚地仙、金丹天仙、纯阳真仙、大罗道祖、世界境。\n2.每个境界对应一个称号。\n3.每个境界各有10个阶段。\n4.境界内等级提升需要消耗灵气，境界突破需要消耗仙气，灵气和仙气可在修炼系统获得，每次境界突破需要达到指定等级。\n5.灵气、仙气最大值为21，超过21的部分将从1开始计算。\n6.灵气、仙气可从修炼与吉星高照获得。,10045,-1,-1,-1,-1,1,1,,,UI_Player/UI_Player
8,104000000,2046,修炼,,10045,-1,-1,-1,-1,1,0,,,UI_Player/UI_Player
9,104010000,-1,转生,1.转生后等级降低5级，等级上限提升5级\n2.转生后角色属性不会降低，依然可参加转生前有等级限制的活动。\n3.转生需要消耗修为，角色满级时可将多余的经验兑换为修为。\n4.经验兑换修为的次数随转生等级的增加而增加，每天0点重置。,10045,100000112,-1,3,-1,1,1,,,UI_Player/UI_Player
10,105000000,2045,仙脉,,10045,-1,-1,-1,-1,1,1,,,UI_Player/UI_Player
11,107000000,3056,法宝,,10045,-1,-1,-1,-1,1,1,,,UI_Player/UI_Player
12,107010000,3056,神器一,,-1,-1,-1,-1,-1,1,1,,,UI_Player/UI_Player
13,107020000,3056,神器一,,-1,-1,-1,-1,-1,1,1,,,UI_Player/UI_Player
14,107011000,3056,神器二,,-1,-1,-1,-1,-1,1,1,,,UI_Player/UI_Player
15,107021000,3056,神器二,,-1,-1,-1,-1,-1,1,1,,,UI_Player/UI_Player
16,107012000,3056,神器三, ,-1,-1,-1,-1,-1,1,1,,,UI_Player/UI_Player
17,107022000,3056,神器三,,-1,-1,-1,-1,-1,1,1,,,UI_Player/UI_Player
18,107013000,3056,神器四,,-1,-1,-1,-1,-1,1,1,,,UI_Player/UI_Player
19,107023000,3056,神器四,,-1,-1,-1,-1,-1,1,1,,,UI_Player/UI_Player
