id,tips
1,每天20:30的论道之战，可以各路高手一较高下
2,参加明月山水图副本可获得丰厚的铜钱奖励
3,伙伴提升材料可在寂灭之域副本中获得
4,参加水府试炼副本可获得大量的强化石
5,东林宗副本产出大量的洗练石
6,无间战场副本产出各种珍贵的宝石
7,装备升阶所需的升阶石可以通过分解装备和天宝阁获得
8,每天的副本购买次数有限，不容错过
9,悟性可通过应龙试炼和仙缘大会获得
10,积极参加仙盟活动可获得的大量的仙盟贡献
11,仙盟贡献可用于学习仙盟技能和购买仙盟商店的物品
12,每周二，四，六21点的仙盟争霸，第一仙盟的荣誉之战
13,仙缘大会每天结算一次，根据排名可获得大量的悟性和铜钱奖励
14,游戏比较卡的时候可在“性能设置”处对显示进行屏蔽
15,完成每天的环式和试炼任务可获得大量经验
16,提升VIP等级可增加副本购买次数
17,天宝阁可获得大量的装备和珍贵的橙色精炼石
18,分解紫装和橙装可获得珍贵的升阶石和橙色精炼石
19,可在背包—杂货店中花费铜钱购买药品和装备等
20,强化装备可获得大量的属性
21,装备继承可将洗练、气运值转移到新装备上
22,气运值可以提高出最大攻击的概率
23,坐骑进化可获得大量属性和超炫外形
24,伙伴融合可提升主魂的资质
25,激战BOSS可获得大量的珍稀装备
26,提升VIP等级可获得丰厚奖励和永久享受各种特权
27,切换PK模式可攻击相应的玩家
28,恶意杀人会增加罪孽值，并有一定概率受到业火惩罚、降低武器气运值
29,击杀其他玩家有几率爆出其非绑定的穿戴装备和背包物品
30,玩家被击杀时装备及物品的爆率与其罪孽值相关
31,应龙试炼副本产出悟性可用于提升技能
32,长按培养按钮可连续使用
