id,title_id,objectid,limited_type,title_icon,name,rank,health,attack,defence,crit,toughness,hit,dodge,time,describe,output,limit1
1,221552050,-1,0,221552050,未来之星,1,0,20,20,0,0,0,0,-1,1、增加角色攻击20点\n2、增加角色防御20点,首冲后获得,1
2,221552001,-1,0,221552001,壕,2,0,45,30,0,0,0,0,-1,1、增加角色攻击45点\n2、增加角色防御30点,累计消费5000万绑定铜币可获得该称号,1
3,221552002,-1,0,221552002,名动三界,3,500,10,10,10,10,0,0,-1,1、增加角色生命500点\n2、增加角色攻击10点\n3、增加角色防御10点\n4、增加角色暴击10点\n5、增加角色韧性10点,达到1转50级可获得该称号,1
4,221552003,-1,0,221552003,初露锋芒,4,1250,0,0,0,0,0,0,-1,1、增加角色生命1250点,达到6000战力可获得此称号,1
5,221552004,-1,0,221552004,融会贯通,5,0,0,0,0,0,10,15,-1,1、增加角色命中10点\n2、增加角色闪避15点,达成融会贯通成就可获得此称号,1
6,221552005,-1,0,221552005,神魔血炼,6,1000,45,15,0,0,0,0,-1,1、增加角色攻击45点\n2、增加角色防御15点\n3、增加角色生命1000点,达成停不下来成就可获得此称号,1
7,221552006,-1,0,221552006,神兵道铠,7,0,0,0,25,25,0,0,-1,1、增加角色暴击25点\n2、增加角色韧性25点,达成人阶道兵成就可获得此称号,1
8,221552007,-1,0,221552007,彩华星耀,8,0,0,0,0,0,20,20,-1,1、增加角色命中20点\n2、增加角色闪避20点,镶嵌24个5级以上宝石可获得此称号,1
9,221552008,-1,0,221552008,神兵惊世,9,500,10,10,10,10,0,0,-1,1、增加角色生命500点\n2、增加角色攻击10点\n3、增加角色防御10点\n4、增加角色暴击10点\n5、增加角色韧性10点,装备洗练出6条橙色属性可获得此称号,1
10,221552009,-1,0,221552009,三界大能,10,1000,30,0,0,0,0,0,-1,1、增加角色生命1000点\n2、增加角色攻击30点,伙伴成长达到50可获得此称号,1
11,221552010,-1,0,221552010,仙神伴身,11,0,20,0,20,0,20,0,-1,1、增加角色攻击20点\n2、增加角色命中20点\n3、增加角色暴击20点,伙伴资质达到61可获得该称号,1
12,221552011,-1,0,221552011,风驰电掣,12,0,0,20,0,20,0,20,-1,1、增加角色防御20点\n2、增加角色闪避20点\n3、增加角色韧性20点,坐骑达到到6阶1级可获得此称号,1
13,221552012,-1,0,221552012,斩妖除魔,13,4000,0,0,0,0,0,0,-1,1、增加角色生命4000点,累计通关副本500次可获得此称号,1
14,221552013,-1,0,221552013,仙盟之星,14,1000,0,30,0,0,0,0,-1,1、增加角色防御30点\n2、增加角色生命1000点,累计捐献仙盟贡献100000点可获得此称号,1
