id,copyid,objectid,number,bind
1,70101,182370004,2,1
2,70101,215513001,200,2
3,70101,195402001,10,1
4,70102,182370004,2,1
5,70102,215513001,200,2
6,70102,195402001,10,1
7,70103,182370004,2,1
8,70103,215513001,200,2
9,70103,182353001,1,1
10,70104,182370004,2,1
11,70104,215513001,200,2
12,70104,195402001,10,1
13,70105,182370004,2,1
14,70105,215513001,500,2
15,70105,182353001,1,1
16,70106,182370004,3,1
17,70106,215513001,300,2
18,70106,195402001,20,1
19,70107,182370004,3,1
20,70107,215513001,300,2
21,70107,195402001,20,1
22,70108,182370004,3,1
23,70108,215513001,300,2
24,70108,182353001,1,1
25,70109,182370004,3,1
26,70109,215513001,300,2
27,70109,195402001,20,1
28,70110,182370004,3,1
29,70110,215513001,600,2
30,70110,182353001,1,1
31,70111,182370004,4,1
32,70111,215513001,400,2
33,70111,195402001,30,1
34,70112,182370004,4,1
35,70112,215513001,400,2
36,70112,195402001,30,1
37,70113,182370004,4,1
38,70113,215513001,400,2
39,70113,182353001,2,1
40,70114,182370004,4,1
41,70114,215513001,400,2
42,70114,195402001,30,1
43,70115,182370004,4,1
44,70115,215513001,800,2
45,70115,182353001,2,1
46,70116,182370004,5,1
47,70116,215513001,500,2
48,70116,194402002,20,1
49,70117,182370004,5,1
50,70117,215513001,500,2
51,70117,194402002,20,1
52,70118,182370004,5,1
53,70118,215513001,500,2
54,70118,182353001,2,1
55,70119,182370004,5,1
56,70119,215513001,500,2
57,70119,194402002,20,1
58,70120,182370004,5,1
59,70120,215513001,1000,2
60,70120,182353001,2,1
61,70121,182370004,6,1
62,70121,215513001,600,2
63,70121,194402002,30,1
64,70122,182370004,6,1
65,70122,215513001,600,2
66,70122,194402002,30,1
67,70123,182370004,6,1
68,70123,215513001,600,2
69,70123,182353001,3,1
70,70124,182370004,6,1
71,70124,215513001,600,2
72,70124,194402002,30,1
73,70125,182370004,6,1
74,70125,215513001,1200,2
75,70125,182353001,3,1
76,70126,182370004,7,1
77,70126,215513001,800,2
78,70126,193402003,20,1
79,70127,182370004,7,1
80,70127,215513001,800,2
81,70127,193402003,20,1
82,70128,182370004,7,1
83,70128,215513001,800,2
84,70128,182353001,4,1
85,70129,182370004,7,1
86,70129,215513001,800,2
87,70129,193402003,20,1
88,70130,182370004,7,1
89,70130,215513001,1500,2
90,70130,182353001,5,1
91,70131,182370004,7,1
92,70131,215513001,1000,2
93,70131,193402003,30,1
94,70132,182370004,7,1
95,70132,215513001,1000,2
96,70132,193402003,30,1
97,70133,182370004,7,1
98,70133,215513001,1000,2
99,70133,181354001,1,1
100,70134,182370004,7,1
101,70134,215513001,1000,2
102,70134,193402003,30,1
103,70135,182370004,7,1
104,70135,215513001,2000,2
105,70135,181354001,1,1
106,70136,182370004,10,1
107,70136,215513001,1500,2
108,70136,192402004,20,1
109,70137,182370004,10,1
110,70137,215513001,1500,2
111,70137,192402004,20,1
112,70138,182370004,10,1
113,70138,215513001,1500,2
114,70138,181354001,1,1
115,70139,182370004,10,1
116,70139,215513001,1500,2
117,70139,192402004,20,1
118,70140,182370004,10,1
119,70140,215513001,3000,2
120,70140,181354001,1,1
