id,copyid,time_min,time_max,score
1,50101,200,300,3000
2,50101,100,200,3600
3,50101,0,100,4200
4,50102,200,300,3500
5,50102,100,200,4200
6,50102,0,100,4900
7,50103,200,300,4000
8,50103,100,200,4800
9,50103,0,100,5600
10,50104,200,300,4500
11,50104,100,200,5400
12,50104,0,100,6300
13,50105,200,300,5000
14,50105,100,200,6000
15,50105,0,100,7000
16,50106,200,300,5500
17,50106,100,200,6600
18,50106,0,100,7700
19,50107,200,300,6000
20,50107,100,200,7200
21,50107,0,100,8400
22,50201,200,300,4800
23,50201,100,200,5400
24,50201,0,100,6000
25,50202,200,300,5600
26,50202,100,200,6300
27,50202,0,100,7000
28,50203,200,300,6400
29,50203,100,200,7200
30,50203,0,100,8000
31,50204,200,300,7200
32,50204,100,200,8100
33,50204,0,100,9000
34,50205,200,300,8000
35,50205,100,200,9000
36,50205,0,100,10000
37,50206,200,300,8800
38,50206,100,200,9900
39,50206,0,100,11000
40,50207,200,300,9600
41,50207,100,200,10800
42,50207,0,100,12000
43,50301,200,300,6600
44,50301,100,200,7200
45,50301,0,100,7800
46,50302,200,300,7700
47,50302,100,200,8400
48,50302,0,100,9100
49,50303,200,300,8800
50,50303,100,200,9600
51,50303,0,100,10400
52,50304,200,300,9900
53,50304,100,200,10800
54,50304,0,100,11700
55,50305,200,300,11000
56,50305,100,200,12000
57,50305,0,100,13000
58,50306,200,300,12100
59,50306,100,200,13200
60,50306,0,100,14300
61,50307,200,300,13200
62,50307,100,200,14400
63,50307,0,100,15600
64,50401,200,300,8400
65,50401,100,200,9000
66,50401,0,100,9600
67,50402,200,300,9800
68,50402,100,200,10500
69,50402,0,100,11200
70,50403,200,300,11200
71,50403,100,200,12000
72,50403,0,100,12800
73,50404,200,300,12600
74,50404,100,200,13500
75,50404,0,100,14400
76,50405,200,300,14000
77,50405,100,200,15000
78,50405,0,100,16000
79,50406,200,300,15400
80,50406,100,200,16500
81,50406,0,100,17600
82,50407,200,300,16000
83,50407,100,200,18000
84,50407,0,100,19200
