id,levelmix,levelmax,difficult,luaid,describe,times
1,30,39,1,300000001,狱山荒泽收集20个采集物,-1
2,30,39,2,300000002,狱山荒泽击杀35只30级以上小怪,-1
3,30,39,3,300000003,狱山荒泽参与击杀1只BOSS,-1
4,30,39,3,300000022,狱山荒泽击杀50只30级以上小怪,0
5,40,1049,1,300000004,狱山荒泽收集20个采集物,-1
6,40,1049,2,300000005,狱山荒泽击杀35只40级以上小怪,-1
7,40,1049,3,300000006,狱山荒泽参与击杀1只BOSS,-1
8,40,1049,3,300000023,狱山荒泽击杀50只40级以上小怪,0
9,1050,3059,1,300000007,狱山荒泽收集20个采集物,-1
10,1050,3059,2,300000008,狱山荒泽击杀100只35级以上小怪,-1
11,1050,3059,3,300000009,狱山荒泽参与击杀1只BOSS,-1
12,1050,3059,3,300000024,狱山荒泽击杀50只50级以上小怪,0
13,3060,5069,1,300000010,狱山荒泽收集20个采集物,-1
14,3060,5069,2,300000011,狱山荒泽击杀35只60级以上小怪,-1
15,3060,5069,3,300000012,狱山荒泽参与击杀1只BOSS,-1
16,3060,5069,3,300000025,狱山荒泽击杀50只60级以上小怪,0
17,5070,7079,1,300000013,狱山荒泽收集20个采集物,-1
18,5070,7079,2,300000014,狱山荒泽击杀35只70级以上小怪,-1
19,5070,7079,3,300000015,狱山荒泽参与击杀1只BOSS,-1
20,5070,7079,3,300000026,狱山荒泽击杀50只70级以上小怪,0
21,7080,9089,1,300000016,狱山荒泽收集20个采集物,-1
22,7080,9089,2,300000017,狱山荒泽击杀35只80级以上小怪,-1
23,7080,9089,3,300000018,狱山荒泽参与击杀1只BOSS,-1
24,7080,9089,3,300000027,狱山荒泽击杀50只80级以上小怪,0
25,9090,11100,1,300000019,狱山荒泽收集20个采集物,-1
26,9090,11100,2,300000020,狱山荒泽击杀35只80级以上小怪,-1
27,9090,11100,3,300000021,狱山荒泽参与击杀1只BOSS,-1
28,9090,11100,3,300000028,狱山荒泽击杀50只80级以上小怪,0
