id,level,difficult,exp,money
1,30,1,200000,10000
2,30,2,300000,15000
3,30,3,400000,20000
4,31,1,210000,10000
5,31,2,315000,15000
6,31,3,420000,20000
7,32,1,220500,10000
8,32,2,330750,15000
9,32,3,441000,20000
10,33,1,231525,10000
11,33,2,347288,15000
12,33,3,463050,20000
13,34,1,243101,10000
14,34,2,364652,15000
15,34,3,486202,20000
16,35,1,255256,10000
17,35,2,382884,15000
18,35,3,510512,20000
19,36,1,268019,10000
20,36,2,402029,15000
21,36,3,536038,20000
22,37,1,281419,10000
23,37,2,422129,15000
24,37,3,562838,20000
25,38,1,295490,10000
26,38,2,443235,15000
27,38,3,590980,20000
28,39,1,310265,10000
29,39,2,465398,15000
30,39,3,620530,20000
31,40,1,325778,10000
32,40,2,488667,15000
33,40,3,651556,20000
34,41,1,342067,10000
35,41,2,513101,15000
36,41,3,684134,20000
37,42,1,359170,10000
38,42,2,538755,15000
39,42,3,718340,20000
40,43,1,377129,10000
41,43,2,565694,15000
42,43,3,754258,20000
43,44,1,395985,10000
44,44,2,593978,15000
45,44,3,791970,20000
46,45,1,415785,10000
47,45,2,623678,15000
48,45,3,831570,20000
49,1040,1,415785,10000
50,1040,2,623678,15000
51,1040,3,831570,20000
52,1041,1,415785,10000
53,1041,2,623678,15000
54,1041,3,831570,20000
55,1042,1,415785,10000
56,1042,2,623678,15000
57,1042,3,831570,20000
58,1043,1,415785,10000
59,1043,2,623678,15000
60,1043,3,831570,20000
61,1044,1,415785,10000
62,1044,2,623678,15000
63,1044,3,831570,20000
64,1045,1,415785,10000
65,1045,2,623678,15000
66,1045,3,831570,20000
67,1046,1,436574,10000
68,1046,2,654861,15000
69,1046,3,873148,20000
70,1047,1,458403,10000
71,1047,2,687605,15000
72,1047,3,916806,20000
73,1048,1,481323,10000
74,1048,2,721985,15000
75,1048,3,962646,20000
76,1049,1,505389,10000
77,1049,2,758084,15000
78,1049,3,1010778,20000
79,1050,1,530658,10000
80,1050,2,795987,15000
81,1050,3,1061316,20000
82,2045,1,530658,10000
83,2045,2,795987,15000
84,2045,3,1061316,20000
85,2046,1,530658,10000
86,2046,2,795987,15000
87,2046,3,1061316,20000
88,2047,1,530658,10000
89,2047,2,795987,15000
90,2047,3,1061316,20000
91,2048,1,530658,10000
92,2048,2,795987,15000
93,2048,3,1061316,20000
94,2049,1,530658,10000
95,2049,2,795987,15000
96,2049,3,1061316,20000
97,2050,1,530658,10000
98,2050,2,795987,15000
99,2050,3,1061316,20000
100,2051,1,557191,10000
101,2051,2,835787,15000
102,2051,3,1114382,20000
103,2052,1,585051,10000
104,2052,2,877577,15000
105,2052,3,1170102,20000
106,2053,1,614303,10000
107,2053,2,921455,15000
108,2053,3,1228606,20000
109,2054,1,645018,10000
110,2054,2,967527,15000
111,2054,3,1290036,20000
112,2055,1,677269,10000
113,2055,2,1015904,15000
114,2055,3,1354538,20000
115,3050,1,677269,10000
116,3050,2,1015904,15000
117,3050,3,1354538,20000
118,3051,1,677269,10000
119,3051,2,1015904,15000
120,3051,3,1354538,20000
121,3052,1,677269,10000
122,3052,2,1015904,15000
123,3052,3,1354538,20000
124,3053,1,677269,10000
125,3053,2,1015904,15000
126,3053,3,1354538,20000
127,3054,1,677269,10000
128,3054,2,1015904,15000
129,3054,3,1354538,20000
130,3055,1,677269,10000
131,3055,2,1015904,15000
132,3055,3,1354538,20000
133,3056,1,711133,10000
134,3056,2,1066700,15000
135,3056,3,1422266,20000
136,3057,1,746690,10000
137,3057,2,1120035,15000
138,3057,3,1493380,20000
139,3058,1,784024,10000
140,3058,2,1176036,15000
141,3058,3,1568048,20000
142,3059,1,823225,10000
143,3059,2,1234838,15000
144,3059,3,1646450,20000
145,3060,1,864386,10000
146,3060,2,1296579,15000
147,3060,3,1728772,20000
148,4055,1,864386,10000
149,4055,2,1296579,15000
150,4055,3,1728772,20000
151,4056,1,864386,10000
152,4056,2,1296579,15000
153,4056,3,1728772,20000
154,4057,1,864386,10000
155,4057,2,1296579,15000
156,4057,3,1728772,20000
157,4058,1,864386,10000
158,4058,2,1296579,15000
159,4058,3,1728772,20000
160,4059,1,864386,10000
161,4059,2,1296579,15000
162,4059,3,1728772,20000
163,4060,1,864386,10000
164,4060,2,1296579,15000
165,4060,3,1728772,20000
166,4061,1,907606,10000
167,4061,2,1361409,15000
168,4061,3,1815212,20000
169,4062,1,952986,10000
170,4062,2,1429479,15000
171,4062,3,1905972,20000
172,4063,1,1000635,10000
173,4063,2,1500953,15000
174,4063,3,2001270,20000
175,4064,1,1050667,10000
176,4064,2,1576001,15000
177,4064,3,2101334,20000
178,4065,1,1103200,10000
179,4065,2,1654800,15000
180,4065,3,2206400,20000
181,5060,1,1103200,10000
182,5060,2,1654800,15000
183,5060,3,2206400,20000
184,5061,1,1103200,10000
185,5061,2,1654800,15000
186,5061,3,2206400,20000
187,5062,1,1103200,10000
188,5062,2,1654800,15000
189,5062,3,2206400,20000
190,5063,1,1103200,10000
191,5063,2,1654800,15000
192,5063,3,2206400,20000
193,5064,1,1103200,10000
194,5064,2,1654800,15000
195,5064,3,2206400,20000
196,5065,1,1103200,10000
197,5065,2,1654800,15000
198,5065,3,2206400,20000
199,5066,1,1158360,10000
200,5066,2,1737540,15000
201,5066,3,2316720,20000
202,5067,1,1216278,10000
203,5067,2,1824417,15000
204,5067,3,2432556,20000
205,5068,1,1277092,10000
206,5068,2,1915638,15000
207,5068,3,2554184,20000
208,5069,1,1340947,10000
209,5069,2,2011421,15000
210,5069,3,2681894,20000
211,5070,1,1407994,10000
212,5070,2,2111991,15000
213,5070,3,2815988,20000
214,6065,1,1407994,10000
215,6065,2,2111991,15000
216,6065,3,2815988,20000
217,6066,1,1407994,10000
218,6066,2,2111991,15000
219,6066,3,2815988,20000
220,6067,1,1407994,10000
221,6067,2,2111991,15000
222,6067,3,2815988,20000
223,6068,1,1407994,10000
224,6068,2,2111991,15000
225,6068,3,2815988,20000
226,6069,1,1407994,10000
227,6069,2,2111991,15000
228,6069,3,2815988,20000
229,6070,1,1407994,10000
230,6070,2,2111991,15000
231,6070,3,2815988,20000
232,6071,1,1478394,10000
233,6071,2,2217591,15000
234,6071,3,2956788,20000
235,6072,1,1552314,10000
236,6072,2,2328471,15000
237,6072,3,3104628,20000
238,6073,1,1629929,10000
239,6073,2,2444894,15000
240,6073,3,3259858,20000
241,6074,1,1711426,10000
242,6074,2,2567139,15000
243,6074,3,3422852,20000
244,6075,1,1796997,10000
245,6075,2,2695496,15000
246,6075,3,3593994,20000
247,7070,1,1796997,10000
248,7070,2,2695496,15000
249,7070,3,3593994,20000
250,7071,1,1796997,10000
251,7071,2,2695496,15000
252,7071,3,3593994,20000
253,7072,1,1796997,10000
254,7072,2,2695496,15000
