id,transform,cultivation_id,cultivation_number,exp_id,exp_number,money_id,money_number,times
1,0,215506001,5000,215500001,500000,215502001,1000,5
2,1,215506001,6000,215500001,600000,215502001,2000,6
3,2,215506001,7000,215500001,700000,215502001,3000,7
4,3,215506001,8000,215500001,800000,215502001,4000,8
5,4,215506001,9000,215500001,900000,215502001,5000,9
6,5,215506001,10000,215500001,1000000,215502001,6000,10
7,6,215506001,11000,215500001,1100000,215502001,7000,11
8,7,215506001,12000,215500001,1200000,215502001,8000,12
9,8,215506001,13000,215500001,1300000,215502001,9000,13
10,9,215506001,14000,215500001,1400000,215502001,10000,14
11,10,215506001,15000,215500001,1500000,215502001,11000,15
12,11,215506001,16000,215500001,1600000,215502001,12000,16
