id,kind,objectid,bind,rate1,rate2,radio,profession,starnum,bindtype
1,1,165252004,1,3500,0,-1,0,0,2
2,1,163257001,1,500,0,-1,0,0,2
3,1,163258001,1,500,0,-1,0,0,2
4,1,163259001,1,500,0,-1,0,0,2
5,1,163260001,1,500,0,-1,0,0,2
6,1,163261001,1,500,0,-1,0,0,2
7,1,163262001,1,500,0,-1,0,0,2
8,1,163263001,1,500,0,-1,0,0,2
9,1,172304012,1,1000,0,1,0,0,2
10,1,162255002,1,6000,0,-1,0,0,2
11,1,172304013,1,6000,0,1,0,0,2
12,1,173304004,1,7000,0,-1,0,0,2
13,1,195402001,1,7500,0,-1,0,0,2
14,1,194401002,1,6000,0,-1,0,0,2
15,1,193401003,1,2000,0,1,0,0,2
16,1,194404005,1,2000,0,1,0,0,2
17,1,194404004,1,1900,0,2,0,0,2
18,1,193404003,1,100,0,2,0,0,2
19,1,193404002,1,80,0,2,0,0,2
20,1,192404001,1,20,0,2,0,0,2
21,1,183371008,1,6700,0,1,0,0,2
22,1,182371007,1,100,0,2,0,0,2
23,1,195406003,1,10000,0,-1,0,0,2
24,1,195406004,1,2500,0,1,0,0,2
25,1,195407004,1,2500,0,1,0,0,2
26,1,195408004,1,2500,0,1,0,0,2
27,1,195409004,1,2500,0,1,0,0,2
28,1,195410004,1,2500,0,1,0,0,2
29,1,195411004,1,2500,0,1,0,0,2
30,1,195405004,1,2500,0,1,0,0,2
31,1,164254002,1,4000,0,1,0,0,2
32,1,163254001,1,4000,0,1,0,0,2
33,1,142164060,2,8,0,2,0,1,1
34,1,142164060,2,8,0,2,0,2,1
35,1,142164060,2,4,0,2,0,3,1
36,1,142166060,2,8,0,2,0,1,1
37,1,142166060,2,8,0,2,0,2,1
38,1,142166060,2,4,0,2,0,3,1
39,1,142163060,2,4,0,2,0,1,1
40,1,142163060,2,4,0,2,0,2,1
41,1,142163060,2,2,0,2,0,3,1
42,1,142165060,2,4,0,2,0,1,1
43,1,142165060,2,4,0,2,0,2,1
44,1,142165060,2,2,0,2,0,3,1
45,1,142164080,2,4,0,2,0,1,1
46,1,142164080,2,4,0,2,0,2,1
47,1,142164080,2,2,0,2,0,3,1
48,1,142166080,2,4,0,2,0,1,1
49,1,142166080,2,4,0,2,0,2,1
50,1,142166080,2,2,0,2,0,3,1
51,1,142163080,2,2,0,2,0,1,1
52,1,142163080,2,2,0,2,0,2,1
53,1,142163080,2,1,0,2,0,3,1
54,1,142165080,2,2,0,2,0,1,1
55,1,142165080,2,2,0,2,0,2,1
56,1,142165080,2,1,0,2,0,3,1
57,1,205299007,1,10,0,2,0,0,2
58,1,182353002,1,6000,0,1,0,0,1
59,1,182353001,1,5000,100000,2,0,0,1
60,2,172304012,1,2000,0,-1,0,0,2
61,2,172304013,1,5000,0,-1,0,0,2
62,2,184392001,1,4500,0,-1,0,0,2
63,2,184390001,1,4500,0,-1,0,0,2
64,2,184391001,1,4500,0,-1,0,0,2
65,2,184393001,1,4500,0,-1,0,0,2
66,2,184394001,1,4500,0,-1,0,0,2
67,2,184395001,1,4500,0,-1,0,0,2
68,2,183392002,1,1500,0,1,0,0,2
69,2,183390002,1,1500,0,1,0,0,2
70,2,183391002,1,800,0,1,0,0,2
71,2,183393002,1,1200,0,1,0,0,2
72,2,183394002,1,1200,0,1,0,0,2
73,2,183395002,1,1200,0,1,0,0,2
74,2,182392003,1,100,0,2,0,0,2
75,2,182390003,1,100,0,2,0,0,2
76,2,182391003,1,50,0,2,0,0,2
77,2,182393003,1,100,0,2,0,0,2
78,2,182394003,1,100,0,2,0,0,2
79,2,182395003,1,50,0,2,0,0,2
80,2,183371008,1,8000,0,-1,0,0,2
81,2,182371007,1,500,0,2,0,0,2
82,2,183371010,1,5000,0,-1,0,0,2
83,2,182371009,1,100,0,2,0,0,2
84,2,195406004,1,10000,0,1,0,0,2
85,2,194406005,1,1800,0,1,0,0,2
86,2,194407005,1,2100,0,1,0,0,2
87,2,194405005,1,2100,0,1,0,0,2
88,2,194408005,1,2100,0,1,0,0,2
89,2,194409005,1,2100,0,1,0,0,2
90,2,194410005,1,2100,0,1,0,0,2
91,2,194411005,1,2100,0,1,0,0,2
92,2,141163040,2,18,0,2,0,1,1
93,2,141163040,2,18,0,2,0,2,1
94,2,141163040,2,9,0,2,0,3,1
95,2,141165040,2,18,0,2,0,1,1
96,2,141165040,2,18,0,2,0,2,1
97,2,141165040,2,9,0,2,0,3,1
98,2,141164060,2,8,0,2,0,1,1
99,2,141164060,2,8,0,2,0,2,1
100,2,141164060,2,4,0,2,0,3,1
101,2,141166060,2,8,0,2,0,1,1
102,2,141166060,2,8,0,2,0,2,1
103,2,141166060,2,4,0,2,0,3,1
104,2,141163060,2,4,0,2,0,1,1
105,2,141163060,2,4,0,2,0,2,1
106,2,141163060,2,2,0,2,0,3,1
107,2,141165060,2,4,0,2,0,1,1
108,2,141165060,2,4,0,2,0,2,1
109,2,141165060,2,2,0,2,0,3,1
110,2,141164080,2,4,0,2,0,1,1
111,2,141164080,2,4,0,2,0,2,1
112,2,141164080,2,2,0,2,0,3,1
113,2,141166080,2,4,0,2,0,1,1
114,2,141166080,2,4,0,2,0,2,1
115,2,141166080,2,2,0,2,0,3,1
116,2,141163080,2,2,0,2,0,1,1
117,2,141163080,2,2,0,2,0,2,1
118,2,141163080,2,1,0,2,0,3,1
119,2,141165080,2,2,0,2,0,1,1
120,2,141165080,2,2,0,2,0,2,1
121,2,141165080,2,1,0,2,0,3,1
122,2,205299008,1,10,0,2,0,0,2
123,2,205299005,1,10,0,2,0,0,2
124,2,181354001,1,900,100000,2,0,0,1
125,2,182353002,1,5000,0,1,0,0,1
126,2,182353001,1,4000,0,1,0,0,1
127,2,162255002,1,10000,0,1,0,0,2
