id,kind,title,rank,objectid,star
1,1,伙伴,1,205299007,0
2,1,八阶橙色神装,2,142163080,3
3,1,八阶橙色神装,2,142163080,2
4,1,八阶橙色神装,2,142163080,1
5,1,八阶橙色神装,2,142164080,3
6,1,八阶橙色神装,2,142164080,2
7,1,八阶橙色神装,2,142164080,1
8,1,八阶橙色神装,2,142165080,3
9,1,八阶橙色神装,2,142165080,2
10,1,八阶橙色神装,2,142165080,1
11,1,八阶橙色神装,2,142166080,3
12,1,八阶橙色神装,2,142166080,2
13,1,八阶橙色神装,2,142166080,1
14,1,六阶橙色神装,3,142163060,3
15,1,六阶橙色神装,3,142163060,2
16,1,六阶橙色神装,3,142163060,1
17,1,六阶橙色神装,3,142164060,3
18,1,六阶橙色神装,3,142164060,2
19,1,六阶橙色神装,3,142164060,1
20,1,六阶橙色神装,3,142165060,3
21,1,六阶橙色神装,3,142165060,2
22,1,六阶橙色神装,3,142165060,1
23,1,六阶橙色神装,3,142166060,3
24,1,六阶橙色神装,3,142166060,2
25,1,六阶橙色神装,3,142166060,1
26,1,宝石,4,195406003,0
27,1,宝石,4,195411004,0
28,1,宝石,4,195406004,0
29,1,宝石,4,195407004,0
30,1,宝石,4,195408004,0
31,1,宝石,4,195409004,0
32,1,宝石,4,195410004,0
33,1,宝石,4,195405004,0
34,1,道具,5,182353001,0
35,1,道具,5,163254001,0
36,1,道具,5,164254002,0
37,1,道具,5,182371007,0
38,1,道具,5,183371008,0
39,1,道具,5,192404001,0
40,1,道具,5,193404002,0
41,1,道具,5,193404003,0
42,1,道具,5,194404004,0
43,1,道具,5,194404005,0
44,1,道具,5,193401003,0
45,1,道具,5,194401002,0
46,1,道具,5,195402001,0
47,1,道具,5,173304004,0
48,1,道具,5,172304013,0
49,1,道具,5,162255002,0
50,1,道具,5,172304012,0
51,1,道具,5,163263001,0
52,1,道具,5,163262001,0
53,1,道具,5,163261001,0
54,1,道具,5,163260001,0
55,1,道具,5,163259001,0
56,1,道具,5,163258001,0
57,1,道具,5,163257001,0
58,1,道具,5,165252004,0
59,2,伙伴,1,205299008,0
60,2,伙伴,1,205299005,0
61,2,八阶红色神装,2,141163080,3
62,2,八阶红色神装,2,141163080,2
63,2,八阶红色神装,2,141163080,1
64,2,八阶红色神装,2,141164080,3
65,2,八阶红色神装,2,141164080,2
66,2,八阶红色神装,2,141164080,1
67,2,八阶红色神装,2,141165080,3
68,2,八阶红色神装,2,141165080,2
69,2,八阶红色神装,2,141165080,1
70,2,八阶红色神装,2,141166080,3
71,2,八阶红色神装,2,141166080,2
72,2,八阶红色神装,2,141166080,1
73,2,六阶红色神装,3,141163060,3
74,2,六阶红色神装,3,141163060,2
75,2,六阶红色神装,3,141163060,1
76,2,六阶红色神装,3,141164060,3
77,2,六阶红色神装,3,141164060,2
78,2,六阶红色神装,3,141164060,1
79,2,六阶红色神装,3,141165060,3
80,2,六阶红色神装,3,141165060,2
81,2,六阶红色神装,3,141165060,1
82,2,六阶红色神装,3,141166060,3
83,2,六阶红色神装,3,141166060,2
84,2,六阶红色神装,3,141166060,1
85,2,四阶红色神装,4,141163040,3
86,2,四阶红色神装,4,141163040,2
87,2,四阶红色神装,4,141163040,1
88,2,四阶红色神装,4,141165040,3
89,2,四阶红色神装,4,141165040,2
90,2,四阶红色神装,4,141165040,1
91,2,宝石,5,194406005,0
92,2,宝石,5,194407005,0
93,2,宝石,5,194405005,0
94,2,宝石,5,194408005,0
95,2,宝石,5,194409005,0
96,2,宝石,5,194410005,0
97,2,宝石,5,194411005,0
98,2,道具,6,182353001,0
99,2,道具,6,182353002,0
100,2,道具,6,181354001,0
101,2,道具,6,182371009,0
102,2,道具,6,183371010,0
103,2,道具,6,182371007,0
104,2,道具,6,183371008,0
105,2,道具,6,182395003,0
106,2,道具,6,182394003,0
107,2,道具,6,182393003,0
108,2,道具,6,182391003,0
109,2,道具,6,182390003,0
110,2,道具,6,182392003,0
111,2,道具,6,183395002,0
112,2,道具,6,183394002,0
113,2,道具,6,183393002,0
114,2,道具,6,183391002,0
115,2,道具,6,183390002,0
116,2,道具,6,183392002,0
117,2,道具,6,184395001,0
118,2,道具,6,184394001,0
119,2,道具,6,184393001,0
120,2,道具,6,184391001,0
121,2,道具,6,184390001,0
122,2,道具,6,184392001,0
123,2,道具,6,172304013,0
124,2,道具,6,172304012,0
