id,trumptype,nowlv,nextlv,costid,costnumber,costmoney,health,attack,defence,crit,toughness,minprocess,maxprocess
1,1,100,101,183362001,1,1500,1000,20,0,20,0,100,100
2,1,101,102,183362001,1,1500,1200,24,0,24,0,60,100
3,1,102,103,183362001,1,1500,1415,28,0,28,0,30,90
4,1,103,104,183362001,1,1500,1645,33,0,33,0,20,60
5,1,104,105,183362001,1,1500,1890,38,0,38,0,30,90
6,1,105,106,183362001,1,1500,2150,43,0,43,0,28,83
7,1,106,107,183362001,1,1500,2425,49,0,49,0,25,75
8,1,107,108,183362001,1,1500,2715,55,0,55,0,23,68
9,1,108,109,183362001,1,1500,3020,61,0,61,0,20,60
10,1,109,200,183362001,1,1500,3340,67,0,67,0,28,83
11,1,200,201,183362001,2,3000,3675,74,0,74,0,25,75
12,1,201,202,183362001,2,3000,4025,81,0,81,0,23,68
13,1,202,203,183362001,2,3000,4390,88,0,88,0,20,60
14,1,203,204,183362001,2,3000,4770,96,0,96,0,18,53
15,1,204,205,183362001,2,3000,5165,104,0,104,0,20,60
16,1,205,206,183362001,2,3000,5575,112,0,112,0,19,56
17,1,206,207,183362001,2,3000,6000,121,0,121,0,17,51
18,1,207,208,183362001,2,3000,6440,130,0,130,0,16,47
19,1,208,209,183362001,2,3000,6895,139,0,139,0,14,42
20,1,209,300,183362001,2,3000,7365,148,0,148,0,10,25
21,1,300,301,183362001,3,4500,7850,158,0,158,0,14,42
22,1,301,302,183362001,3,4500,8350,168,0,168,0,13,39
23,1,302,303,183362001,3,4500,8865,178,0,178,0,12,36
24,1,303,304,183362001,3,4500,9395,189,0,189,0,11,33
25,1,304,305,183362001,3,4500,9940,200,0,200,0,12,36
26,1,305,306,183362001,3,4500,10500,211,0,211,0,12,35
27,1,306,307,183362001,3,4500,11075,223,0,223,0,11,33
28,1,307,308,183362001,3,4500,11665,235,0,235,0,11,32
29,1,308,309,183362001,3,4500,12270,247,0,247,0,10,30
30,1,309,400,183362001,3,4500,12890,259,0,259,0,8,16
31,1,400,401,183362001,4,6000,13525,272,0,272,0,11,32
32,1,401,402,183362001,4,6000,14175,285,0,285,0,10,30
33,1,402,403,183362001,4,6000,14840,298,0,298,0,10,29
34,1,403,404,183362001,4,6000,15520,312,0,312,0,9,27
35,1,404,405,183362001,4,6000,16215,326,0,326,0,10,29
36,1,405,406,183362001,4,6000,16925,340,0,340,0,9,27
37,1,406,407,183362001,4,6000,17650,355,0,355,0,9,26
38,1,407,408,183362001,4,6000,18390,370,0,370,0,8,24
39,1,408,409,183362001,4,6000,19145,385,0,385,0,8,23
40,1,409,500,183362001,4,6000,19915,400,0,400,0,8,23
41,1,500,501,183362001,5,7500,20700,416,0,416,0,7,21
42,1,501,502,183362001,5,7500,21500,432,0,432,0,7,20
43,1,502,503,183362001,5,7500,22315,448,0,448,0,6,18
44,1,503,504,183362001,5,7500,23145,465,0,465,0,6,17
45,1,504,505,183362001,5,7500,23990,482,0,482,0,6,18
46,1,505,506,183362001,5,7500,24850,499,0,499,0,6,17
47,1,506,507,183362001,5,7500,25725,517,0,517,0,5,15
48,1,507,508,183362001,5,7500,26615,535,0,535,0,5,14
49,1,508,509,183362001,5,7500,27520,553,0,553,0,4,12
50,1,509,600,183362001,5,7500,28440,571,0,571,0,3,8
51,1,600,601,183362001,6,9000,29375,590,0,590,0,4,12
52,1,601,602,183362001,6,9000,30325,609,0,609,0,4,11
53,1,602,603,183362001,6,9000,31290,628,0,628,0,4,11
54,1,603,604,183362001,6,9000,32270,648,0,648,0,3,10
55,1,604,605,183362001,6,9000,33265,668,0,668,0,3,10
56,1,605,606,183362001,6,9000,34275,688,0,688,0,3,9
57,1,606,607,183362001,6,9000,35300,709,0,709,0,3,8
58,1,607,608,183362001,6,9000,36340,730,0,730,0,3,8
59,1,608,609,183362001,6,9000,37395,751,0,751,0,2,7
60,1,609,700,183362001,6,9000,38465,772,0,772,0,2,7
61,1,700,701,183362001,7,10500,39550,794,0,794,0,2,7
62,1,701,702,183362001,7,10500,40650,816,0,816,0,2,6
63,1,702,703,183362001,7,10500,41765,838,0,838,0,2,6
64,1,703,704,183362001,7,10500,42895,861,0,861,0,2,6
65,1,704,705,183362001,7,10500,44040,884,0,884,0,2,6
66,1,705,706,183362001,7,10500,45200,907,0,907,0,2,5
67,1,706,707,183362001,7,10500,46375,931,0,931,0,2,5
68,1,707,708,183362001,7,10500,47565,955,0,955,0,2,4
69,1,708,709,183362001,7,10500,48770,979,0,979,0,2,4
70,1,709,710,183362001,7,10500,49990,1003,0,1003,0,1,3
71,1,710,-1,183362001,0,0,51225,1028,0,1028,0,20,30
72,2,100,101,183362001,1,1500,0,40,0,0,20,100,100
73,2,101,102,183362001,1,1500,0,48,0,0,24,60,100
74,2,102,103,183362001,1,1500,0,57,0,0,28,30,90
75,2,103,104,183362001,1,1500,0,66,0,0,33,20,60
76,2,104,105,183362001,1,1500,0,76,0,0,38,30,90
77,2,105,106,183362001,1,1500,0,86,0,0,43,28,83
78,2,106,107,183362001,1,1500,0,97,0,0,49,25,75
79,2,107,108,183362001,1,1500,0,109,0,0,55,23,68
80,2,108,109,183362001,1,1500,0,121,0,0,61,20,60
81,2,109,200,183362001,1,1500,0,134,0,0,67,28,83
82,2,200,201,183362001,2,3000,0,147,0,0,74,25,75
83,2,201,202,183362001,2,3000,0,161,0,0,81,23,68
84,2,202,203,183362001,2,3000,0,176,0,0,88,20,60
85,2,203,204,183362001,2,3000,0,191,0,0,96,18,53
86,2,204,205,183362001,2,3000,0,207,0,0,104,20,60
87,2,205,206,183362001,2,3000,0,223,0,0,112,19,56
88,2,206,207,183362001,2,3000,0,240,0,0,121,17,51
89,2,207,208,183362001,2,3000,0,258,0,0,130,16,47
90,2,208,209,183362001,2,3000,0,276,0,0,139,14,42
91,2,209,300,183362001,2,3000,0,295,0,0,148,10,25
92,2,300,301,183362001,3,4500,0,314,0,0,158,14,42
93,2,301,302,183362001,3,4500,0,334,0,0,168,13,39
94,2,302,303,183362001,3,4500,0,355,0,0,178,12,36
95,2,303,304,183362001,3,4500,0,376,0,0,189,11,33
96,2,304,305,183362001,3,4500,0,398,0,0,200,12,36
97,2,305,306,183362001,3,4500,0,420,0,0,211,12,35
98,2,306,307,183362001,3,4500,0,443,0,0,223,11,33
99,2,307,308,183362001,3,4500,0,467,0,0,235,11,32
100,2,308,309,183362001,3,4500,0,491,0,0,247,10,30
101,2,309,400,183362001,3,4500,0,516,0,0,259,8,16
102,2,400,401,183362001,4,6000,0,541,0,0,272,11,32
103,2,401,402,183362001,4,6000,0,567,0,0,285,10,30
104,2,402,403,183362001,4,6000,0,594,0,0,298,10,29
105,2,403,404,183362001,4,6000,0,621,0,0,312,9,27
106,2,404,405,183362001,4,6000,0,649,0,0,326,10,29
107,2,405,406,183362001,4,6000,0,677,0,0,340,9,27
108,2,406,407,183362001,4,6000,0,706,0,0,355,9,26
109,2,407,408,183362001,4,6000,0,736,0,0,370,8,24
110,2,408,409,183362001,4,6000,0,766,0,0,385,8,23
111,2,409,500,183362001,4,6000,0,797,0,0,400,8,23
112,2,500,501,183362001,5,7500,0,828,0,0,416,7,21
113,2,501,502,183362001,5,7500,0,860,0,0,432,7,20
114,2,502,503,183362001,5,7500,0,893,0,0,448,6,18
115,2,503,504,183362001,5,7500,0,926,0,0,465,6,17
116,2,504,505,183362001,5,7500,0,960,0,0,482,6,18
117,2,505,506,183362001,5,7500,0,994,0,0,499,6,17
118,2,506,507,183362001,5,7500,0,1029,0,0,517,5,15
119,2,507,508,183362001,5,7500,0,1065,0,0,535,5,14
120,2,508,509,183362001,5,7500,0,1101,0,0,553,4,12
121,2,509,600,183362001,5,7500,0,1138,0,0,571,3,8
122,2,600,601,183362001,6,9000,0,1175,0,0,590,4,12
123,2,601,602,183362001,6,9000,0,1213,0,0,609,4,11
124,2,602,603,183362001,6,9000,0,1252,0,0,628,4,11
125,2,603,604,183362001,6,9000,0,1291,0,0,648,3,10
126,2,604,605,183362001,6,9000,0,1331,0,0,668,3,10
127,2,605,606,183362001,6,9000,0,1371,0,0,688,3,9
128,2,606,607,183362001,6,9000,0,1412,0,0,709,3,8
129,2,607,608,183362001,6,9000,0,1454,0,0,730,3,8
130,2,608,609,183362001,6,9000,0,1496,0,0,751,2,7
131,2,609,700,183362001,6,9000,0,1539,0,0,772,2,7
132,2,700,701,183362001,7,10500,0,1582,0,0,794,2,7
133,2,701,702,183362001,7,10500,0,1626,0,0,816,2,6
134,2,702,703,183362001,7,10500,0,1671,0,0,838,2,6
135,2,703,704,183362001,7,10500,0,1716,0,0,861,2,6
136,2,704,705,183362001,7,10500,0,1762,0,0,884,2,6
137,2,705,706,183362001,7,10500,0,1808,0,0,907,2,5
138,2,706,707,183362001,7,10500,0,1855,0,0,931,2,5
139,2,707,708,183362001,7,10500,0,1903,0,0,955,2,4
140,2,708,709,183362001,7,10500,0,1951,0,0,979,2,4
141,2,709,710,183362001,7,10500,0,2000,0,0,1003,1,3
142,2,710,-1,183362001,0,0,0,2049,0,0,1028,20,30
