id,trumptype,nowlv,nextlv,costid,costnumber,costmoney,health,attack,defence,hit,dodge,minprocess,maxprocess,buffid,level
1,1,100,101,183363001,1,4000,1050,21,21,0,0,21,49,100001,1
2,1,101,102,183363001,1,4000,2250,45,45,0,0,15,35,100001,2
3,1,102,103,183363001,1,4000,3600,72,72,0,0,12,30,100001,3
4,1,103,104,183363001,1,4000,5100,102,102,0,0,10,20,100001,4
5,1,104,105,183363001,2,8000,6750,135,135,0,0,10,30,100001,5
6,1,105,106,183363001,2,8000,8550,171,171,0,0,9,20,100001,6
7,1,106,107,183363001,2,8000,10500,210,210,0,0,8,18,100001,7
8,1,107,108,183363001,2,8000,12600,252,252,0,0,8,15,100001,8
9,1,108,109,183363001,3,12000,14850,297,297,0,0,7,15,100001,9
10,1,109,200,183363001,3,12000,17250,345,345,0,0,5,12,100001,10
11,1,200,201,183363001,3,12000,19800,396,396,0,0,4,10,100001,11
12,1,201,202,183363001,3,12000,22500,450,450,0,0,3,8,100001,12
13,1,202,203,183363001,4,16000,25350,507,507,0,0,4,8,100001,13
14,1,203,204,183363001,4,16000,28350,567,567,0,0,2,7,100001,14
15,1,204,205,183363001,4,16000,31500,630,630,0,0,2,5,100001,15
16,1,205,206,183363001,4,16000,34800,696,696,0,0,2,4,100001,16
17,1,206,207,183363001,5,20000,38300,766,766,0,0,2,4,100001,17
18,1,207,208,183363001,5,20000,42000,840,840,0,0,2,4,100001,18
19,1,208,209,183363001,5,20000,45900,918,918,0,0,2,3,100001,19
20,1,209,210,183363001,5,20000,50000,1000,1000,0,0,1,3,100001,20
21,1,210,-1,183363001,5,20000,54300,1086,1086,0,0,1,2,100001,21
22,2,100,101,183363001,1,4000,1050,0,0,0,21,21,49,100002,1
23,2,101,102,183363001,1,4000,2250,0,0,0,45,15,35,100002,2
24,2,102,103,183363001,1,4000,3600,0,0,0,72,12,30,100002,3
25,2,103,104,183363001,1,4000,5100,0,0,0,102,10,20,100002,4
26,2,104,105,183363001,2,8000,6750,0,0,0,135,10,30,100002,5
27,2,105,106,183363001,2,8000,8550,0,0,0,171,9,20,100002,6
28,2,106,107,183363001,2,8000,10500,0,0,0,210,8,18,100002,7
29,2,107,108,183363001,2,8000,12600,0,0,0,252,8,15,100002,8
30,2,108,109,183363001,3,12000,14850,0,0,0,297,7,15,100002,9
31,2,109,200,183363001,3,12000,17250,0,0,0,345,5,12,100002,10
32,2,200,201,183363001,3,12000,19800,0,0,0,396,4,10,100002,11
33,2,201,202,183363001,3,12000,22500,0,0,0,450,3,8,100002,12
34,2,202,203,183363001,4,16000,25350,0,0,0,507,4,8,100002,13
35,2,203,204,183363001,4,16000,28350,0,0,0,567,2,7,100002,14
36,2,204,205,183363001,4,16000,31500,0,0,0,630,2,5,100002,15
37,2,205,206,183363001,4,16000,34800,0,0,0,696,2,4,100002,16
38,2,206,207,183363001,5,20000,38300,0,0,0,766,2,4,100002,17
39,2,207,208,183363001,5,20000,42000,0,0,0,840,2,4,100002,18
40,2,208,209,183363001,5,20000,45900,0,0,0,918,2,3,100002,19
41,2,209,210,183363001,5,20000,50000,0,0,0,1000,1,3,100002,20
42,2,210,-1,183363001,5,20000,54300,0,0,0,1086,1,2,100002,21
