id,viplevel,mixexp,maxexp,tiredvalue,describe_1,describe_2,describe_3
1,0,0,60,60,,,
2,1,60,500,65,[008800]免费使用传送功能[-]•[008800]环式任务开启一键完成[-]•[008800]环式任务完成奖励*1.5倍[-]•[008800]挂机时可自动购买药品[-]•[008800]开启随身仓库[-]•[008800]竞技场挑战无需等待CD时间[-]•[008800]激活羽翼[-]•[008800]可在商城限量购买珍贵道具[-]•[008800]聊天系统不受等级限制并且CD减少到5秒[-]•[1c252c]击杀小怪经验[-][008800]加成5%[-]•[1c252c]开启背包格子时间[-][008800]减少3%[-]•[1c252c]水府试炼(单)每天可[-][008800]购买,1次[-]•[1c252c]东林宗每天可[-][-][008800]购买1次[-]•[1c252c]每天可[-][008800]购买2次[-][1c252c]体力[-]•[1c252c]体力上限增加到[-][008800]65[-]•[1c252c]域外星门每天可[-][008800]购买1次[-],
3,2,500,1000,70,[008800]开启狱山大荒泽(专属BOSS地图)[-]•[008800]免费使用水府试炼、明月山水图寂灭之域的扫荡功能[-]•[1c252c]击杀小怪经验[-][008800]加成10%[-]•[1c252c]开启背包格子时间[-][008800]减少6%[-]•[1c252c]试炼任务每天可增加[-][008800]1次[-]•[1c252c]明月山水图每天可[-][008800]购买1次[-]•[1c252c]东林宗每天可[-][008800]购买2次[-]•[1c252c]每天可[-][008800]购买4次[-][1c252c]体力[-]•[1c252c]体力上限增加到[-][008800]70[-]•[1c252c]包含,vip1的特权[-],
4,3,1000,2000,75,[008800]仙盟任务自动进行[-]•[008800]免费使用所有副本扫荡功能[-]•[1c252c]击杀小怪经验[-][008800]加成15%[-]•[1c252c]免费复活每天[-][008800]增至1次[-]•[1c252c]悟道每天[-][008800]增至10次[-]•[1c252c]开启背包格子时间[-][008800]减少9%[-]•[1c252c]仓库容量[-][008800]增至60格[-]•[1c252c]试炼任务每天可增加[-][008800]2次[-]•[1c252c]神怒之地每天可额外进入[-][008800]1次[-]•[1c252c]水府试炼(单)每天可[-][008800]购买2次[-]•,[1c252c]东林宗每天可[-][008800]购买3次[-]•[1c252c]无间战场(单)每天可[-][008800]购买1次[-]•[1c252c]每天可[-][008800]购买6次[-][1c252c]体力[-]•[1c252c]体力上限增加到[-][008800]75[-]•[1c252c]包含VIP2及以下的特权[-],
5,4,2000,5000,80,[0065ba]激活冥渊之戒(击杀BOSS即可获得生命值、伤害减免加成)[-]•[0065ba]可挑战VIPBOSS(VIP专属,产出大量橙色精炼石、高级装备)[-]•[1c252c]击杀小怪经验[-][0065ba]加成20%[-]•[1c252c]个人运镖每天[-][0065ba]增加1次[-]•[1c252c]悟道每天[-][0065ba]增至15次[-]•[1c252c]开启背包格子时间[-][0065ba]减少12%[-]•[1c252c]试炼任务每天可增加[-][0065ba]3次[-]•[1c252c]明月山水图每天可[-][0065ba]购买2次[-]•[1c252c]东林宗每天可[-][0065ba]购,买4次[-]•[1c252c]每天可[-][0065ba]购买8次[-][1c252c]体力[-]•[1c252c]体力上限增加到[-][0065ba]80[-]•[1c252c]包含VIP3及以下的特权[-],
6,5,5000,10000,85,[0065ba]巅峰竞技每天可购买次数[-]•[1c252c]受到的伤害[-][0065ba]减免3%[-]•[1c252c]悟道每天[-][0065ba]增至20次[-]•[1c252c]开启背包格子时间[-][0065ba]减少15%[-]•[1c252c]试炼任务每天可增加[-][0065ba]4次[-]•[1c252c]水府试炼(单)每天可[-][0065ba]购买3次[-]•[1c252c]寂灭之域每天可[-][0065ba]购买1次[-]•[1c252c]东林宗每天可[-][0065ba]购买5次[-]•[1c252c]无间战场(单)每天可[-][0065ba]购买2,次[-]•[1c252c]莲花幻界(单)每天可[-][0065ba]购买1次[-]•[1c252c]每天可[-][0065ba]购买10次[-][1c252c]体力[-]•[1c252c]体力上限增加到[-][0065ba]85[-]•[1c252c]包含VIP4及以下的特权[-],
7,6,10000,20000,90,[0065ba]轮回塔可额外购买1次扫荡机会[-]•[1c252c]装备被爆概率[-][0065ba]降低5%[-]•[1c252c]击杀小怪经验[-][0065ba]加成25%[-]•[1c252c]免费复活每天[-][0065ba]增至2次[-]•[1c252c]悟道每天[-][0065ba]增至25次[-]•[1c252c]开启背包格子时间[-][0065ba]减少18%[-]•[1c252c]仓库容量[-][0065ba]增至80格[-]•[1c252c]试炼任务每天可增加[-][0065ba]5次[-]•[1c252c]神怒之地每天可额外进入[-,][0065ba]2次[-]•[1c252c]明月山水图每天可[-][0065ba]购买3次[-]•[1c252c]东林宗每天可[-][0065ba]购买6次[-]•[1c252c]莲花幻界(单)每天可[-][0065ba]购买2次[-]•[1c252c]每天可[-][0065ba]购买12次[-][1c252c]体力[-]•[1c252c]体力上限增加到[-][0065ba]90[-]•[1c252c]包含VIP5及以下的特权[-],
8,7,20000,50000,95,[ac35ab]获赠永久坐骑—迦楼罗王[-]•[1c252c]装备被爆概率[-][ac35ab]降低6%[-]•[1c252c]受到的伤害[-][ac35ab]减免6%[-]•[1c252c]个人运镖每天[-][ac35ab]增加2次[-]•[1c252c]悟道每天[-][ac35ab]增至30次[-]•[1c252c]开启背包格子时间[-][ac35ab]减少21%[-]•[1c252c]试炼任务每天可增加[-][ac35ab]6次[-]•[1c252c]水府试炼(单)每天可[-][ac35ab]购买4次[-]•[1c252c]东林宗每天可[-][ac35ab]购买7次[-]•[1c252c]无间战场(单)每天可[-][ac35ab]购买3,次[-]•[1c252c]莲花幻界(单)每天可[-][ac35ab]购买3次[-]•[1c252c]每天可[-][ac35ab]购买14次[-][1c252c]体力[-]•[1c252c]体力上限增加到[-][ac35ab]95[-]•[1c252c]包含VIP6及以下的特权[-],
9,8,50000,100000,100,[1c252c]装备被爆概率[-][ac35ab]降低7%[-]•[1c252c]击杀小怪经验[-][ac35ab]加成30%[-]•[1c252c]开启背包格子时间[-][ac35ab]减少24%[-]•[1c252c]试炼任务每天可增加[-][ac35ab]7次[-]•[1c252c]水府试炼(单)每天可[-][ac35ab]购买3次[-]•[1c252c]明月山水图每天可[-][ac35ab]购买4次[-]•[1c252c]寂灭之域每天可[-][ac35ab]购买2次[-]•[1c252c]东林宗每天可[-][ac35ab]购买8次[-]•[1c252c]无间战场(单)每天可[-][ac35ab]购买4次[-]•[1c252c],莲花幻界(单)每天可[-][ac35ab]购买4次[-]•[1c252c]每天可[-][ac35ab]购买16次[-][1c252c]体力[-]•[1c252c]体力上限增加到[-][ac35ab]100[-]•[1c252c]包含VIP7及以下的特权[-],
10,9,100000,200000,110,[1c252c]装备被爆概率[-][ac35ab]降低8%[-]•[1c252c]免费复活每天[-][ac35ab]增至3次[-]•[1c252c]开启背包格子时间[-][ac35ab]减少27%[-]•[1c252c]试炼任务每天可增加[-][ac35ab]8次[-]•[1c252c]水府试炼(单)每天可[-][ac35ab]购买5次[-]•[1c252c]东林宗每天可[-][ac35ab]购买9次[-]•[1c252c]莲花幻界(单)每天可[-][ac35ab]购买5次[-]•[1c252c]每天可[-][ac35ab]购买18次[-][1c252c]体力[-]•[1c252c]体力上限增加到[-][ac35ab]110[-]•,[1c252c]包含VIP8及以下的特权[-],
