id,vip,profession,objectid,number,position,bind,isshine
1,1,0,195401001,20,1,1,1
2,1,0,183359001,5,2,1,0
3,1,0,215513001,500,3,1,0
4,1,0,215514001,50000,1,2,0
5,2,0,195401001,30,2,1,1
6,2,0,183359001,10,3,1,0
7,2,0,164254002,20,4,1,0
8,2,0,215513001,1000,5,1,0
9,2,0,215514001,100000,6,2,0
10,3,0,195401001,40,1,1,1
11,3,0,183359001,15,2,1,0
12,3,0,195405003,2,3,1,0
13,3,0,173302001,10,4,1,0
14,3,0,215513001,1500,5,1,0
15,3,0,215514001,150000,6,2,0
16,4,0,122052005,1,1,1,1
17,4,0,194401002,15,2,1,1
18,4,0,183359001,20,3,1,0
19,4,0,193403001,20,4,1,0
20,4,0,183358001,10,5,1,0
21,4,0,215514001,200000,6,2,0
22,5,0,173367033,1,1,1,1
23,5,0,194401002,20,2,1,1
24,5,0,183359001,30,3,1,0
25,5,0,195406004,2,4,1,0
26,5,0,183357001,12,5,1,0
27,5,0,215514001,250000,6,2,0
28,6,0,173367033,1,1,1,1
29,6,0,194401002,25,2,1,1
30,6,0,183359001,40,3,1,0
31,6,0,194405005,1,4,1,0
32,6,0,183355001,15,5,1,0
33,6,0,215514001,300000,6,2,0
34,7,0,122051005,1,1,1,1
35,7,0,193403001,8,1,1,1
36,7,0,183359001,50,2,1,1
37,7,0,194408005,2,3,1,0
38,7,0,183358001,20,4,1,0
39,7,0,215514001,350000,6,2,0
40,8,0,193401003,10,1,1,1
41,8,0,183359001,60,2,1,1
42,8,0,194407005,3,3,1,1
43,8,0,183357001,30,4,1,0
44,8,0,215513001,4000,5,1,0
45,8,0,215514001,400000,6,2,0
46,9,0,193401003,12,1,1,1
47,9,0,183359001,70,2,1,1
48,9,0,194406006,1,3,1,1
49,9,0,183355001,45,4,1,0
50,9,0,215513001,4500,5,1,0
51,9,0,215514001,450000,6,2,0
52,10,0,122051010,1,1,1,1
53,10,0,193401003,15,2,1,1
54,10,0,183359001,80,3,1,1
55,10,0,194409006,2,4,1,1
56,10,0,192403002,80,5,1,0
57,10,0,215514001,500000,6,2,0
58,11,0,181354001,1,1,1,1
59,11,0,182392003,1,2,1,1
60,11,0,182370004,20,3,1,1
61,11,0,183351001,50,4,1,1
62,11,0,215513001,6000,5,1,0
63,11,0,215514001,600000,6,2,0
64,12,0,181354001,1,1,1,1
65,12,0,182390003,1,2,1,1
66,12,0,182370004,25,3,1,1
67,12,0,183359001,35,4,1,1
68,12,0,215513001,7000,5,1,0
69,12,0,215514001,700000,6,2,0
70,13,0,181354001,1,1,1,1
71,13,0,182390003,1,2,1,1
72,13,0,182370004,30,3,1,1
73,13,0,183363001,20,4,1,1
74,13,0,215513001,8000,5,1,0
75,13,0,215514001,800000,6,2,0
76,14,0,181354001,1,1,1,1
77,14,0,182391003,1,2,1,1
78,14,0,182370004,35,3,1,1
79,14,0,173306010,1,4,1,1
80,14,0,215513001,9000,5,1,0
81,14,0,215514001,900000,6,2,0
82,15,0,181354001,1,1,1,1
83,15,0,131100001,1,2,1,1
84,15,0,182391003,1,3,1,1
85,15,0,182370004,40,4,1,1
86,15,0,215513001,10000,5,1,0
87,15,0,215514001,1000000,6,2,0
