id,monsterid,typeid,objectid,bind,profession,levelmin,levelmax
1,209101,1,143161130,2,1,40,1049
2,209101,1,143161230,2,2,40,1049
3,209101,1,143161330,2,3,40,1049
4,209101,1,184390001,1,0,40,1049
5,209101,1,173304007,1,0,40,1049
6,209101,2,143161140,2,1,40,1049
7,209101,2,143161240,2,2,40,1049
8,209101,2,143161340,2,3,40,1049
9,209101,2,182353001,1,0,40,1049
10,209101,1,143161140,2,1,1050,3059
11,209101,1,143161240,2,2,1050,3059
12,209101,1,143161340,2,3,1050,3059
13,209101,1,184390001,1,0,1050,3059
14,209101,1,173304007,1,0,1050,3059
15,209101,2,143161150,2,1,1050,3059
16,209101,2,143161250,2,2,1050,3059
17,209101,2,143161350,2,3,1050,3059
18,209101,2,182353001,1,0,1050,3059
19,209101,1,143161150,2,1,3060,5069
20,209101,1,143161250,2,2,3060,5069
21,209101,1,143161350,2,3,3060,5069
22,209101,1,184390001,1,0,3060,5069
23,209101,1,173304007,1,0,3060,5069
24,209101,2,143161160,2,1,3060,5069
25,209101,2,143161260,2,2,3060,5069
26,209101,2,143161360,2,3,3060,5069
27,209101,2,182353001,1,0,3060,5069
28,209101,1,143161160,2,1,5070,7079
29,209101,1,143161260,2,2,5070,7079
30,209101,1,143161360,2,3,5070,7079
31,209101,1,184390001,1,0,5070,7079
32,209101,1,173304007,1,0,5070,7079
33,209101,2,143161170,2,1,5070,7079
34,209101,2,143161270,2,2,5070,7079
35,209101,2,143161370,2,3,5070,7079
36,209101,2,182353001,1,0,5070,7079
37,209101,1,143161170,2,1,7080,9089
38,209101,1,143161270,2,2,7080,9089
39,209101,1,143161370,2,3,7080,9089
40,209101,1,184390001,1,0,7080,9089
41,209101,1,173304007,1,0,7080,9089
42,209101,2,143161180,2,1,7080,9089
43,209101,2,143161280,2,2,7080,9089
44,209101,2,143161380,2,3,7080,9089
45,209101,2,182353001,1,0,7080,9089
46,209101,1,143161180,2,1,9090,11099
47,209101,1,143161280,2,2,9090,11099
48,209101,1,143161380,2,3,9090,11099
