id,kind,rankmin,rankmax,objectid,number,bind
1,1,1,1,132102008,1,1
2,1,1,1,131100009,1,1
3,1,1,1,182353001,5,1
4,1,1,1,182393003,1,1
5,1,1,1,215513001,8888,1
6,1,1,1,173304007,500,1
7,1,2,2,132100010,1,1
8,1,2,2,182353001,3,1
9,1,2,2,183393002,5,1
10,1,2,2,215513001,3888,1
11,1,2,2,173304007,300,1
12,1,3,3,133100011,1,1
13,1,3,3,182353001,1,1
14,1,3,3,183393002,3,1
15,1,3,3,215513001,1888,1
16,1,3,3,173304007,200,1
17,1,4,9,184393001,10,1
18,1,4,9,215513001,888,1
19,1,4,9,173304007,150,1
20,1,10,21,184393001,5,1
21,1,10,21,215513001,588,1
22,1,10,21,173304007,100,1
23,1,22,50,184393001,3,1
24,1,22,50,215513001,388,1
25,1,22,50,173304007,50,1
26,2,1,1,132102008,1,1
27,2,1,1,131100009,1,1
28,2,1,1,181354001,2,1
29,2,1,1,182393003,2,1
30,2,1,1,215513001,8888,1
31,2,1,1,173304007,1000,1
32,2,2,2,132100010,1,1
33,2,2,2,181354001,1,1
34,2,2,2,182393003,1,1
35,2,2,2,215513001,3888,1
36,2,2,2,173304007,600,1
37,2,3,3,133100011,1,1
38,2,3,3,182353001,8,1
39,2,3,3,182393003,1,1
40,2,3,3,215513001,1888,1
41,2,3,3,173304007,400,1
42,2,4,9,182353001,5,1
43,2,4,9,183393002,5,1
44,2,4,9,215513001,888,1
45,2,4,9,173304007,300,1
46,2,10,21,182353001,3,1
47,2,10,21,183393002,3,1
48,2,10,21,215513001,588,1
49,2,10,21,173304007,200,1
50,2,22,50,182353001,1,1
51,2,22,50,184393001,3,1
52,2,22,50,183393002,1,1
53,2,22,50,215513001,388,1
54,2,22,50,173304007,100,1
55,3,1,1,132102008,1,1
56,3,1,1,181354001,1,1
57,3,1,1,182353001,1,1
58,3,1,1,182393003,1,1
59,3,1,1,173310001,1,1
60,3,1,1,215514001,1,1
