id,wingid,professional,fashionid,bone,position,scale,rotation
1,1,1,1,Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/smcb_Bone023,(0.171,2.068,0.021),(1,1,1),(3.886,87.23,-179.44)
2,2,1,1,Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/smcb_Bone023,(-0.159,2.29,-0.06),(1,1,1),(2.76,70.679,177.98)
3,3,1,1,Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/smcb_Bone023,(-0.175,0.02,0),(1,1,1),(3.82,82.03,179.09)
4,4,1,1,Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/smcb_Bone023,(-0.02,2.28,-0.02),(1,1,1),(3.67,74.6,178.61)
5,5,1,1,Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/smcb_Bone023,(-0.074,0.191,0.009),(1,1,1),(3.82,82.05,-179.09)
8,1,2,1,Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/jianxian_chibang,(-2.2,0.266,0.009),(1,1,1),(-86.87,177,91.63)
9,2,2,1,Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/jianxian_chibang,(-2.373,-0.107,0.095),(1,1,1),(-88.35,-103.5,14.09)
10,3,2,1,Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/jianxian_chibang,(-0.241,0.12,0.01),(1,1,1),(-88.29,-110.65,21.23)
11,4,2,1,Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/jianxian_chibang,(-2.48,0.0728,0.031),(1,1,1),(-85.12,-160.38,70.9)
12,5,2,1,Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/jianxian_chibang,(-0.452,0.136,0.036),(1,1,1),(-88.009,-126.31,36.88)
15,1,3,1,Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/lingxin_chibang,(-2.19,0.115,-0.037),(1,1,1),(-70.62,-6.30,-84.706)
16,2,3,1,Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/lingxin_chibang,(-2.18,-0.36,-0.04),(1,1,1),(-81.22,-18.38,-71.02)
17,3,3,1,Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/lingxin_chibang,(-0.208,-0.073,0.003),(1,1,1),(-86.86,-114.55,24.9)
18,4,3,1,Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/lingxin_chibang,(-2.467,-0.11,0),(1,1,1),(-86.71,-119.7,30.05)
19,5,3,1,Bip001/Bip001 Pelvis/Bip001 Spine/Bip001 Spine1/lingxin_chibang,(-0.388,-0.006,0),(1,1,1),(-84.17,-28.75,-60.73)
