id,level,health,attack,defence,crit,hit,dodge,toughness,exp
1,0,0,0,0,0,0,0,0,0
2,1,300,60,15,3,3,3,3,5000
3,2,650,130,32,6,6,6,6,12000
4,3,1050,210,52,10,10,10,10,21000
5,4,1500,300,75,15,15,15,15,32000
6,5,2000,400,100,20,20,20,20,45000
7,6,2550,510,127,25,25,25,25,60000
8,7,3150,630,157,31,31,31,31,77000
9,8,3800,760,190,38,38,38,38,96000
10,9,4500,900,225,45,45,45,45,117000
11,10,5250,1050,262,52,52,52,52,140000
12,11,6050,1210,302,60,60,60,60,165000
13,12,6900,1380,345,69,69,69,69,192000
14,13,7800,1560,390,78,78,78,78,221000
15,14,8800,1760,440,88,88,88,88,281000
16,15,10000,2000,500,100,100,100,100,384000
