id,copyid,objectid,number_1,bind_1,frist_objectid,number_2,bind_2
1,60101,215503001,2000,2,215503001,8000,2
2,60102,215503001,2100,2,215503001,8400,2
3,60103,215503001,2200,2,215503001,8800,2
4,60104,215503001,2300,2,215503001,9200,2
5,60105,215503001,2400,2,215503001,9600,2
6,60106,215503001,2500,2,215503001,10000,2
7,60107,215503001,2600,2,215503001,10400,2
8,60108,215503001,2700,2,215503001,10800,2
9,60201,215503001,2800,2,215503001,11200,2
10,60202,215503001,2900,2,215503001,11600,2
11,60203,215503001,3000,2,215503001,12000,2
12,60204,215503001,3100,2,215503001,12400,2
13,60205,215503001,3200,2,215503001,12800,2
14,60206,215503001,3300,2,215503001,13200,2
15,60207,215503001,3400,2,215503001,13600,2
16,60208,215503001,3500,2,215503001,14000,2
17,60301,215503001,3600,2,215503001,14400,2
18,60302,215503001,3700,2,215503001,14800,2
19,60303,215503001,3800,2,215503001,15200,2
20,60304,215503001,3900,2,215503001,15600,2
21,60305,215503001,4000,2,215503001,16000,2
22,60306,215503001,4100,2,215503001,16400,2
23,60307,215503001,4200,2,215503001,16800,2
24,60308,215503001,4300,2,215503001,17200,2
25,60401,215503001,4400,2,215503001,17600,2
26,60402,215503001,4500,2,215503001,18000,2
27,60403,215503001,4600,2,215503001,18400,2
28,60404,215503001,4700,2,215503001,18800,2
29,60405,215503001,4800,2,215503001,19200,2
30,60406,215503001,4900,2,215503001,19600,2
31,60407,215503001,5000,2,215503001,20000,2
32,60408,215503001,5100,2,215503001,20400,2
33,60501,215503001,5200,2,215503001,20800,2
34,60502,215503001,5300,2,215503001,21200,2
35,60503,215503001,5400,2,215503001,21600,2
36,60504,215503001,5500,2,215503001,22000,2
37,60505,215503001,5600,2,215503001,22400,2
38,60506,215503001,5700,2,215503001,22800,2
39,60507,215503001,5800,2,215503001,23200,2
40,60508,215503001,5900,2,215503001,23600,2
41,60601,215503001,6000,2,215503001,24000,2
42,60602,215503001,6100,2,215503001,24400,2
43,60603,215503001,6200,2,215503001,24800,2
44,60604,215503001,6300,2,215503001,25200,2
45,60605,215503001,6400,2,215503001,25600,2
46,60606,215503001,6500,2,215503001,26000,2
47,60607,215503001,6600,2,215503001,26400,2
48,60608,215503001,6700,2,215503001,26800,2
49,60701,215503001,6800,2,215503001,27200,2
50,60702,215503001,6900,2,215503001,27600,2
51,60703,215503001,7000,2,215503001,28000,2
52,60704,215503001,7100,2,215503001,28400,2
53,60705,215503001,7200,2,215503001,28800,2
54,60706,215503001,7300,2,215503001,29200,2
55,60707,215503001,7400,2,215503001,29600,2
56,60708,215503001,7500,2,215503001,30000,2
