id,chapterid,boxid,unlockstar,position,reward
1,601,10000001,12,1,183359001,1,1,1;195401001,2,2,1;163255001,2,3,1;215514001,10000,4,2
2,601,10000002,16,2,183359001,2,1,1;195401001,4,2,1;163255001,3,3,1;215514001,20000,4,2
3,601,10000003,20,3,183359001,3,1,1;195401001,6,2,1;163255001,4,3,1;215514001,30000,4,2
4,601,10000004,24,4,183359001,4,1,1;195401001,8,2,1;163255001,5,3,1;215514001,40000,4,2
5,602,10000005,12,1,183357001,1,1,1;183358001,2,2,1;163255001,4,3,1;215514001,20000,4,2
6,602,10000006,16,2,183357001,2,1,1;183358001,3,2,1;163255001,6,3,1;215514001,40000,4,2
7,602,10000007,20,3,183357001,3,1,1;183358001,4,2,1;163255001,8,3,1;215514001,60000,4,2
8,602,10000008,24,4,183357001,4,1,1;183358001,5,2,1;163255001,10,3,1;215514001,80000,4,2
9,603,10000009,12,1,193403001,10,1,1;195406003,1,2,1;163255001,6,3,1;215514001,30000,4,2
10,603,10000010,16,2,193403001,15,1,1;195407003,2,2,1;163255001,9,3,1;215514001,60000,4,2
11,603,10000011,20,3,193403001,20,1,1;195405003,3,2,1;163255001,12,3,1;215514001,90000,4,2
12,603,10000012,24,4,193403001,25,1,1;195406004,4,2,1;163255001,15,3,1;215514001,120000,4,2
13,604,10000013,12,1,194401002,3,1,1;183358001,3,2,1;163255001,8,3,1;215514001,40000,4,2
14,604,10000014,16,2,194401002,4,1,1;183358001,4,2,1;163255001,12,3,1;215514001,80000,4,2
15,604,10000015,20,3,194401002,5,1,1;183358001,5,2,1;163255001,16,3,1;215514001,120000,4,2
16,604,10000016,24,4,194401002,6,1,1;183358001,6,2,1;163255001,20,3,1;215514001,160000,4,2
17,605,10000017,12,1,183359001,5,1,1;183357001,3,2,1;162255002,1,3,1;215514001,50000,4,2
18,605,10000018,16,2,183359001,6,1,1;183357001,4,2,1;162255002,2,3,1;215514001,100000,4,2
19,605,10000019,20,3,183359001,7,1,1;183357001,5,2,1;162255002,3,3,1;215514001,150000,4,2
20,605,10000020,24,4,183359001,8,1,1;183357001,6,2,1;162255002,4,3,1;215514001,200000,4,2
21,606,10000021,12,1,183357001,5,1,1;183358001,5,2,1;162255002,2,3,1;215514001,60000,4,2
22,606,10000022,16,2,183357001,6,1,1;183358001,6,2,1;162255002,4,3,1;215514001,120000,4,2
23,606,10000023,20,3,183357001,7,1,1;183358001,7,2,1;162255002,6,3,1;215514001,180000,4,2
24,606,10000024,24,4,183357001,8,1,1;183358001,8,2,1;162255002,8,3,1;215514001,240000,4,2
25,607,10000025,12,1,194401002,7,1,1;183359001,7,2,1;162255002,3,3,1;215514001,70000,4,2
26,607,10000026,16,2,194401002,8,1,1;183359001,8,2,1;162255002,6,3,1;215514001,140000,4,2
27,607,10000027,20,3,194401002,9,1,1;183359001,9,2,1;162255002,9,3,1;215514001,210000,4,2
28,607,10000028,24,4,194401002,10,1,1;183359001,10,2,1;162255002,12,3,1;215514001,280000,4,2
