id,nowlv,nextlv,health,attack,defence,crit,hit,dodge,toughness,minprocess,name
1,100,101,1000,10,10,4,4,4,4,64,水玉冰清
2,101,102,2030,20,20,8,8,8,8,68,水玉冰清
3,102,103,3090,31,31,12,12,12,12,72,水玉冰清
4,103,104,4180,42,42,16,16,16,16,77,水玉冰清
5,104,105,5300,53,53,20,20,20,20,82,水玉冰清
6,105,106,6450,65,65,25,25,25,25,88,水玉冰清
7,106,107,7630,77,77,30,30,30,30,93,水玉冰清
8,107,108,8840,89,89,35,35,35,35,99,水玉冰清
9,108,109,10080,101,101,40,40,40,40,106,水玉冰清
10,109,200,11350,114,114,45,45,45,45,500,水玉冰清
11,200,201,12650,127,127,50,50,50,50,120,尘飞凤舞
12,201,202,13980,140,140,55,55,55,55,128,尘飞凤舞
13,202,203,15340,154,154,60,60,60,60,136,尘飞凤舞
14,203,204,16730,168,168,65,65,65,65,145,尘飞凤舞
15,204,205,18150,182,182,70,70,70,70,154,尘飞凤舞
16,205,206,19600,197,197,75,75,75,75,164,尘飞凤舞
17,206,207,21080,212,212,81,81,81,81,175,尘飞凤舞
18,207,208,22590,227,227,87,87,87,87,186,尘飞凤舞
19,208,209,24130,242,242,93,93,93,93,199,尘飞凤舞
20,209,300,25700,258,258,99,99,99,99,600,尘飞凤舞
21,300,301,27300,274,274,105,105,105,105,225,灭念苍穹
22,301,302,28930,290,290,111,111,111,111,240,灭念苍穹
23,302,303,30590,307,307,117,117,117,117,255,灭念苍穹
24,303,304,32280,324,324,123,123,123,123,272,灭念苍穹
25,304,305,34000,341,341,129,129,129,129,290,灭念苍穹
26,305,306,35750,359,359,135,135,135,135,308,灭念苍穹
27,306,307,37530,377,377,142,142,142,142,329,灭念苍穹
28,307,308,39340,395,395,149,149,149,149,350,灭念苍穹
29,308,309,41180,413,413,156,156,156,156,373,灭念苍穹
30,309,400,43050,432,432,163,163,163,163,900,灭念苍穹
31,400,401,44950,451,451,170,170,170,170,423,生心轮回
32,401,402,46880,470,470,177,177,177,177,450,生心轮回
33,402,403,48840,490,490,184,184,184,184,479,生心轮回
34,403,404,50830,510,510,191,191,191,191,511,生心轮回
35,404,405,52850,530,530,198,198,198,198,544,生心轮回
36,405,406,54900,551,551,205,205,205,205,579,生心轮回
37,406,407,56980,572,572,213,213,213,213,617,生心轮回
38,407,408,59090,593,593,221,221,221,221,657,生心轮回
39,408,409,61230,614,614,229,229,229,229,699,生心轮回
40,409,500,63400,636,636,237,237,237,237,1500,生心轮回
41,500,501,65600,658,658,245,245,245,245,793,金铁鸣音
42,501,502,67830,680,680,253,253,253,253,845,金铁鸣音
43,502,503,70090,703,703,261,261,261,261,900,金铁鸣音
44,503,504,72380,726,726,269,269,269,269,958,金铁鸣音
45,504,505,74700,749,749,277,277,277,277,1021,金铁鸣音
46,505,506,77050,773,773,285,285,285,285,1087,金铁鸣音
47,506,507,79430,797,797,294,294,294,294,1158,金铁鸣音
48,507,508,81840,821,821,303,303,303,303,1233,金铁鸣音
49,508,509,84280,845,845,312,312,312,312,1313,金铁鸣音
50,509,600,86750,870,870,321,321,321,321,2000,金铁鸣音
51,600,601,89250,895,895,330,330,330,330,1420,不灭薪火
52,601,602,91780,920,920,339,339,339,339,1510,不灭薪火
53,602,603,94340,946,946,348,348,348,348,1607,不灭薪火
54,603,604,96930,972,972,357,357,357,357,1710,不灭薪火
55,604,605,99550,998,998,366,366,366,366,1819,不灭薪火
56,605,606,102200,1025,1025,375,375,375,375,1936,不灭薪火
57,606,607,104880,1052,1052,385,385,385,385,2060,不灭薪火
58,607,608,107590,1079,1079,395,395,395,395,2192,不灭薪火
59,608,609,110330,1106,1106,405,405,405,405,2332,不灭薪火
60,609,700,113100,1134,1134,415,415,415,415,3000,建木灵枝
61,700,701,115900,1162,1162,425,425,425,425,2193,建木灵枝
62,701,702,118730,1190,1190,435,435,435,435,2350,建木灵枝
63,702,703,121590,1219,1219,445,445,445,445,2517,建木灵枝
64,703,704,124480,1248,1248,455,455,455,455,2694,建木灵枝
65,704,705,127400,1277,1277,465,465,465,465,2883,建木灵枝
66,705,706,130350,1307,1307,476,476,476,476,3083,建木灵枝
67,706,707,133330,1337,1337,487,487,487,487,3296,建木灵枝
68,707,708,136340,1367,1367,498,498,498,498,3523,建木灵枝
69,708,709,139380,1397,1397,509,509,509,509,3764,建木灵枝
70,709,800,142450,1428,1428,520,520,520,520,5000,建木灵枝
71,800,801,145550,1459,1459,531,531,531,531,3595,太阴玄水
72,801,802,148680,1490,1490,542,542,542,542,3862,太阴玄水
73,802,803,151840,1522,1522,553,553,553,553,4144,太阴玄水
74,803,804,155030,1554,1554,564,564,564,564,4445,太阴玄水
75,804,805,158250,1586,1586,575,575,575,575,4764,太阴玄水
76,805,806,161500,1619,1619,587,587,587,587,5102,太阴玄水
77,806,807,164780,1652,1652,599,599,599,599,5462,太阴玄水
78,807,808,168090,1685,1685,611,611,611,611,5844,太阴玄水
79,808,809,171430,1718,1718,623,623,623,623,6250,太阴玄水
80,809,900,174800,1752,1752,635,635,635,635,8000,太阴玄水
81,900,901,178200,1786,1786,647,647,647,647,5763,混沌初开
82,901,902,181630,1820,1820,659,659,659,659,6206,混沌初开
83,902,903,185090,1855,1855,671,671,671,671,6676,混沌初开
84,903,904,188580,1890,1890,683,683,683,683,7174,混沌初开
85,904,905,192100,1925,1925,695,695,695,695,7704,混沌初开
86,905,906,195650,1961,1961,708,708,708,708,8265,混沌初开
87,906,907,199230,1997,1997,721,721,721,721,8861,混沌初开
88,907,908,202840,2033,2033,734,734,734,734,9493,混沌初开
89,908,909,206480,2069,2069,747,747,747,747,10163,混沌初开
90,909,1000,210150,2106,2106,760,760,760,760,13000,混沌初开
